,epoch,train_loss,mse_loss,var_loss,val_loss
0,0,-21.647640998008146,0.14333079439022547,-4.0691257096526545,0.13730285
1,1,-27.44952349776196,0.10557479996353604,-4.911962692468834,0.0958617
2,2,-30.000668816877127,0.09280023509742463,-5.272456377220745,0.10796417
3,3,-31.878768040944035,0.08488808078315753,-5.532423599922669,0.098107666
4,4,-33.15717256155477,0.07982862432176226,-5.699630291656723,0.077866934
5,5,-33.98720221682196,0.07803455327426574,-5.819243398176231,0.07295553
6,6,-35.30557168134119,0.07114952512281911,-5.994099360464031,0.07778604
7,7,-35.76817816736286,0.07060844905004136,-6.056671902090465,0.06413602
8,8,-35.936820092837344,0.07039005144074513,-6.085129398224642,0.073576465
9,9,-36.4608143152594,0.06833782407041974,-6.149953156987046,0.0849465
10,10,-37.10672313153682,0.06357633478885599,-6.2370918402380875,0.08670131
11,11,-36.401523813713176,0.06675621040932056,-6.143253218918083,0.05978164
12,12,-36.931624188418226,0.06667960739300625,-6.208672707798316,0.06763241
13,13,-37.08110454681617,0.066356898848865,-6.228213531401436,0.07900284
14,14,-37.293409865052894,0.06506488656368965,-6.2578864336753455,0.070879854
15,15,-37.404276278051,0.06269499872769725,-6.27322171010547,0.083011165
16,16,-37.20034464438674,0.0643176671537458,-6.23940041010974,0.061298225
17,17,-36.62001069797725,0.06640509612214941,-6.16952795659374,0.06397313
18,18,-37.351232418229934,0.06280904581082644,-6.261355152297784,0.073941045
19,19,-36.89244424889968,0.06484801616642967,-6.2095817694866176,0.067306854
20,20,-36.736910735932106,0.06523542171739034,-6.190959192727689,0.056993634
21,21,-36.55961749644906,0.06410681431286708,-6.153561594197767,0.06621178
22,22,-37.586211710952554,0.060373470721710495,-6.291881367240598,0.055610318
23,23,-37.49542921380888,0.06131132506123034,-6.294254693891294,0.06700474
24,24,-37.579564178865226,0.06301405909061894,-6.298588298592474,0.060863692
25,25,-37.45605621638688,0.06646410918254271,-6.272099382258497,0.05896855
26,26,-37.500666352561,0.05919754776464161,-6.293527270546867,0.095706426
27,27,-36.783767597381924,0.06532963494950329,-6.188307817374292,0.07508846
28,28,-36.97131742637185,0.06362543691377297,-6.223407403759527,0.078024484
29,29,-36.92367485982309,0.06270879014725522,-6.214124008073186,0.46402916
30,30,-37.35225027251022,0.06069620568767545,-6.284267102057093,0.063912235
31,31,-36.640045916282155,0.06626026136290201,-6.178135962989239,0.06660049
32,32,-37.72103861396537,0.05737489905023433,-6.329931350134028,0.054262333
33,33,-36.582298469888634,0.0646489410157457,-6.158587857387428,0.05689423
34,34,-36.99004869525164,0.06256750740511526,-6.219754535261822,0.04820367
35,35,-38.47691207193416,0.05582210548740216,-6.428346086929109,0.08497028
36,36,-37.877086331703794,0.061166598349848174,-6.335691427247601,0.089369975
37,37,-37.72001334152646,0.05703315747017667,-6.332310371216475,0.058967322
38,38,-38.02658784944244,0.05875447285896111,-6.362085043212867,0.07056777
39,39,-38.39543473239768,0.06180154344629431,-6.404565786748292,0.055589747
40,40,-37.18169682940628,0.06517571935549595,-6.261556394097724,0.06558571
41,41,-37.80804104210795,0.059639860881201635,-6.358256553173558,0.063955404
42,42,-37.1732611633999,0.06201011385005873,-6.252517736931991,0.06472733
43,43,-37.739993016007276,0.05933108331968829,-6.337881393738345,0.05371846
44,44,-38.10975036009638,0.06075372455945968,-6.370007133163365,0.061373822
45,45,-37.89917191625751,0.05975098967660053,-6.373582942779209,0.046124943
46,46,-37.90138815230889,0.07974237660254278,-6.372475645534748,0.07246347
47,47,-36.92124061642413,0.06983181355605836,-6.329724034331084,0.07089738
48,48,-37.75856253156494,0.06260418118533391,-6.351058634508482,0.08269547
49,49,-37.672111258511706,0.06707459746261879,-6.339975345714139,0.060998727
50,50,-38.72261445524774,0.05586941694530669,-6.470886149968578,0.062050793
51,51,-38.10556445669117,0.059644343476403495,-6.375679122378439,0.08319309
52,52,-37.030304595381175,0.08486190542478535,-6.393083682227899,0.08633837
53,53,-38.59044340206647,0.06327749897736475,-6.436019443676662,0.05057818
54,54,-37.87126743238739,0.06706646927983925,-6.347030772541523,0.102115594
55,55,-37.39733533775424,0.06318101606638996,-6.269183388910225,0.07600667
