,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.7018730363965797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,11.581834366767097,-24.454388,0.058659032,-14.926964,2.090567,-2.9861434,24.638752,119.62822,13.951875,44.464996,44.43201,44.645393,43.50619,3.4728081,0.7,-44.46199,-40.70754,0.0006372484,-9.663782,2.6824245,0.40265664,1.5489804,2.2141478,4.1413588e-07,0.3,1.0269545,24.063885,24.043468,24.196144,23.953884,0.09509724,0.4140625,1.7281293869018555,1.8716837565104167
2,20000,6.478168601695048,-37.951256,0.00354856,-19.111113,4.481693,0.60520136,64.83366,249.25618,15.230914,69.04479,69.121605,68.968895,68.96137,6.5424194,0.7,-71.699265,-67.786194,0.0030722446,-10.038479,-3.1083426,-2.2583194,-3.694262,-2.0878718,1.9965228e-07,0.3,0.8026772,37.294792,37.292732,37.811928,37.549835,0.24501514,0.4265625,1.284424066543579,2.4764045079549155
3,30000,16.31861805746501,-48.628166,0.00019341978,-19.554527,2.5327296,-7.1257353,348.58765,118.44116,19.005634,86.377525,85.61678,87.17318,85.7133,37.96504,0.7,-86.27262,-104.4752,0.0015629437,-15.5568695,6.871934,4.577799,6.0356727,7.081211,8.215895e-07,0.3,0.5503668,47.727215,47.70913,47.69902,47.637314,0.587898,0.46875,2.6912662982940674,3.0994293292363486
4,40000,13.210822580074016,-54.150726,1.0283567e-05,-23.599384,6.0923133,6.5747933,324.1055,258.3468,21.329699,100.84934,99.870705,100.69479,100.28192,14.347602,0.7,-101.599365,-137.0693,0.0018236702,-11.534163,-6.4202094,-7.2603216,-3.995518,-7.9984446,6.6667662e-06,0.3,0.6424537,53.325974,53.19985,53.83496,53.567726,0.44812638,0.49062502,2.106825113296509,3.7175394376118978
5,50000,9.026988174212931,-54.48545,5.4589805e-07,-26.08784,4.0942917,-0.98379534,475.41165,98.52789,19.702232,100.14482,100.21759,100.78314,99.85678,28.326904,0.7,-101.498215,-190.98457,0.0036720813,-17.038696,-4.3007317,-2.3131776,-2.5651448,-4.096674,2.9334715e-05,0.3,0.17402594,53.414692,53.38752,53.57385,53.64566,0.5866163,0.44375002,1.5234313011169434,4.321915129820506
6,60000,6.321123966312634,-54.907288,2.8741288e-08,-31.784056,5.6546125,13.783421,252.07866,338.07416,14.2247715,103.91661,104.399254,104.35513,104.92402,13.627615,0.7,-105.61327,-227.05875,0.0020649398,-16.212624,-17.846323,-17.111404,-18.110502,-17.63237,6.9088014e-06,0.3,0.37810498,53.8451,53.842087,54.166813,54.13163,0.63972884,0.49531248,1.148653268814087,4.920889834562938
7,70000,27.99343051432683,-54.651688,1.520823e-09,-46.55248,5.1969557,6.7338505,480.50644,65.19213,19.881493,101.85035,101.36997,102.071556,102.015625,38.85737,0.7,-104.5748,-275.1024,0.002952887,-23.504856,-5.6393123,-6.703664,-8.911229,-9.718389,1.4766282e-05,0.3,-0.12643254,53.765022,53.617767,54.453377,54.002342,0.71564245,0.4484375,3.50337553024292,5.541839667161306
8,80000,38.27415971504786,-59.783188,8.138558e-11,-48.176292,5.731336,3.1368408,577.8022,94.40997,18.10544,103.63959,102.976425,103.09263,103.12652,7.618176,0.7,-104.59438,-271.9811,0.0035957885,-12.806656,-3.3777027,-3.3903327,-6.5295696,-3.2964644,1.2542122e-06,0.3,0.8431195,58.90056,58.84379,59.300507,59.1533,0.44863814,0.44062498,4.27189826965332,6.179010693232218
9,90000,35.66570544173263,-57.871094,4.416095e-12,-37.126045,4.357088,8.82118,597.1895,86.56168,21.024477,103.60903,103.85247,105.30766,103.79576,24.52649,0.7,-104.882744,-426.1122,8.555228e-05,-12.729189,-6.200983,-6.9182043,-9.526109,-5.4858847,4.3655746e-08,0.3,1.0299873,56.77395,56.77619,57.05712,56.938828,0.6358462,0.4421875,4.366456031799316,6.8277747392654415
