,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.774692874575134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,63.75645783936034,-34.395477,0.083092004,-5.571083,0.6305296,-2.095461,36.858498,14.997375,16.492851,44.752712,44.80891,45.09995,44.36365,0.6735727,0.7,-56.060577,-31.797798,0.00013033394,-6.92581,-0.63014364,-1.8720578,0.7358818,-1.4919316,1.0186341e-07,0.3,4.5354185,30.249985,30.227505,30.168835,29.713089,0.03312506,0.4671875,6.651968479156494,2.0857274452845256
2,20000,75.18730303404803,-56.668457,0.0058250655,-5.824477,1.2154659,-5.7211857,72.48834,83.24336,18.604164,73.83463,73.88474,73.36722,72.91692,13.419707,0.7,-84.02327,-65.13952,0.001511889,-6.361536,8.302244,4.950225,3.0975838,3.872983,1.7326967e-06,0.3,4.666662,52.0548,52.005714,52.06123,51.840805,0.11488792,0.390625,7.380876541137695,2.797779683272044
3,30000,73.67939764494163,-70.29111,0.00039147824,-4.7873898,1.7479111,-16.318974,79.18627,100.20859,15.414101,83.40111,83.83123,84.45464,82.918915,2.687359,0.7,-95.995476,-75.54629,0.00040263694,-4.9644156,16.422552,16.168211,13.067017,16.48285,7.2671105e-07,0.3,5.289404,65.04968,65.14922,65.188354,64.98074,0.114243425,0.4765625,7.7569801807403564,3.5185097098350524
4,40000,57.34603825342111,-78.02176,2.7433438e-05,-5.6750555,1.3235676,-12.914793,104.12578,68.31113,18.799335,96.77868,95.53926,95.596146,96.483475,4.5842032,0.7,-106.56848,-137.06082,0.00091846875,-4.96985,6.779048,6.622815,9.043835,8.106692,2.0444393e-06,0.3,5.148056,72.86627,72.881516,73.0875,73.06367,0.13631159,0.4125,5.8318095207214355,4.203576934337616
5,50000,69.94624755388159,-81.015594,2.0161078e-06,-7.5117955,2.1420536,-20.322056,146.399,110.24832,15.671511,98.392296,98.719406,98.860916,98.40838,4.1379027,0.7,-110.664505,-144.94398,0.0024077366,-3.8523092,11.013083,8.924212,8.464857,9.347455,1.9965227e-09,0.3,5.6372786,75.33089,75.39523,75.44026,75.38339,0.10879728,0.48125,6.576582431793213,4.90111205180486
6,60000,66.88303951198512,-83.801895,1.5146541e-07,-2.852689,2.5545666,-21.514336,211.25197,81.84531,20.84475,103.692444,104.57574,104.26513,102.45453,13.925442,0.7,-119.56695,-182.22961,0.00274452,-7.2114625,16.919003,15.5853405,13.474983,16.145573,6.437302e-07,0.3,5.9183364,77.90448,77.88964,77.44674,77.58571,0.21073982,0.42187497,6.582971811294556,5.597216387589772
7,70000,63.7420700199968,-83.40876,1.2006773e-08,-10.267206,1.9139922,-6.564238,287.95322,62.895443,19.40912,104.152916,104.09634,103.52642,103.215614,11.852482,0.7,-115.052475,-295.28354,0.0008657089,-2.7663565,3.9828591,6.240021,2.421244,5.165922,4.0344895e-07,0.3,5.640995,77.75023,77.81885,77.340744,77.55232,0.14506696,0.47968748,6.616443395614624,6.293067129453023
8,80000,66.70017307113903,-85.97352,9.778913e-10,-10.993813,1.8780653,-8.128547,229.17537,74.83615,19.573465,104.28561,104.42264,104.836464,104.56617,6.1547427,0.7,-115.36967,-332.68784,0.002349688,-3.2848663,2.857293,2.497525,1.277596,-0.080388695,6.4977215e-08,0.3,5.1969967,80.80777,80.81627,80.637085,80.72008,0.14850229,0.44374996,6.48184871673584,6.983066153526306
9,90000,68.57771987300093,-86.96432,8.316349e-11,-2.390713,2.351367,-14.922032,260.92047,221.1774,18.175413,104.03993,103.67884,104.26115,104.409325,3.4030936,0.7,-118.02524,-237.12898,0.000631826,-3.2520454,16.510765,16.600126,13.191951,15.115216,1.678127e-06,0.3,5.532501,81.525604,81.4338,81.74571,81.63871,0.12968749,0.43124998,6.618418216705322,7.675645975271861
10,100000,80.21316274134715,-87.04825,7.363897e-12,-13.927836,2.2009454,-23.43578,342.274,219.79852,17.337315,105.403915,105.26134,106.02639,105.62045,4.491447,0.7,-116.491394,-238.65811,0.0004463155,-2.8385327,17.722979,17.213198,15.992911,16.82029,1.5812867e-06,0.3,5.442702,81.670105,81.61157,81.556465,81.75308,0.11902389,0.4328125,7.694792032241821,8.390491394201915
11,110000,75.78520434396088,-87.784096,6.7236754e-13,-11.870277,1.1858196,-25.20863,379.6508,31.942146,19.90278,103.833336,103.56243,103.582855,103.36121,10.276914,0.7,-117.882225,-277.43723,0.00019189541,-3.8752089,13.574273,13.447406,9.51496,11.604056,9.387731e-08,0.3,5.3236084,82.47223,82.51564,82.57441,82.6233,0.1621319,0.44999996,7.24280571937561,9.097439662615459
12,120000,76.52688968717415,-84.788284,6.432019e-14,-6.8003187,2.7825649,-18.176039,341.19952,208.96231,16.598389,103.131004,103.39975,104.10552,103.757576,2.4442234,0.7,-116.41449,-322.0228,0.0005177327,-4.0582056,13.767263,12.492083,12.559051,12.330304,1.4736478e-06,0.3,5.636581,79.222534,79.28398,79.14914,79.05378,0.12947926,0.4734375,7.325299978256226,9.806307419141133
13,130000,75.30185571150612,-89.84667,6.1624226e-15,-24.924255,1.7356898,-24.874382,386.5264,61.532013,18.678284,104.11308,104.00512,103.901115,103.84312,11.987858,0.7,-119.21251,-375.5008,0.0001334332,-7.1439724,11.731416,12.201417,12.563955,11.024081,1.4942241e-06,0.3,5.624667,84.29543,84.323685,84.11211,83.984085,0.1988442,0.496875,7.316347599029541,10.51338433821996
14,140000,71.6172324014491,-87.71006,6.138629e-16,-5.122526,1.0454605,-18.709377,341.83295,39.166683,17.66448,103.49095,103.652695,103.26285,103.81526,6.306603,0.7,-118.03503,-378.9183,0.00037954608,-6.1308017,9.101894,8.326162,6.6746435,4.435748,3.4325956e-06,0.3,5.919939,81.897934,81.85961,81.753265,81.90105,0.16756941,0.33906248,6.883159875869751,11.217925786972046
15,150000,61.1527853680571,-85.30294,6.1850485e-17,-15.36623,1.287553,-15.157227,426.47876,51.557247,18.779118,104.00616,104.31154,103.64146,103.28914,10.376537,0.7,-117.87489,-462.50104,0.0016910699,-7.466961,12.783492,12.700679,9.389644,12.137519,1.5265978e-07,0.3,5.522417,79.82315,79.8418,79.801796,80.10017,0.17866375,0.3734375,5.860266923904419,11.903657774130503
16,160000,74.56900340137523,-84.72292,6.5211826e-18,-14.483544,1.5155706,-18.96919,459.574,40.90044,16.648005,103.839005,103.651535,103.69307,103.97222,5.7634463,0.7,-117.445435,-348.95676,0.00016612379,-5.9379635,16.55578,14.0605345,12.509511,13.513477,2.7756148e-06,0.3,5.4291315,79.34947,79.29685,79.22464,79.32503,0.15266761,0.44375,7.176431655883789,12.613328035672506
17,170000,71.03791741074032,-84.83301,7.046559e-19,-6.59282,1.829257,-19.518408,581.5044,82.12479,19.839355,102.69134,102.88235,102.76159,102.62992,8.646496,0.7,-121.89516,-503.30576,0.00063765654,-3.4905,16.734842,18.140202,14.724991,15.687408,1.9363827e-06,0.3,5.280734,79.52341,79.49393,79.21337,79.43477,0.18432274,0.39999998,6.815220832824707,13.315802371501922
18,180000,72.56145370113416,-87.71201,7.6120824e-20,3.0089836,2.7570903,-20.4303,554.949,445.52228,19.211246,104.353584,103.989296,104.17037,104.043594,6.463832,0.7,-116.10453,-429.32742,0.000850294,-4.005124,11.239358,11.530915,12.598071,12.183536,2.5465852e-08,0.3,6.1097984,81.7299,81.62924,81.720245,81.79088,0.14628986,0.403125,6.910497426986694,14.016255748271941
19,190000,82.41352060591932,-83.326294,8.520995e-21,-7.7990932,1.8402967,-8.054197,571.1777,70.23767,17.178074,103.041306,102.84454,103.20214,102.706665,11.224623,0.7,-117.43431,-474.8682,0.00016212907,-4.7606,6.152762,7.049652,7.811114,6.4951262,3.229827e-07,0.3,5.4181223,77.97335,78.04084,78.03444,78.03712,0.1886586,0.47968748,8.019943714141846,14.738303871949514
20,200000,68.2305192227755,-87.34374,9.965735e-22,-10.732873,2.1491184,-4.419505,642.99896,92.872604,21.284283,105.424164,105.97828,104.33335,105.26544,9.474558,0.7,-118.14015,-567.2061,0.00030840386,-6.128791,7.151882,10.150054,14.257314,10.666862,1.7813291e-07,0.3,5.7110434,81.625885,81.70067,81.72038,81.81683,0.14841163,0.45625,6.646438121795654,15.43344533443451
