,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.255941380949243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.9370543015446939,-23.686848,0.07331837,-5.2487116,1.7639575,1.76096,19.064985,65.48154,11.217718,40.114197,39.89314,40.01788,39.32948,1.6284597,0.7,-41.692738,-37.73648,0.00031947793,-300.66772,-2.8152657,-2.74152,-2.245873,-2.148104,3.7903373e-08,0.3,-8.142156,23.400337,23.42645,23.360756,23.077137,0.09865469,0.4515625,5.554594039916992,1.9431723356246948
2,20000,1.2111867481734466,-36.39131,0.0772042,-1.3306519,2.6845984,7.2239146,21.24463,44.76472,14.190726,63.936275,64.11216,64.76837,63.755424,3.7614877,0.7,-63.575375,-29.750984,0.0037744772,-234.55978,-6.160998,-6.2787395,-6.2516184,-6.8013086,4.991307e-06,0.3,-9.198387,36.092735,36.119785,36.399017,36.29615,0.23360585,0.41875,5.508143663406372,2.619650693734487
3,30000,7.951330659176891,-44.981567,0.079115316,0.109141946,3.6323256,7.1364617,42.83595,106.141045,14.9989395,74.66639,74.836235,76.3176,74.40329,6.1739006,0.7,-74.1914,-29.28025,0.0020947766,-106.881516,-7.974196,-8.736191,-7.7056875,-7.8733983,5.7810053e-06,0.3,-6.1746426,44.767036,44.826942,45.207664,44.99618,0.2793269,0.465625,5.738986253738403,3.3038760860761007
4,40000,34.07095362556429,-52.93093,0.07893286,0.8285982,5.788238,8.977427,26.943079,317.49442,13.739085,79.59861,79.38408,79.87213,79.39688,13.047752,0.7,-80.106346,-32.478848,0.0051010326,-199.52234,-9.380139,-9.285865,-10.369844,-9.199836,3.4206303e-07,0.3,-11.029596,52.65765,52.806572,52.871155,52.724586,0.5211388,0.4796875,5.504108190536499,3.986130408445994
5,50000,46.23272705571555,-55.800846,0.07670901,-1.2966235,5.421897,8.619086,32.00984,177.25223,13.128784,84.84687,84.83303,85.84457,86.01462,11.220843,0.7,-84.21183,-32.844685,0.0013722363,-115.48528,-9.567844,-9.694226,-9.795886,-9.774782,7.768785e-06,0.3,-9.372035,55.64891,55.652893,55.367413,55.162827,0.40730315,0.5140625,5.408586263656616,4.662668065230052
6,60000,49.287068745607485,-57.50276,0.07497668,0.7012076,4.1199636,16.732199,30.829327,64.82651,14.8201275,83.52309,83.707596,85.27144,84.77673,13.322126,0.7,-83.275696,-39.39257,0.0013608222,-408.1788,-15.787025,-16.819788,-15.063977,-16.465343,3.4741126e-06,0.3,-13.091059,57.3684,57.2631,57.91971,57.58716,0.4449644,0.478125,5.685827255249023,5.34598403374354
7,70000,48.106197116648026,-60.02903,0.07171251,0.2923951,3.9424276,18.501804,31.760313,321.85388,14.512492,86.17837,86.992935,87.19074,86.40132,12.924872,0.7,-85.67552,-30.062122,0.001434407,-251.01672,-18.863346,-18.894299,-16.762846,-18.031828,6.7494284e-06,0.3,-16.231735,59.71629,59.621826,60.030197,60.105064,0.4269541,0.4125,6.00750732421875,6.030514756838481
8,80000,51.729737757893965,-62.760117,0.06984441,1.4377913,2.8527937,17.143354,54.001354,72.94299,13.168829,86.69656,86.039696,86.405815,86.33516,15.579313,0.7,-85.685455,-35.63394,0.0004349,-259.92795,-16.47794,-17.14174,-16.704205,-17.077705,2.3497269e-07,0.3,-15.766352,62.542816,62.40483,62.690357,62.576023,0.48956245,0.4265625,5.683988809585571,6.709128709634145
9,90000,52.61262611041065,-64.08005,0.06713549,1.043462,4.8964605,8.249238,27.864607,282.21814,14.141734,86.54254,86.268166,86.48857,87.07945,15.102753,0.7,-85.80722,-32.319115,0.006286745,-179.98993,-9.962885,-10.33194,-11.698048,-10.003768,9.045878e-07,0.3,-14.718661,63.660564,63.819054,63.675858,63.8519,0.6465565,0.41875,5.954914331436157,7.393630143006643
