,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2556815281906504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-3.4634727432256063,-34.95524,0.10160953,-1.2512599,2.0045786,-0.90318865,15.793321,63.817505,11.094339,43.7438,43.650448,43.601936,42.65207,3.4523053,0.7,-43.694115,-21.766531,0.00037494896,-55.153088,0.24092059,-0.5549665,-0.27956718,0.17791952,3.890321e-06,0.3,-5.6175346,34.634033,34.646168,34.299706,33.891026,0.13184024,0.459375,5.779198169708252,2.2045347452163697
2,20000,-4.011048125678126,-59.10968,0.1507008,0.026871286,2.1239712,-32.7728,12.492511,54.23381,10.058886,68.104866,68.30958,68.34017,67.49519,4.421264,0.7,-69.670364,-20.94644,0.0029911343,-84.19638,32.903656,31.973295,32.901215,32.008686,2.6390874e-06,0.3,-6.996729,58.647118,58.614807,58.70452,58.428825,0.19832566,0.4421875,5.736919641494751,2.8945812225341796
3,30000,-3.186566145323603,-72.89612,0.1335682,0.47354308,1.8461797,-0.5117211,17.764763,25.585548,11.162936,83.4527,83.84952,82.904625,83.60274,4.757322,0.7,-83.518684,-21.73809,0.0008028921,-79.91696,0.9558428,0.87946707,-1.3189131,-0.3870547,1.9965228e-07,0.3,-5.5888786,72.53124,72.61058,72.34491,72.32332,0.19964635,0.44375,5.662604093551636,3.58423033952713
4,40000,-1.0669155355320812,-79.780075,0.11730066,0.32139042,2.0041268,-0.6209677,17.992971,30.946709,10.734535,89.51891,89.960594,89.876976,90.87192,2.2403517,0.7,-91.67673,-18.746721,0.001478958,-111.38641,-3.1478994,-2.2050154,-2.3592432,-2.565978,2.7121744e-06,0.3,-5.847479,79.54063,79.56435,79.7184,79.74193,0.13384566,0.45,6.267019510269165,4.279203073183695
5,50000,-1.2125601509793016,-82.91076,0.10078993,-0.8864205,2.2658672,3.911215,19.549515,216.33878,13.05831,94.65967,94.837524,94.547874,94.2405,3.8079438,0.7,-93.86085,-24.255175,0.000282162,-72.30493,-3.8945193,-4.493373,-5.0569754,-3.8255327,6.1973694e-08,0.3,-4.621969,82.795876,82.772675,82.89748,82.94219,0.1332652,0.41406247,5.850343227386475,4.970907191435496
6,60000,-0.8972676754572562,-85.742096,0.08812398,-0.40898687,1.4027224,4.314476,22.147783,21.265684,12.70092,95.11839,94.90767,95.21611,95.127716,1.4880662,0.7,-95.35349,-22.867418,8.400355e-06,-78.74513,-4.8150935,-3.8400888,-6.7940884,-5.5650682,5.6735007e-06,0.3,-5.5320215,85.70278,85.61873,85.699615,85.72822,0.13238685,0.396875,5.689785480499268,5.664093275864919
7,70000,-2.0667793149270737,-87.49327,0.07755816,0.48638168,2.3579655,6.810517,26.612087,150.64664,11.23138,95.54991,95.44968,95.03627,95.32405,3.5536606,0.7,-95.56185,-33.647076,0.003942416,-88.380974,-7.066027,-7.148027,-7.1675553,-6.7750673,3.496345e-05,0.3,-5.4464903,87.417336,87.368355,87.38975,87.530045,0.12703797,0.434375,5.791201114654541,6.3549440741539005
8,80000,-1.6513488432277539,-88.31515,0.07056567,0.5988316,2.4056969,-66.8617,135.19035,173.92659,12.06142,96.49785,96.143425,96.490364,96.79443,2.2821417,0.7,-96.0073,-29.279263,0.0011298878,-187.89041,65.23491,65.17621,65.526115,65.88574,7.207447e-07,0.3,-7.4322376,88.24948,88.21068,88.352646,88.437614,0.12025459,0.4125,5.683916807174683,7.0449680407842
9,90000,0.4872051302136627,-87.716965,0.06490743,-0.21608004,1.3472008,2.324495,30.01504,25.66042,12.039139,96.43562,97.00467,96.730774,96.507774,5.8907366,0.7,-96.25969,-33.794617,0.00037682848,-102.15744,-2.454046,-2.3365068,-3.7219582,-3.4897647,5.0466045e-09,0.3,-7.2782784,87.73179,87.66828,87.90044,87.804665,0.109448686,0.50312495,5.7101380825042725,7.733840680122375
10,100000,2.561898896652141,-87.80293,0.060497187,0.014901012,1.9581451,3.436856,34.50229,65.896904,11.268621,95.8035,96.07442,96.49558,96.11941,9.056445,0.7,-95.46215,-37.976833,0.0020567246,-67.52957,-3.5743034,-4.231539,-6.4360356,-4.2222414,1.3398648e-06,0.3,-8.201809,87.74076,87.74446,88.19895,87.89978,0.10690582,0.46093747,5.756450176239014,8.41901505390803
11,110000,2.586508560375288,-89.813065,0.057713002,0.17828047,1.166505,-54.30116,26.192385,14.264193,11.687386,96.81809,96.951706,97.33359,96.638016,3.4643633,0.7,-97.12225,-26.995293,0.0011554991,-83.858826,53.65468,53.62842,53.314636,56.18017,3.5361154e-08,0.3,-8.307779,89.8249,89.732506,89.90212,89.7594,0.08512439,0.47031248,5.789907693862915,9.110425651073456
12,120000,4.843019110702343,-88.04378,0.05549859,-0.29760855,1.9154451,4.1259313,46.30687,195.66498,9.839582,97.10957,97.46962,97.73528,96.8794,10.472786,0.7,-97.19376,-28.655647,0.00060193427,-113.47668,-3.719118,-4.7204304,-2.427695,-2.6108873,9.8225435e-08,0.3,-9.178218,87.926025,87.96496,87.739395,87.85167,0.11403128,0.46875,5.648867607116699,9.801716880003612
13,130000,5.730761015869468,-89.28662,0.052740917,-0.7155622,0.84962356,-47.75515,29.241602,22.396261,12.573601,96.9383,97.63566,96.99424,97.03229,1.6011227,0.7,-98.71862,-38.74234,0.0005497204,-123.96563,47.40676,49.388096,48.69625,47.498528,9.782961e-08,0.3,-11.098435,89.23135,89.2746,89.28995,89.180756,0.08831094,0.48125,5.778317928314209,10.492738044261932
14,140000,6.613840804269583,-88.72036,0.0523269,-0.45754176,0.7672314,0.71439755,84.770096,12.275022,11.915687,96.59753,95.753975,96.23946,95.39495,1.6965901,0.7,-95.905945,-35.63782,0.000121780206,-198.0439,-1.4360675,-1.615283,-1.1729879,-1.6310544,1.7462298e-07,0.3,-10.602848,88.6738,88.763306,88.82866,88.77654,0.07395895,0.41562498,5.613011837005615,11.18108214934667
15,150000,19.86807048667413,-88.86092,0.04994449,0.63528687,1.0346724,2.7625253,42.64948,18.982128,14.1190605,96.55016,96.84413,96.37517,97.12982,1.3226426,0.7,-96.90088,-26.641848,0.0009143818,-128.89963,-2.9907725,-2.5232565,-1.3042467,-0.23026782,2.0905165e-06,0.3,-13.284212,88.707214,88.72365,88.826065,88.776566,0.090457916,0.4671875,5.830271005630493,11.869163366158803
