,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.3683048114539575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,6.496157155525142,-29.798767,0.064703524,-3.968823,1.4717474,4.660358,13.057371,62.80916,5.6415696,57.720974,58.06008,56.802723,57.569412,2.6878145,0.7,-57.42156,-19.539984,0.00021873496,-79.995445,-4.733381,-4.177842,-5.661349,-5.214319,1.20442755e-05,0.3,-11.247322,29.130203,29.111319,28.73258,28.53077,0.12001142,0.465625,0.6947684288024902,1.8193396131197612
2,20000,17.169864274468335,-49.287643,0.058524825,-1.3325448,3.51543,-1.9103912,28.514572,365.29926,5.2733893,79.20817,79.20952,78.58312,78.37711,25.170694,0.7,-79.329544,-20.711893,0.0027977922,-97.033325,-0.06900127,-0.1483639,-0.30733037,-1.5574753,2.263114e-08,0.3,-16.150906,48.101803,48.102676,47.889538,47.66174,0.48724037,0.50624996,1.423835039138794,2.3914526184399922
3,30000,13.100677612337504,-56.809753,0.06786903,0.28112555,3.0152175,5.3204045,31.612497,64.118576,3.6608672,86.840805,86.22465,86.603485,87.02725,44.06315,0.7,-88.22601,-22.659399,0.0052619893,-118.215225,-4.526397,-4.832841,-3.224607,-3.416658,1.9900442e-06,0.3,-19.31861,55.14232,55.140587,55.625095,55.72291,0.8995513,0.4359375,1.3209068775177002,2.9611923495928445
4,40000,41.03536049887297,-63.850426,0.06697307,-0.2309376,4.5248117,-1.4944639,27.649765,248.3675,7.510529,96.04425,96.55163,97.1923,95.62188,112.65622,0.7,-95.81606,-20.34256,0.0035723462,-201.24654,-10.990023,-11.209871,0.043287285,-9.34505,8.6838264e-07,0.3,-16.937895,62.37685,62.41269,62.85376,62.796303,1.5568191,0.43906248,3.061189651489258,3.555560326576233
5,50000,44.051302637794194,-62.326004,0.06913112,-0.1555705,37.49018,0.8060008,20.187933,8489.27,4.6933765,96.05879,95.30112,97.01614,96.17342,29.830584,0.7,-95.82408,-17.897488,0.0005482387,-123.86018,-0.72589344,-0.99802375,-0.5216615,-0.29743987,2.8749926e-07,0.3,-19.391745,60.832047,60.79422,61.258316,61.589447,0.89658993,0.4765625,3.2499380111694336,4.156084402402242
6,60000,43.67890026685922,-66.019615,0.06863626,-0.1971619,4.591025,2.2226164,29.217518,242.57237,4.292631,99.23836,99.602005,99.42682,99.04162,23.447868,0.7,-99.08835,-18.454412,0.0027567232,-146.81068,-7.8882565,-6.502667,-12.562716,-8.081953,1.0024011e-05,0.3,-20.081665,64.125534,64.330246,63.805756,64.14223,0.9489213,0.43749997,3.306013822555542,4.757655362288157
7,70000,23.860662710113527,-67.11464,0.06930318,-0.5155663,3.827812,6.770274,24.601295,155.36801,5.9601126,101.82247,101.566444,101.51446,101.223785,184.19449,0.7,-101.38809,-20.626156,4.727958e-05,-252.95879,-6.250311,-6.790851,-8.257261,-8.899995,2.5566553e-07,0.3,-19.828297,65.573906,65.53371,65.96536,65.989006,1.4984567,0.4453125,1.9721670150756836,5.336399308840433
8,80000,85.5298390270815,-66.66945,0.07045973,-0.5142975,3.1929317,-1.2655276,21.910467,146.9578,5.892377,102.42803,102.85159,101.78677,102.02219,61.20333,0.7,-102.369576,-18.545803,0.0011001751,-186.0628,-1.3587143,-1.7372762,-2.2999432,-2.5195684,4.075871e-08,0.3,-21.353882,64.98688,64.961876,64.9084,65.1834,0.9992303,0.4296875,6.7788190841674805,5.995214219888052
9,90000,58.336708783564006,-68.13449,0.07266151,0.24311289,4.1836605,3.282718,28.127525,305.8885,5.948664,101.02958,100.55441,100.58091,100.39998,98.614685,0.7,-100.33623,-21.516336,0.000657615,-125.56656,-11.631811,-12.49979,-0.77700657,-9.473804,9.019811e-06,0.3,-18.877373,66.32974,66.41419,66.42064,66.76693,1.5588746,0.3875,4.4951252937316895,6.616737115383148
10,100000,15.493634164435196,-67.45906,0.07237602,1.0431871,3.5154262,-5.0739284,28.826216,157.84229,6.1359787,99.15952,99.87157,100.49317,100.30434,22.962181,0.7,-100.099945,-20.075956,0.01578373,-994.49036,0.036051005,-0.23489526,-0.3378494,0.3807036,1.5196566e-06,0.3,-24.646873,65.47295,65.58,65.69832,65.97981,0.85819435,0.421875,1.4665420055389404,7.188115938504537
