,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.747081744373164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.7109036900260366,-23.318346,0.059137,-13.183662,1.5964113,-0.60632354,22.784527,41.93112,8.164564,44.43396,44.261227,44.335453,43.39548,6.923161,0.7,-44.476444,-32.71226,0.0034979784,-118.52004,0.49745157,0.4513386,0.10343139,0.3676117,2.9738732e-07,0.3,-15.184937,22.770096,22.763515,22.687658,22.236546,0.12029952,0.4734375,1.0511765480041504,1.8612351377805074
2,20000,0.89432682986797,-37.88053,0.033474814,-0.22456838,4.0740027,-2.8075726,75.81447,473.1599,7.519185,70.7951,72.17802,70.354256,70.48527,3.3239863,0.7,-70.73618,-38.183266,0.00075457507,-111.25169,1.2895068,0.8560822,0.09036783,2.0449917,2.3093891e-09,0.3,-24.766193,37.124317,37.115723,36.746773,36.642,0.2050075,0.5328125,0.456043004989624,2.4523675123850506
3,30000,5.341903539702566,-46.50963,0.042733245,0.10065237,4.7074947,-0.37955377,36.641834,137.53267,6.1169024,86.44111,86.34474,86.16326,86.36207,8.345334,0.7,-86.20523,-29.119173,0.002132132,-236.48108,-0.96715385,-0.7538207,1.031454,-3.5768416,6.882747e-06,0.3,-28.04869,45.306473,45.37611,45.04885,45.01406,0.35833138,0.4640625,1.1900742053985596,3.056049116452535
4,40000,0.0863270323934926,-52.96509,0.04610018,-0.720116,5.699085,9.407997,66.34191,118.0478,13.805667,91.445335,90.95809,92.11209,92.88819,12.691794,0.7,-91.3777,-40.254654,0.0154179195,-421.80954,-11.399066,-11.630833,-9.384748,-10.287994,2.1122396e-07,0.3,-28.796047,51.71718,51.61126,52.25421,52.32143,0.45039356,0.4015625,0.24108338356018066,3.6437190651893614
5,50000,0.05770082376013502,-52.842445,0.045643087,-0.2030607,5.2226095,-2.4459112,42.316494,245.75143,12.385526,97.91455,97.95264,98.781525,98.77063,9.349651,0.7,-97.10527,-26.059208,0.0008921218,-292.68613,-0.19402853,-0.87322855,0.5810964,0.18003401,9.848754e-06,0.3,-34.650246,51.724854,51.849594,52.250233,52.095825,0.4383433,0.4359375,0.22351741790771484,4.232523202896118
6,60000,0.19115215133290492,-55.59472,0.044707533,1.7279012,4.149665,-0.9882072,50.875965,94.699615,8.138805,100.91905,100.38168,101.42256,100.69957,14.379149,0.7,-102.10441,-34.474434,8.973079e-05,-677.92993,-3.67098,-3.632824,-1.6541586,-1.6083916,1.9731857e-05,0.3,-38.449883,54.363266,54.454685,54.656685,54.492134,0.54049337,0.47499996,0.2569310665130615,4.823711001873017
7,70000,0.1236581412880134,-57.327255,0.045933902,0.37155673,4.0626497,11.967414,41.845734,66.548706,15.401382,100.6544,100.77603,100.400604,100.38741,31.3277,0.7,-100.66574,-35.681984,0.009379912,-286.75125,-7.8096757,-13.197024,-9.89523,-11.651179,7.231531e-07,0.3,-37.550037,55.986702,55.938217,55.37949,55.6017,0.56167984,0.47031248,0.2317957878112793,5.417014773686727
8,80000,0.07435039319040794,-54.858337,0.046049397,1.1388168,4.588455,-0.9496106,65.652275,74.7402,10.023383,106.506096,105.59462,106.38359,104.63336,32.039062,0.7,-104.96267,-30.426584,0.0019400537,-270.46216,-3.4260042,-4.028963,-4.251834,-3.8077066,3.7734281e-07,0.3,-33.80432,53.513596,53.458992,53.377075,53.380493,0.60243535,0.45468748,0.2176060676574707,5.9986838857332865
9,90000,23.82413934161464,-57.728226,0.047462184,-0.99176025,3.9532547,9.272891,41.75743,101.59342,14.5169935,106.28426,106.35402,106.54026,107.18546,16.702871,0.7,-107.58862,-32.888466,0.0005238342,-196.63823,-14.288482,-13.473042,-12.631324,-13.121186,3.228779e-08,0.3,-37.00763,56.310818,56.278767,56.37142,56.358185,0.47054112,0.4140625,2.576676845550537,6.627088542779287
10,100000,27.125021201513356,-58.65884,0.048808586,0.4512344,5.4331503,9.119739,50.292812,124.933014,8.049998,102.64284,102.25581,103.008385,103.07445,53.10813,0.7,-101.96723,-38.126312,0.0053712633,-294.30896,-4.8944635,-8.813188,-0.36082423,-6.969842,1.1001423e-06,0.3,-36.149563,57.47738,57.403923,57.60388,57.507793,0.683058,0.421875,2.9905099868774414,7.265125620365143
11,110000,1.1799715027414353,-55.328133,0.04951499,-0.9128726,4.345336,-3.4889822,51.476604,105.489395,6.673089,103.37314,103.70151,103.728165,103.18773,18.242523,0.7,-103.03857,-28.905663,0.0063087167,-479.8422,1.6054711,0.62768954,0.7958397,1.0499029,1.4477744e-06,0.3,-36.51523,53.915333,53.74215,53.634727,53.787666,0.51585364,0.45,0.3851606845855713,7.8611676851908365
12,120000,30.59489676731511,-58.462223,0.0500755,-0.030877113,5.4304094,0.76532364,42.492687,106.492744,14.213022,105.70637,106.82754,107.427246,107.07633,57.51596,0.7,-105.55448,-36.1174,0.0033425498,-268.94196,-5.7470207,-2.8164175,-4.6811213,-4.355954,3.168988e-06,0.3,-36.45255,56.980293,57.070587,57.41761,57.42346,0.8327427,0.434375,3.19380521774292,8.501583937803904
13,130000,49.37435763089416,-55.65107,0.051122695,0.3142978,5.563036,-3.2786086,49.301548,119.625984,3.2513337,101.842766,103.50235,101.60775,103.31752,8.5981,0.7,-103.24352,-29.975157,0.0063074306,-440.552,-4.936054,-6.85552,-0.35206458,-2.3375685,4.43717e-06,0.3,-39.771645,53.981674,54.050743,54.116234,54.137703,0.6046326,0.4609375,4.676520109176636,9.167396938800811
14,140000,44.15192475512928,-56.4348,0.05021196,0.36174905,4.698043,12.569535,46.81195,68.77376,6.948059,106.36745,106.74472,106.41528,105.89664,16.658934,0.7,-106.6255,-27.064857,0.005568926,-303.094,-20.496624,-18.83393,-18.92377,-22.333485,0.00013778594,0.3,-40.158707,55.01686,55.065193,55.109055,54.835297,0.6181623,0.4671875,4.332288503646851,9.827215353647867
15,150000,42.951291155573635,-56.37624,0.052558314,-0.5710999,5.8036757,12.989067,45.61994,109.991066,11.544216,105.74676,106.752884,105.33699,105.838066,8.34012,0.7,-106.16286,-27.375076,0.018362962,-192.00395,-15.184947,-13.179226,-12.193562,-15.280557,5.867332e-09,0.3,-33.40973,54.95668,55.004753,54.384857,54.362812,0.53696865,0.50625,4.19172739982605,10.483414244651794
16,160000,56.08109467747838,-55.371788,0.051322285,0.44009787,6.700016,7.5707436,38.88857,380.3341,15.360665,105.7104,104.922516,104.115524,103.487686,27.661263,0.7,-104.83045,-30.05564,9.2601185e-05,-423.03528,-12.504158,-13.865385,-13.614864,-14.099589,7.5375838e-06,0.3,-43.19389,53.95823,53.88604,53.79196,53.341476,0.933434,0.49843752,5.323396921157837,11.159430209795634
17,170000,49.258338814917636,-55.550484,0.051574454,0.9952336,5.6040845,5.220912,42.82803,416.65436,9.467973,103.40133,103.355415,103.323586,103.45683,24.368177,0.7,-102.84721,-22.765799,0.0019212058,-641.26385,-6.2833667,-8.221184,-5.3160615,-6.2458186,1.7214916e-07,0.3,-43.422726,53.97296,53.96692,53.69787,53.720222,0.7221777,0.471875,4.661816120147705,11.82682695388794
18,180000,93.57501235608144,-57.643337,0.05190932,0.8006495,5.8593397,7.8685923,38.08768,118.60942,7.638519,101.155975,101.49466,104.44147,100.92641,6.593117,0.7,-99.97206,-32.06443,0.0009811466,-512.5111,-15.84083,-16.693268,-17.65328,-17.058176,1.2505435e-05,0.3,-42.14411,56.214714,56.197506,55.610313,55.746555,0.5809343,0.5046875,8.378483057022095,12.55134892463684
19,190000,51.47703978906614,-56.310764,0.052051976,-0.03491223,3.4438684,-1.84908,57.554955,39.28506,6.8113728,100.50401,100.488686,100.45893,99.30786,28.29868,0.7,-100.766716,-32.61613,0.0021056286,-473.82462,2.132484,-0.2814036,1.0228832,0.05327183,1.4787249e-06,0.3,-43.958065,54.736084,54.664116,54.55566,54.491558,0.6286869,0.46249998,4.91127610206604,13.222578247388205
20,200000,79.72637940158333,-56.721848,0.052748132,-0.74837446,3.53272,5.4290876,63.112137,82.897736,10.2407465,101.73214,102.35505,101.86132,102.2308,50.93143,0.7,-101.69586,-33.099335,0.00053987396,-277.4629,-8.208996,-8.172702,-7.9755936,-7.076543,2.578624e-05,0.3,-36.90884,55.278305,55.33537,55.18478,55.277466,0.77065074,0.45,7.30597186088562,13.934625542163849
