,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2534819133457717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-1.2681009403455379,-24.088482,0.07327102,-3.7924685,2.1856494,5.8181567,20.799292,46.50229,10.4291725,40.55322,41.18591,39.450592,40.266056,1.3551471,0.7,-40.91335,-29.945812,0.0014621132,-169.3351,-6.1258006,-5.8172417,-6.425278,-6.9846087,6.228934e-06,0.3,-9.677383,23.788189,23.84319,23.58252,23.216827,0.10929011,0.496875,6.245851993560791,1.974336314201355
2,20000,1.8560332165878737,-38.190987,0.078298084,0.26969442,2.9941924,6.7639747,32.49526,119.09362,10.0535,62.348324,62.630943,63.477036,62.098896,3.228456,0.7,-62.383617,-29.085728,0.0050368607,-204.70952,-4.342181,-6.7403007,-5.951405,-5.6546025,3.1489647e-06,0.3,-10.016562,37.989822,37.92384,38.38034,37.877583,0.18678904,0.453125,6.244781017303467,2.6551517685254415
3,30000,9.628432902227543,-48.046227,0.07617222,0.4088272,3.7747798,14.114871,25.654453,123.6849,12.515103,73.84502,73.81322,74.29349,74.10061,3.6328046,0.7,-73.78898,-29.616726,0.007071221,-91.58438,-14.123967,-14.233329,-13.883222,-13.627397,3.6789745e-06,0.3,-6.6387515,47.892982,47.940773,48.0344,47.978653,0.2663015,0.40937498,5.823954343795776,3.3359050353368125
4,40000,21.819205016584775,-50.557,0.07695314,0.4785977,3.3470287,15.232717,33.196537,104.798485,12.227917,81.18107,80.61498,79.50997,79.65815,15.681186,0.7,-80.867325,-31.92143,0.0011205645,-208.52666,-15.428991,-15.305656,-16.376316,-15.748955,1.2292079e-05,0.3,-12.564695,50.462654,50.37773,50.09223,50.194214,0.34377718,0.446875,5.760461330413818,4.014010985692342
5,50000,43.54043337572958,-56.32996,0.074829444,-0.26345086,5.2889347,16.771048,30.099802,147.78528,14.162664,84.19273,84.647995,84.618675,83.87063,11.343055,0.7,-84.57964,-29.67435,0.0056012743,-239.1735,-17.182966,-16.585571,-16.577063,-17.74522,1.3302081e-06,0.3,-13.749639,55.91269,55.97765,56.160515,55.85749,0.4924845,0.5203125,6.210511207580566,4.697446982065837
6,60000,48.28324474739287,-61.590836,0.07201569,2.031636,2.5544972,14.870789,39.424442,40.549217,13.189406,83.96982,84.12332,83.90765,84.10192,15.977893,0.7,-84.28333,-29.568768,0.0032220166,-192.96896,-14.680712,-14.587082,-17.04962,-16.567617,7.781101e-06,0.3,-13.792463,61.4204,61.42347,61.347755,61.313324,0.40194833,0.49999997,5.758877754211426,5.377222176392873
7,70000,46.60698027914739,-56.13699,0.07043418,-0.56487775,2.8459551,16.839056,32.35432,71.52312,12.930312,85.175354,85.24809,85.40918,85.67571,18.159174,0.7,-84.82308,-31.453186,0.0019688767,-411.00125,-16.98407,-17.177341,-16.447966,-16.463242,6.325147e-06,0.3,-17.288208,56.033215,55.94648,56.351135,56.27788,0.48304635,0.43281248,5.689741849899292,6.051771569252014
8,80000,49.85174133856617,-61.09423,0.06868705,0.519076,2.9802055,15.1903305,38.62795,53.295662,16.567553,87.01339,86.72381,87.66957,86.56172,26.526817,0.7,-87.21422,-31.632086,0.0055116615,-286.02142,-15.140686,-14.842544,-14.117543,-15.707142,9.891345e-07,0.3,-16.59065,60.609093,60.786198,60.63039,60.64155,0.5171015,0.47812498,5.701038599014282,6.728058902422587
9,90000,49.78892069743955,-63.465374,0.06579166,0.7755089,4.0501375,10.0493,29.204655,135.21442,13.193324,86.94003,87.49973,87.45143,88.180336,11.781477,0.7,-86.37929,-28.715353,0.0034479145,-251.54749,-11.714544,-12.347826,-10.915261,-11.617679,4.071735e-05,0.3,-21.163403,62.963097,62.93618,62.974857,63.27389,0.42465222,0.42968747,5.741713762283325,7.408247868220012
10,100000,52.05239454891033,-64.5986,0.06494777,0.58563954,2.9159527,10.948956,42.703682,53.696148,13.633717,87.39187,86.68716,86.27781,86.504196,7.7801332,0.7,-86.44411,-31.864132,0.0031277786,-225.88951,-11.198418,-10.157694,-10.276473,-10.701178,6.6854683e-10,0.3,-19.362064,64.19922,64.12259,63.988144,64.00966,0.40095395,0.4609375,5.847266674041748,8.089963694413504
11,110000,49.87464990309655,-60.21556,0.06423203,-0.9758737,5.424823,5.8335342,29.729366,735.05914,11.937401,87.430534,87.53343,87.96753,86.77435,10.083637,0.7,-87.0613,-34.71309,0.009336779,-266.23785,-7.654711,-8.466709,-10.227492,-9.745242,1.086376e-07,0.3,-16.913532,59.976837,59.885777,59.650322,59.582497,0.45746028,0.5171875,5.859046936035156,8.768592158953348
12,120000,51.327839709534686,-59.993523,0.06371282,-0.9839786,3.7293837,12.647719,53.09038,215.69939,11.430141,87.427414,87.20078,87.13934,86.72095,17.624548,0.7,-86.57668,-30.716486,0.0009312949,-456.30573,-12.8178005,-12.910437,-11.0872755,-11.0706835,1.3398648e-06,0.3,-26.355576,59.68794,59.74325,59.936554,60.014515,0.37251687,0.41562498,6.103034973144531,9.455001127719878
13,130000,53.973408163118364,-58.57438,0.064486794,-0.11988303,4.196521,7.410728,34.808216,63.68338,13.156512,87.249275,87.35571,87.271996,86.82287,10.192688,0.7,-87.17219,-28.767075,0.008545386,-718.45013,-11.48426,-11.144379,-8.176288,-8.841982,9.9031195e-06,0.3,-25.67004,58.11687,58.095882,58.83718,58.885117,0.52560973,0.42812496,5.857846260070801,10.137258795897166
14,140000,51.99043107234513,-60.368088,0.063305214,-0.42990467,3.5657754,6.080146,24.060019,69.71924,12.181642,89.236855,87.84677,87.15717,87.715866,12.399072,0.7,-87.4251,-33.22077,0.002161887,-1161.5505,-9.696343,-9.262358,-9.605704,-8.661741,1.4587935e-05,0.3,-33.209007,59.725666,59.672684,59.37568,59.70684,0.4857779,0.44062498,5.733832359313965,10.809138623873393
15,150000,54.791769219716535,-61.15018,0.06265101,0.08071867,3.7777884,9.4489155,34.559837,72.16115,11.432556,86.562096,87.40539,87.27847,85.73372,61.542057,0.7,-86.3049,-32.03764,0.002025552,-407.58945,-9.739252,-8.906428,-9.659385,-8.846486,1.233241e-06,0.3,-28.974277,60.32107,60.49662,60.19276,60.468395,0.72968996,0.48593748,5.7692484855651855,11.484848046302796
16,160000,54.615196278158166,-62.339413,0.063051,-1.1425427,3.3921943,6.2268596,36.389652,84.104706,12.531795,85.79881,85.94111,85.69268,85.861244,45.76169,0.7,-87.12822,-30.574358,0.0029194357,-819.2259,-7.016004,-7.354728,-7.373895,-8.029941,2.8784154e-06,0.3,-27.06257,61.890137,61.93373,61.43245,61.886116,0.5968764,0.396875,5.8117218017578125,12.168927884101867
17,170000,55.1983227302041,-61.902256,0.062377483,-0.85787565,2.7918563,5.355048,39.829662,45.036976,15.610233,87.7436,88.56321,87.54075,87.606064,14.032774,0.7,-88.11081,-31.382301,0.0013747812,-231.34062,-7.279871,-6.266135,-9.374791,-8.005082,2.8666136e-07,0.3,-19.404116,61.461082,61.43622,61.06198,61.190975,0.44635344,0.4578125,5.776604890823364,12.849603521823884
18,180000,55.75752490395837,-60.817352,0.063009135,-0.35765892,3.3813205,5.4814086,30.767403,82.344536,11.204077,87.243355,87.964966,86.66654,87.40483,18.839298,0.7,-87.4788,-38.016644,0.0008559336,-678.6475,-7.8825,-7.3347206,-7.162254,-7.085863,1.5980746e-06,0.3,-26.367672,60.226685,60.176006,59.765205,60.036503,0.5805586,0.43124998,5.725874423980713,13.522488085428874
19,190000,53.78483324359679,-61.308712,0.06441098,-1.0923394,2.597599,1.3153028,41.608944,73.59769,11.517266,87.95075,87.91562,88.51883,87.36171,9.319266,0.7,-87.58521,-30.58882,0.0017665657,-289.37347,-1.6188419,-1.6239967,-1.9472321,-1.8174642,1.2008276e-06,0.3,-23.642014,60.662426,60.69628,60.75114,60.51027,0.5005918,0.4921875,6.16681170463562,14.209456451733907
20,200000,55.123884953532276,-64.76785,0.06304292,0.023305118,3.758255,3.8105202,48.595875,75.7504,11.1241,86.803734,86.73341,86.7051,85.62301,7.146647,0.7,-86.25376,-30.801657,0.0029752085,-397.2172,-5.3250675,-5.7138834,-7.675756,-7.753761,1.0925829e-05,0.3,-26.82894,64.147224,64.12305,63.704323,64.003494,0.46124873,0.4828125,5.836992263793945,14.891355582078297
21,210000,54.380645424343435,-63.635334,0.062773995,0.37892514,4.2739177,4.5453444,49.90821,136.17441,10.8350525,87.42714,87.09894,87.093216,88.04252,70.865585,0.7,-86.67912,-29.889465,0.0025380324,-553.2386,-5.1273923,-5.164027,-6.5840244,-7.4250703,1.8127163e-05,0.3,-33.115623,63.055588,63.244156,62.645653,62.756702,0.7946648,0.471875,6.146715879440308,15.573454320430756
22,220000,54.12541761240187,-60.26745,0.06272869,-0.82422817,3.4026115,6.010347,55.474854,266.0667,9.197905,88.12723,88.17649,89.31913,87.7219,14.112176,0.7,-89.22555,-34.526756,0.0001508575,-776.53235,-7.0360136,-6.6698675,-8.7051,-6.616653,2.7939677e-06,0.3,-36.20516,59.615913,59.683983,59.55523,59.74691,0.48838,0.434375,5.7124714851379395,16.256990333398182
23,230000,53.58340354696672,-61.148495,0.06405003,-0.023797825,3.9684925,5.741515,53.771423,255.5928,12.388632,88.96377,88.86203,87.76134,87.45872,26.106312,0.7,-88.01926,-30.51405,0.0036621655,-405.3566,-6.238309,-5.506545,-6.3248477,-5.5792665,1.2657922e-06,0.3,-31.763805,60.530666,60.570297,60.37222,60.49404,0.66810405,0.40625,5.8285746574401855,16.941279709339142
24,240000,54.45131140922149,-59.96125,0.06414377,-0.46016824,3.1568885,6.3955336,27.720882,158.72879,9.434219,86.2691,86.738144,86.49683,86.621376,7.090566,0.7,-85.82438,-29.5266,0.0008418832,-817.6331,-6.858335,-7.0676823,-5.8752193,-6.8862114,6.154346e-05,0.3,-33.99525,59.26696,59.31456,59.478733,59.665833,0.43254825,0.453125,5.839138984680176,17.623850075403848
25,250000,54.118389844723666,-60.42768,0.06496563,0.64428383,2.6080608,4.2421594,42.88259,53.17616,12.401442,86.77415,86.742035,87.07344,87.14141,3.824875,0.7,-86.59297,-29.459532,0.001080386,-1077.3198,-3.996531,-5.345537,-4.7644734,-4.670337,5.2823456e-08,0.3,-33.961124,59.90908,59.778996,60.196896,60.106117,0.33506316,0.45,5.753454685211182,18.307179272174835
26,260000,55.644496673591405,-59.872276,0.06249313,0.018102795,4.723093,4.737697,29.945164,218.06708,12.398156,86.66826,86.68034,85.84123,86.460556,35.082306,0.7,-87.34921,-31.314417,0.009093518,-641.14026,-5.6199226,-5.4518795,-5.3317227,-6.6662827,2.739718e-07,0.3,-38.303093,59.400524,59.35467,58.865765,59.0704,0.50610864,0.46093747,5.63303542137146,18.988690463701882
27,270000,54.10758770212078,-61.008553,0.06270414,0.8104556,3.3430343,5.7082453,34.908447,278.02667,11.851166,88.33849,88.21209,88.25841,88.30003,18.26364,0.7,-87.476204,-30.2817,0.0011654228,-811.41766,-13.520002,-15.7096,-12.94518,-9.473433,3.6032532e-07,0.3,-36.436543,60.30781,60.202984,60.192635,60.406593,0.7359112,0.4375,5.746105670928955,19.668266252676645
28,280000,56.022458656881625,-64.07356,0.062376592,0.65180206,5.302859,5.5544868,49.845776,264.03763,10.57043,87.84136,87.753,87.22644,87.252174,39.027393,0.7,-87.25621,-32.292637,0.0025282097,-677.84534,-6.4662967,-5.4419403,-5.916977,-5.531895,1.6942358e-05,0.3,-32.913593,63.258278,63.315,62.603508,63.04766,0.7946805,0.47031248,5.778855562210083,20.34855699936549
29,290000,54.03640477628555,-62.66118,0.063432515,-0.20000246,2.2418647,6.210398,53.06469,41.63285,14.940751,87.3658,87.18025,87.38151,87.20253,6.717814,0.7,-87.154785,-31.346247,0.0031407108,-1027.5016,-7.0429096,-7.1505237,-7.656289,-7.1758747,1.0913936e-08,0.3,-39.079475,62.104088,62.02475,61.700626,61.656166,0.40479928,0.484375,5.74976921081543,21.02792447010676
30,300000,53.73796060411718,-63.48576,0.06313258,0.031195074,2.46911,4.3722715,32.23316,35.07435,12.985677,86.22415,86.313354,87.34514,87.31984,10.447748,0.7,-85.95855,-36.78371,0.0013509104,-766.885,-5.7429223,-5.5368342,-5.866799,-5.8289447,4.120334e-06,0.3,-32.815125,63.10398,63.064846,63.53029,63.35985,0.5032723,0.39999998,5.683257341384888,21.71028815905253
31,310000,54.60399863504932,-63.131207,0.06262264,1.1388667,3.5450997,2.780223,49.166553,166.61542,11.503564,87.63133,87.251724,86.95285,86.7714,21.189163,0.7,-86.45992,-30.914125,0.0008362875,-584.8344,-6.2094874,-5.5246277,-5.8293314,-7.22423,2.6153111e-06,0.3,-37.483154,62.53878,62.383846,62.48009,62.299664,0.6417453,0.46249998,5.641639709472656,22.382851533095042
32,320000,53.64889652681741,-65.6738,0.063349046,0.22344846,3.7356305,5.9843297,37.252758,188.50145,10.77228,87.06196,86.27828,86.94123,85.96324,48.371746,0.7,-86.928566,-37.748104,0.0029116077,-1034.654,-7.0167775,-8.01557,-6.429404,-6.7403355,7.0549436e-07,0.3,-38.62041,64.68054,64.73378,64.9664,65.01124,0.63990974,0.465625,6.088881015777588,23.07114879290263
