,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2551437047935607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-2.2450093830390956,-35.68384,0.09329631,-2.0286493,1.1215837,0.3274657,26.907667,38.594322,12.278196,43.990665,44.01011,44.31934,43.634113,3.2764583,0.7,-44.44224,-32.298313,9.314428e-05,-11.06563,0.047901183,0.47150537,-0.19916146,-1.7932341,1.3201498e-08,0.3,3.0951927,35.025223,35.05235,35.128464,34.59631,0.13530241,0.45,6.347334623336792,2.1967997193336486
2,20000,-2.299297198095039,-59.7583,0.11525065,0.043970883,2.0464122,-6.1911826,20.351597,33.431137,13.51463,69.42285,69.43237,68.88071,68.36855,3.179185,0.7,-69.600174,-31.979916,0.000151604,-21.60817,3.6957355,5.901841,3.9790404,7.9916425,9.967135e-06,0.3,2.7999496,58.966934,59.01138,58.5786,58.60372,0.18505384,0.440625,6.22649884223938,2.8765961726506553
3,30000,-1.1330716066794768,-73.06462,0.104216024,0.4898234,2.4340549,-42.25823,25.916626,31.225685,14.06191,81.773735,81.740814,82.66378,81.56004,3.6609857,0.7,-83.24463,-22.105322,0.0045598187,-10.336516,44.697964,40.030823,44.554897,43.415947,1.4522014e-05,0.3,3.3016639,72.34454,72.24997,72.5296,72.36987,0.1778728,0.49062496,7.13690185546875,3.5728630860646566
4,40000,-0.04471198239170726,-79.64136,0.091598794,-0.9496381,2.1557002,2.6661167,28.008135,29.697746,13.762403,88.82558,88.81679,88.385445,88.20833,1.7344574,0.7,-89.787704,-24.619068,0.00028496992,-17.722752,-3.352336,-2.6096523,-2.0855618,-1.9153156,1.2102391e-05,0.3,3.8304443,79.14402,79.13841,78.94147,79.03593,0.12147973,0.41875,6.198953866958618,4.249684043725332
5,50000,0.8400763456140014,-82.575516,0.08082006,-0.60775536,2.5953083,2.1593933,35.62602,146.39015,13.794267,93.73032,93.02524,92.81111,93.831566,7.1629777,0.7,-93.93733,-30.100368,0.004741832,-32.87506,-3.4461665,-3.5111125,-6.194249,-4.925894,6.780436e-07,0.3,3.9297643,82.05261,82.14981,82.36865,82.33888,0.19409662,0.3984375,6.125431776046753,4.925197927157084
6,60000,1.3586920786844219,-87.542625,0.06922367,0.19937426,1.1898108,-63.356422,23.36333,22.772509,13.988036,94.557686,94.33748,94.350945,93.65258,2.0691197,0.7,-94.93672,-30.899298,0.0032908448,-6.975548,62.500427,62.322647,61.468307,62.69265,1.7462299e-09,0.3,4.7404346,87.038864,86.95475,86.77415,86.67004,0.10655076,0.4890625,6.146275520324707,5.606377593676249
7,70000,2.1698358992823414,-88.1318,0.060094085,0.8034843,1.6242613,7.563284,23.87013,70.11949,15.661108,95.51644,95.56928,95.394196,95.62916,2.0947723,0.7,-95.8376,-26.417353,0.0037127857,-10.516073,-9.482721,-8.253969,-7.9398565,-7.80899,1.678127e-08,0.3,5.081238,87.655,87.71904,87.76997,87.61225,0.10530797,0.5109375,6.648993015289307,6.290137294928233
8,80000,2.6659326921969013,-88.58922,0.053731974,-0.4667963,1.5298084,2.6056046,31.346783,59.12719,13.877121,95.285675,95.25996,95.6271,95.92136,7.0182343,0.7,-95.82382,-30.468433,0.00023322325,-11.987628,-2.4423358,-2.4669118,-3.1328716,-3.9218123,1.5334924e-06,0.3,5.0870714,88.08754,88.13264,88.41599,88.466774,0.11517188,0.3953125,6.252332448959351,6.9671524127324425
9,90000,1.9800289940937552,-89.42744,0.05002636,-1.3781621,0.8452415,-65.87139,25.061598,9.465754,15.047687,95.674194,95.64821,95.930305,95.810745,1.1371641,0.7,-95.86204,-28.674618,0.0021641867,-6.845681,65.15416,65.41788,65.33446,65.80927,2.9059012e-07,0.3,5.1598177,89.047844,89.00316,89.10423,89.04686,0.06754932,0.46875,6.17641019821167,7.652516130606333
10,100000,1.0734492750485585,-89.76758,0.047408182,-0.105820596,1.5396143,-68.35267,28.7705,36.56529,16.06231,95.526054,95.54783,95.492966,95.133415,1.40011,0.7,-96.11682,-36.170456,0.00031923514,-5.401445,68.38915,67.74589,65.70932,68.15296,2.6077032e-09,0.3,5.000528,89.34938,89.31295,88.969894,89.14346,0.07978286,0.48125,6.159865856170654,8.335214483737946
11,110000,10.274726811057603,-89.583435,0.04611688,1.3962103,1.3581607,-70.11694,38.11237,33.072315,14.636884,95.99996,96.25598,96.74255,96.72834,0.9836371,0.7,-96.96999,-30.239998,0.00027378515,-4.8642626,70.023315,69.894104,69.73434,69.543945,1.2078498e-06,0.3,5.7011166,89.14271,89.107895,89.5146,89.38733,0.06221678,0.47031248,5.92501425743103,9.014414775371552
12,120000,23.869447808361,-89.39976,0.045391038,-0.4007989,2.0095253,0.7817,42.936325,195.74463,16.077858,95.61094,95.66766,95.92862,95.574905,1.4298425,0.7,-96.025085,-46.027657,0.0019219173,-9.753365,-0.09625077,-0.69141716,-0.77452624,-0.9945853,1.688971e-06,0.3,5.0002832,88.916115,88.94566,88.91896,88.90041,0.07895259,0.45,6.020880699157715,9.696699305375416
13,130000,39.393004078150234,-90.83419,0.044452306,0.3869934,0.8516613,-68.990715,42.26813,21.002378,16.930878,97.121124,97.223404,96.997116,96.76073,0.96459347,0.7,-97.38516,-32.50849,0.00080870494,-6.748524,68.96885,69.39169,69.46956,69.43013,2.508302e-06,0.3,5.8382907,90.34456,90.32073,90.21746,90.17571,0.0548295,0.48281246,6.234250783920288,10.377189648151397
14,140000,37.539923850345396,-88.42697,0.044283807,-1.0561483,1.1255144,-0.54694504,46.52435,50.511417,16.005644,96.27412,96.64892,96.93972,96.38117,10.097861,0.7,-97.35338,-36.488804,0.000279275,-10.660984,-0.33442134,0.39269304,-2.789778,-3.670204,1.4483929e-06,0.3,5.0481634,87.87514,87.86028,88.04324,87.959755,0.11365573,0.4734375,6.066552400588989,11.058040797710419
15,150000,48.901167489961495,-89.37041,0.04411257,-0.9994526,1.8334997,-1.1893485,32.214733,262.69223,17.222595,95.44362,95.74225,95.71528,95.44409,9.002297,0.7,-96.2289,-31.009518,0.0019726753,-9.697161,0.44936693,0.5921084,-0.27211148,0.15375042,5.0466045e-09,0.3,5.4052343,88.879456,88.88107,89.06107,88.88377,0.10053854,0.4703125,6.362107992172241,11.742128610610962
16,160000,53.373498229661166,-90.14357,0.043491706,0.46366075,1.108558,0.809215,29.851397,23.656788,16.207022,97.314674,96.98762,97.27006,96.174675,2.1616085,0.7,-98.33608,-33.823833,0.00035760843,-8.971799,-0.21124756,-1.8824611,-3.0974636,-2.8291917,1.11758716e-07,0.3,5.809304,89.63221,89.61958,89.4636,89.3356,0.11572457,0.5234375,6.110332012176514,12.424313473701478
