,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,5.215427669963779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,19.046903166067978,-27.611141,0.057290837,-8.050788,1.4308009,6.79664,21.38786,98.41873,22.963135,54.257633,55.25596,55.432793,53.579597,5.439805,0.7,-54.663097,-21.499342,8.989705e-05,-9.116021,-5.96393,-5.781504,-3.4614594,-6.4890738,4.2183927e-07,0.3,-0.73724055,27.300013,27.305105,27.424284,27.13776,0.1590837,0.4421875,1.518991231918335,1.861288853486379
2,20000,19.32187600712767,-47.342567,0.0037235662,-6.327401,1.6078763,4.053355,64.172104,46.4739,10.814231,76.77426,77.13336,76.910034,76.71148,12.998905,0.7,-77.47691,-45.695004,0.0015934375,-8.905793,-2.2234137,-1.0763446,-2.9210243,-5.1612144,1.3769791e-05,0.3,-1.0830861,46.67682,46.63766,46.828888,46.56304,0.48909616,0.4265625,1.6965479850769043,2.444530948003133
3,30000,23.577401622360487,-57.946507,0.000223831,-6.199438,4.644717,-3.6995153,158.65388,59.14095,13.170652,88.85298,89.26282,90.26429,89.78293,93.13197,0.7,-89.31766,-55.58369,0.0013135618,-14.995809,-0.7149646,-1.002675,-0.2441282,-1.768904,1.616038e-05,0.3,-1.4905288,56.929585,57.000214,57.795647,57.818893,1.0869784,0.41875,1.875309944152832,3.0333832263946534
4,40000,24.400919344405246,-63.79277,1.35309065e-05,-0.90313554,2.9938726,1.4902174,347.75757,168.55032,8.563268,94.62382,95.10721,94.756676,94.86499,117.17476,0.7,-95.54818,-91.68592,0.0013588597,-13.496598,-0.4697134,-0.6814095,-1.2246188,-1.6715201,2.45624e-05,0.3,-1.3452046,62.604057,62.57718,62.775482,63.02151,1.0953418,0.41875,1.9549787044525146,3.6177700042724608
5,50000,33.0184245859374,-64.27287,8.4939893e-07,-7.192563,4.1420107,5.0872164,291.85648,145.67828,8.1717205,98.454865,98.21592,99.741806,99.31297,37.137455,0.7,-99.399895,-175.2564,0.00050131796,-21.204561,-4.4542594,-4.171677,-2.9180799,-3.628303,3.656272e-05,0.3,-1.4264581,63.034683,63.119045,63.420326,63.399292,1.1987896,0.48125,2.407231330871582,4.214609730243683
6,60000,41.32311370668824,-65.2684,5.422646e-08,-12.206694,2.8466654,-2.6325197,345.364,65.581375,6.6312814,100.18297,100.60935,100.52725,100.60407,29.9109,0.7,-101.55054,-191.55403,0.0018699982,-9.491062,2.849428,2.158722,0.889792,0.9629886,1.3522805e-07,0.3,-1.3754328,64.421524,64.51257,64.59206,64.53491,0.9478632,0.46406248,3.063365936279297,4.823741380373637
7,70000,40.69699140941313,-64.6747,3.714796e-09,-15.305524,4.4465795,3.202076,401.5464,192.50577,21.157663,101.37969,101.36813,100.246796,100.71607,32.95653,0.7,-101.90388,-164.06587,0.006759011,-11.522764,-5.011365,-4.0590677,-4.2731953,-3.9925144,8.654595e-06,0.3,-1.5778451,63.91674,63.83343,63.583786,63.8787,0.85941654,0.47812498,3.1373724937438965,5.434745653470357
8,80000,43.785318742745304,-69.31007,2.7409258e-10,-7.084813,5.045575,-4.649051,447.70337,277.7115,7.751365,101.06936,100.802284,100.76546,100.411316,87.778496,0.7,-101.24101,-208.6411,0.0058433604,-16.349308,4.1975217,3.789613,1.4068575,3.526733,4.906108e-06,0.3,-0.99979174,68.38718,68.28793,68.29732,68.4308,1.2265517,0.4265625,3.534503221511841,6.049412457148234
9,90000,99.09573062602351,-67.082085,2.3059556e-11,-0.10359025,2.7993693,7.9004107,495.9112,30.068274,9.482298,101.04946,101.08916,101.38466,101.000305,30.821804,0.7,-101.80336,-267.82666,0.0031023505,-10.025002,-6.337166,-7.1424484,-7.718877,-9.30941,0.00016824604,0.3,-1.7778181,65.720535,65.69224,66.154366,66.07791,1.2152934,0.44375,7.259405851364136,6.7272049268086755
10,100000,85.11023186531746,-69.18743,2.1342216e-12,-14.120893,3.8539577,-0.10174298,688.92816,164.04425,7.8240376,101.776596,101.534164,100.916916,100.13342,86.61203,0.7,-101.46381,-196.73985,0.005725556,-18.162516,1.8156269,-0.81451106,2.368933,-0.5031502,1.3522805e-05,0.3,-1.6433024,67.86034,67.96924,67.99648,68.039246,1.044586,0.44375,6.104820251464844,7.381368923187256
11,110000,85.18129203922568,-64.64306,2.2107676e-13,-7.5142126,4.958661,7.09077,804.9832,274.4227,9.9418335,100.21039,100.02141,101.16054,102.019775,36.793346,0.7,-100.78467,-322.20297,9.700889e-06,-10.462043,-15.892338,-17.833254,-28.536251,-12.951319,2.5348447e-06,0.3,-1.7015653,63.360367,63.224323,63.53296,64.095764,0.97385734,0.41562498,6.316553354263306,8.045999495188395
12,120000,58.38517549402591,-67.00375,2.4206765e-14,-9.702276,3.299457,-0.04008192,906.00024,45.727238,7.5583916,102.258995,102.76749,101.162,101.29989,24.878204,0.7,-103.275505,-261.109,0.0044020275,-14.237816,-3.192126,-0.3870542,-3.9372451,-2.1317122,1.754769e-06,0.3,-1.0823243,65.79941,65.85512,65.07982,65.19153,0.96837527,0.5203125,4.057864665985107,8.672383610407511
13,130000,100.7259946810936,-68.86679,3.0752035e-15,-14.915641,4.841133,-2.2206464,538.55804,139.90178,9.740965,101.39591,101.444664,101.761536,101.85828,37.34004,0.7,-101.61187,-261.94223,0.0015149883,-11.473729,-0.6269946,2.5825336,4.3570423,3.9269302,4.5955358e-06,0.3,-1.590762,67.46755,67.49438,67.66795,67.87837,1.3697256,0.44843748,7.2647387981414795,9.354197637240093
14,140000,85.48311334313878,-66.69,5.4845876e-16,-6.840767,3.8389082,-2.9444394,792.06366,54.549538,6.670404,102.20581,103.395386,102.069595,101.80992,171.88074,0.7,-103.05357,-251.8409,0.0059015388,-10.623024,-1.8163065,-0.44668734,0.22757836,0.10566178,2.5300587e-05,0.3,-1.5697436,65.07775,65.11998,64.942276,65.21931,1.3706329,0.4765625,6.126899480819702,10.01411674817403
15,150000,78.73188535807515,-68.21254,1.5263069e-16,-8.078952,2.5886884,-1.8029891,850.8906,62.743095,9.01227,100.84683,99.92978,101.49394,100.695206,183.73236,0.7,-101.8572,-314.59082,6.0022343e-05,-9.8053875,0.65850365,0.26349577,0.90140975,1.0267771,1.28551155e-05,0.3,-1.2287606,66.90253,66.84152,67.06695,66.89932,1.3872782,0.49999997,6.100182294845581,10.673808201154072
16,160000,71.54490167268575,-69.76533,5.7811984e-17,-8.177488,4.468311,2.4749274,893.6245,173.88779,7.0805283,103.41062,103.508644,103.200294,102.778595,35.502144,0.7,-103.61442,-360.0631,0.00375667,-11.91908,-1.7475902,-2.068705,-0.89974105,-0.7222834,5.554534e-05,0.3,-1.7512546,68.273,68.10686,67.92748,68.43508,1.1981678,0.44062498,5.731537342071533,11.317995524406433
17,170000,40.44591805965015,-69.58571,3.751379e-17,-2.122907,5.651483,2.0496216,1104.3419,145.79971,6.2628474,103.87769,104.060776,102.93006,102.75807,17.048239,0.7,-104.4237,-338.79672,0.022149596,-13.212439,-3.3996315,-3.760435,0.9457863,-7.54439,2.7934368e-05,0.3,-1.917208,68.2923,68.23576,67.521576,67.600426,0.971833,0.48125,3.187610149383545,11.927537612120311
18,180000,73.54958677842161,-68.046326,3.546495e-17,-4.215328,3.2316232,3.4872684,823.59814,74.37966,7.4091015,102.39109,102.3286,102.68359,102.88746,41.408554,0.7,-102.97622,-407.37003,0.0020478559,-10.345587,-4.2199063,-4.487052,-8.730554,-4.963487,1.0850555e-06,0.3,-1.5177083,66.61517,66.5215,66.63487,66.647125,1.2206424,0.45156252,5.820902109146118,12.577486364046733
19,190000,72.57994243649702,-67.43201,4.47195e-17,2.3115141,3.5266242,3.615254,1577.7661,65.6523,5.4755597,101.5708,102.01725,102.52218,102.875374,150.73776,0.7,-101.71299,-326.3982,0.019710539,-14.848482,-3.2815762,-4.82507,0.3688804,-4.0688004,1.4144462e-07,0.3,-1.4506936,65.96675,66.05792,66.615555,66.74651,1.4715136,0.415625,5.5851967334747314,13.227923731009165
20,200000,68.15174846482462,-67.83162,7.07026e-17,17.939407,6.503186,-1.3076278,1147.1263,63.493126,25.541803,104.26921,104.373474,104.19501,104.62512,18.554344,0.7,-104.298546,-296.37387,0.009242713,-11.136816,0.8095207,0.43361133,-0.26318744,0.11618319,1.18813475e-07,0.3,-1.5659344,66.49066,66.51829,67.59231,67.50621,0.8779804,0.39374998,5.133556127548218,13.868260375658672
21,210000,78.23996265664367,-66.70946,1.2951622e-16,-1.2858081,4.553485,2.472385,897.74554,133.99504,7.2562256,103.63686,103.864624,104.13912,104.14234,145.76134,0.7,-104.62273,-346.01712,0.005883114,-13.272394,-6.7022085,-6.2368393,-8.501439,-4.084278,1.9016444e-08,0.3,-2.022911,64.94775,65.033905,65.1587,65.58018,2.444353,0.40625,5.9443089962005615,14.523568940162658
22,220000,45.598181525296745,-67.0225,3.1404517e-16,-2.2150245,5.9032016,-1.5701543,1285.9124,88.0651,6.58552,102.242905,102.56713,103.459274,103.30942,114.8409,0.7,-102.2837,-340.82913,0.0046517784,-9.330456,-2.297213,-0.6642766,-0.6208971,-0.13530207,1.7742814e-05,0.3,-1.5244442,65.44357,65.467255,66.5181,66.700424,1.3686252,0.4296875,3.602945566177368,15.14096470673879
