,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.111066623844924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,52.15471387891155,-41.168613,0.066617586,-4.794867,0.4506407,1.9883745,20.015448,23.769196,7.3363605,59.84744,59.769775,62.03677,59.896523,2.1594157,0.7,-59.729523,-17.985117,0.00022540837,-5.188411,-0.8170026,-0.62218887,0.47276688,-0.4338675,5.347829e-09,0.3,1.2835362,39.966938,39.981552,40.070274,39.508724,0.04162074,0.4359375,3.8329765796661377,1.9977562387784322
2,20000,54.23610164022797,-66.489334,0.0037070815,-6.9699736,1.5499628,-9.382278,27.941132,128.74812,8.218944,86.70652,86.57871,86.179924,86.139336,3.6158159,0.7,-90.188866,-49.74445,0.00021269867,-5.0342436,10.479669,10.94929,9.782917,9.397437,4.172325e-08,0.3,1.4971993,64.76996,64.78445,64.860825,64.61917,0.121103846,0.465625,4.003634691238403,2.623530121644338
3,30000,52.62084308359245,-77.070625,0.00019768754,-11.778661,1.3822353,0.13701248,47.746883,41.941082,8.420939,98.59343,99.236595,98.90123,99.0962,6.6356864,0.7,-106.13589,-77.29092,0.003044652,-7.898879,2.1751912,0.12705392,1.4265859,1.2069113,8.250936e-08,0.3,1.4197412,75.36508,75.315674,75.05667,75.20023,0.16535671,0.425,4.116663932800293,3.2545313556989033
4,40000,47.454257406465835,-85.23865,1.0374585e-05,-11.964779,0.7652087,2.5429504,70.74431,20.679932,9.565944,104.780525,104.5183,105.26012,104.98198,1.3172367,0.7,-110.2079,-77.19482,3.9412873e-05,-3.7746086,-0.42752087,-0.7353412,1.3318639,1.001227,2.20716e-05,0.3,1.7143152,83.39684,83.41925,83.39098,83.449066,0.0920198,0.40156248,3.480494499206543,3.8558186690012612
5,50000,45.45964663272866,-90.51747,5.352236e-07,-16.675804,0.62589043,0.2815441,102.33387,9.501828,9.240973,108.778015,108.57326,108.12225,109.443535,3.8480945,0.7,-112.898766,-111.51374,0.00030602445,-4.4803987,2.0445123,1.6715696,1.7405834,1.3170961,1.2765114e-06,0.3,1.8620716,88.61745,88.55189,88.33441,88.324936,0.1435481,0.51874995,3.318476438522339,4.461804815133413
6,60000,42.72038304673678,-91.713,2.780743e-08,-21.059013,1.095355,1.7683446,123.95525,59.5667,8.295722,110.351074,110.32561,111.118935,111.10657,3.3426151,0.7,-115.23648,-201.45012,2.2797496e-05,-5.1485925,-0.29582494,-0.12619036,1.2961583,-0.6741674,1.8840656e-07,0.3,1.8754029,89.724174,89.76902,89.701065,89.583725,0.15701687,0.49375,3.133256435394287,5.055341223875682
7,70000,46.15556072664572,-90.08919,1.4493069e-09,-26.289356,1.1164335,-0.1507057,126.66129,17.841042,8.851275,111.2668,111.12428,111.86856,112.26705,2.9931128,0.7,-117.42986,-181.58318,0.00026743917,-3.6890059,1.1881927,1.0433682,1.3606378,1.1571082,5.547929e-06,0.3,1.5202461,88.51173,88.461555,88.72827,88.569275,0.11360643,0.45625,3.4289162158966064,5.673043314615885
8,80000,45.37862816799815,-89.32016,7.536561e-11,-25.15063,1.0955586,-3.470106,158.79234,17.820448,9.297538,114.39771,114.48195,113.210846,113.08185,8.253246,0.7,-120.52275,-173.57556,0.00042414584,-6.6545515,3.0924242,3.689329,3.7002344,2.7964418,1.11758716e-07,0.3,1.5970737,87.446884,87.535095,87.54131,87.39753,0.17001419,0.5265625,3.397899627685547,6.291578900814057
9,90000,53.27390667197317,-89.46187,3.913324e-12,-25.2065,0.6679432,-7.945979,159.3137,14.467035,12.288893,113.81679,113.7862,112.61203,113.1673,6.0228333,0.7,-117.70618,-231.73212,0.0016834904,-2.5078397,9.408211,9.2783,9.506904,9.248041,6.780436e-07,0.3,1.8233981,87.47024,87.477295,87.48976,87.55171,0.14121974,0.475,3.9657044410705566,6.923761427402496
10,100000,50.09844139606613,-90.23395,2.0321341e-13,-29.76854,0.9678124,1.3046029,281.66162,19.30274,16.237097,111.22692,111.26998,111.796776,111.638725,5.6040306,0.7,-119.24245,-211.0396,0.0017252599,-4.2001386,0.8118646,1.1166914,0.96995604,1.208248,2.9511285e-09,0.3,1.9934587,88.0572,88.106735,87.973434,87.900345,0.12201807,0.52031255,3.2984299659729004,7.539815207322438
11,110000,54.71685734301751,-90.5074,1.0576666e-14,-24.383995,0.7084456,-7.225884,396.61636,23.715954,16.072697,111.203186,111.66597,112.26187,111.57007,4.5756245,0.7,-123.2782,-273.57324,0.00043725275,-3.625855,10.414043,9.955798,10.16075,9.843462,5.5950954e-07,0.3,1.9926109,88.38258,88.352554,88.404495,88.30289,0.1058968,0.440625,3.9994308948516846,8.16994990905126
12,120000,49.30378651284071,-92.61792,5.475661e-16,-38.301098,0.6289012,-13.998311,217.68115,10.960024,10.647043,111.74617,111.64648,112.74348,111.26249,5.7160735,0.7,-120.54502,-335.62955,0.0006747316,-5.3922906,15.73644,14.86362,14.635869,14.472857,9.915791e-07,0.3,1.7261871,90.771095,90.80455,90.74525,90.63657,0.12032345,0.4125,3.672616481781006,8.794141276677449
13,130000,54.239616048966376,-89.83326,2.859358e-17,-44.044647,0.9054967,0.9915619,182.0586,9.8390255,8.764719,110.39665,110.948875,111.04728,111.10245,1.7323452,0.7,-119.185135,-338.0303,0.001750988,-3.743991,0.8229054,1.2894434,1.2254233,-0.8592051,2.766098e-06,0.3,1.861334,87.84899,87.95445,88.2013,88.21852,0.10995558,0.38437498,3.979557991027832,9.423217864831289
14,140000,55.06548174193148,-91.96552,1.4830299e-18,-37.973003,1.079294,2.0483828,270.2058,23.246532,9.210091,113.33785,113.198296,113.09449,112.91395,0.8999575,0.7,-122.31433,-287.14032,0.00068229745,-4.6347504,0.894837,0.61364657,0.6984795,-0.57481813,1.7217128e-06,0.3,1.9320976,89.94345,90.07628,89.75961,89.920135,0.069887,0.43124998,4.025500535964966,10.0549897869428
