,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.733566579364558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,9.853263573663405,-23.045506,0.05876787,-14.994082,2.616415,8.312813,21.757359,107.03877,14.77317,45.384308,44.670647,45.473427,44.868996,2.0284858,0.7,-45.713478,-41.02929,0.00043799798,-6.7151775,-7.785382,-7.6304545,-7.120762,-7.413944,1.5161349e-07,0.3,1.5709323,22.57756,22.582315,22.77098,22.240513,0.10783505,0.47031248,2.4508233070373535,1.8656010746955871
2,20000,3.3899478491224295,-37.4171,0.0035574206,-18.165741,4.3474874,1.8848404,86.65704,198.50534,18.616154,70.782074,70.7325,69.45729,72.3813,5.689258,0.7,-71.81766,-72.219734,0.00086735195,-10.067385,-1.4190238,-2.9411871,-1.426841,-3.2618515,1.0288459e-05,0.3,1.1275455,36.897125,36.79631,36.704308,36.6687,0.21039179,0.46875,0.9765286445617676,2.4724346001942954
3,30000,4.9563216807699035,-45.12994,0.00019515125,-20.758566,5.060387,0.87124354,150.87901,228.12146,20.060394,86.358574,85.945335,85.37287,85.81002,4.922353,0.7,-87.95452,-102.708565,0.00072465057,-10.760973,-1.3643247,-0.47553843,-1.349763,-2.4718847,6.006721e-06,0.3,0.42362273,44.298035,44.408005,44.24797,44.23875,0.27350336,0.44687498,1.524486780166626,3.0866684635480244
4,40000,11.908218994428132,-51.796566,1.0433244e-05,-29.393353,4.0337887,7.016108,229.9125,69.33893,17.48985,94.86794,94.69401,94.72414,95.818344,57.582157,0.7,-96.93532,-143.36853,0.0011094504,-18.710777,-6.9369545,-6.5862684,-7.635149,-8.166374,8.820655e-07,0.3,0.040559992,50.824665,50.996254,51.145683,51.02826,0.6891811,0.4359375,2.014648675918579,3.7077465494473776
5,50000,5.435465699900529,-51.749546,5.556243e-07,-26.31699,6.82475,2.4020169,398.86722,331.351,31.421669,101.75112,102.22547,101.36727,101.9528,28.956326,0.7,-104.20589,-169.40987,0.0005490437,-21.024511,-4.544785,-6.2037687,-2.0907314,-5.750879,1.249412e-05,0.3,0.100593925,50.6501,50.66768,50.72639,50.89068,0.58634603,0.40625,1.3094041347503662,4.325040904680888
6,60000,5.55345603190814,-55.380527,2.9765268e-08,-26.149944,5.0370736,0.3796054,499.80035,116.3748,17.598452,103.77668,103.72533,104.79424,103.959366,17.195812,0.7,-105.962326,-296.00775,0.00014618674,-11.349978,1.1292514,0.028293163,1.0774434,-0.7769933,4.4703486e-07,0.3,0.18876784,54.267677,54.279816,54.216232,54.31349,0.6320971,0.453125,1.2638120651245117,4.933762192726135
7,70000,23.571042010971986,-56.481396,1.5962792e-09,-38.639587,17.172518,11.911491,373.2927,3014.1409,19.302322,104.56535,104.63937,105.13421,104.5216,12.940283,0.7,-106.04122,-249.32985,0.0018225389,-20.152489,-15.11101,-16.190784,-16.342398,-16.342056,1.5380483e-05,0.3,0.056759812,55.415405,55.609535,55.684383,55.75004,0.5207262,0.453125,2.706200361251831,5.569742584228516
8,80000,36.33610540064056,-57.217766,8.4031046e-11,-27.751282,5.0495167,0.27500713,717.7986,306.1609,20.255825,103.682205,103.776505,104.42828,101.23342,8.672454,0.7,-107.7294,-285.20456,0.0014194252,-16.083668,-0.16364542,-1.4610496,0.7744257,-1.3762145,3.2137789e-06,0.3,0.3686414,56.083008,56.0069,56.201096,56.0744,0.47294214,0.44687498,4.0073082447052,6.225392619768779
9,90000,36.2032496715763,-59.499176,4.4676394e-12,-33.790325,6.3795915,9.229261,539.8723,390.67624,20.687344,100.60735,100.342255,100.76656,99.94221,33.654152,0.7,-102.52479,-372.8776,0.0013389746,-17.398003,-8.203052,-10.103769,-10.600859,-9.646876,2.724555e-06,0.3,0.6531478,58.270683,58.17486,57.60138,58.004204,0.5921631,0.43906248,3.8632938861846924,6.872025148073832
10,100000,48.6970440923721,-58.56683,2.390086e-13,-40.282536,6.8518105,8.087433,1085.6227,119.615715,15.045904,105.38167,105.46561,104.85059,105.36795,10.430156,0.7,-106.77931,-362.0101,0.0041952105,-11.892781,-8.896268,-12.191304,-11.546688,-10.089191,0.00010515999,0.3,0.28549814,57.52442,57.61194,57.81459,57.609,0.52516156,0.45000002,4.41715407371521,7.538079559803009
11,110000,54.430665324359055,-56.95275,1.2789422e-14,-54.896362,4.5496583,4.3689203,784.86194,83.455956,28.16199,106.23663,106.18361,106.1979,107.51178,20.65379,0.7,-107.21665,-383.61142,0.0017045564,-15.891859,-6.7584386,-7.480187,-7.0718737,-7.3691554,2.6077032e-07,0.3,0.4579717,55.84326,55.90358,55.896774,55.792637,0.6777474,0.4453125,5.163406848907471,8.214477364222208
12,120000,41.08551578166392,-59.06938,6.9617114e-16,-53.680588,6.7001944,6.5699964,634.7545,172.57407,14.916745,106.52007,105.21365,105.90784,105.031166,28.73369,0.7,-107.72503,-497.06793,0.00017855188,-17.640726,-9.58788,-8.759068,-10.016845,-9.424836,4.4146438e-07,0.3,0.8109118,57.7249,57.814644,57.146294,57.097603,0.7699673,0.5078125,4.137088775634766,8.872555875778199
13,130000,73.71505333207102,-58.168266,3.7608786e-17,-77.85278,5.3401465,2.9555058,755.24786,163.57735,21.263275,103.97843,102.137535,102.71353,102.81408,57.289402,0.7,-105.80013,-488.2464,0.013724101,-18.525457,-2.6464205,-4.613702,-6.534134,-4.956426,6.4977216e-06,0.3,0.44077876,56.845802,56.87053,56.249405,56.239334,1.0968144,0.5296875,6.412752628326416,9.571862812836965
14,140000,77.05543295572774,-57.149017,2.0496497e-18,-37.6658,4.4615054,5.771908,1417.7078,209.11852,21.929539,99.68904,100.20605,100.619896,99.93584,15.979262,0.7,-103.34298,-522.0675,0.0018299248,-19.521778,-8.667623,-7.585144,-3.6210065,-5.796029,1.9186584e-06,0.3,0.372368,55.607758,55.570526,55.891132,55.953556,0.70893764,0.43125,6.70927882194519,10.270703021685282
15,150000,66.58258190224053,-56.58095,1.1084984e-19,-69.55568,7.5062404,12.532353,1641.6781,247.39005,14.48354,102.60528,102.89767,100.60931,100.861855,36.118702,0.7,-105.05017,-536.1339,0.002898417,-17.871796,-8.490195,-7.518147,-5.9694734,-7.2871237,6.265007e-07,0.3,-0.44418803,55.380684,55.426548,54.88912,54.855988,0.6755024,0.4921875,6.042765855789185,10.959563787778219
