,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.777053287312132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,59.740283637889824,-36.89721,0.08322825,-4.3516436,0.43821815,-9.312141,28.455406,20.651201,17.42516,45.72363,45.798317,46.305878,45.072746,1.3248096,0.7,-58.123035,-32.23048,0.00038427423,-7.37429,6.9301286,7.060924,7.0227675,5.8992743,2.0975968e-07,0.3,4.81644,32.450317,32.470436,32.38585,31.91951,0.03487211,0.49374998,6.031381130218506,2.1197226921717327
2,20000,62.853837762129075,-57.545357,0.0058020293,-2.4017532,1.4526417,-17.270994,67.65444,56.772045,16.884996,70.932945,70.92526,70.10316,70.49093,1.9875506,0.7,-83.59562,-57.12083,0.00037751632,-5.581425,14.164485,14.189513,11.270501,13.919999,1.2078498e-06,0.3,5.3194294,52.25413,52.24931,51.984734,51.850433,0.05213969,0.421875,6.554311990737915,2.811398426691691
3,30000,56.70814004412149,-69.60081,0.00038071885,-1.9092569,2.4598398,-18.607988,82.5764,269.59314,17.160585,87.3311,86.912125,87.751915,88.11569,5.1485753,0.7,-98.46132,-82.4705,0.00044577318,-4.995034,16.71596,14.2960615,15.305196,16.198177,4.649442e-06,0.3,5.5350227,64.131226,64.05075,64.09497,64.0587,0.11445003,0.42812496,6.40558123588562,3.4971560716629027
4,40000,69.63659747570438,-75.857544,2.6533216e-05,-9.579068,1.2470641,-23.38631,140.68805,57.05438,22.08583,94.87262,94.94587,95.44199,94.5091,3.9507546,0.7,-107.5238,-114.08206,0.00050460943,-5.029726,18.5879,18.441692,18.106306,18.72669,9.562355e-08,0.3,4.95849,70.9079,71.0347,70.95966,70.994644,0.14585249,0.41562498,6.88519024848938,4.196915578842163
5,50000,68.32718011667129,-82.601364,1.8924612e-06,-5.7403703,1.2668288,0.6374595,163.29695,39.66072,16.476313,100.3887,100.55875,100.97435,100.884346,1.8592144,0.7,-112.57483,-125.37033,0.0010647404,-5.290656,2.3538594,3.8821058,2.5458436,3.8071375,6.519258e-08,0.3,5.4211626,77.20384,77.22354,77.45775,77.4456,0.09743722,0.39999998,6.855185270309448,4.892482344309489
6,60000,78.8066826411243,-83.059814,1.3929754e-07,-9.561878,2.6668968,-0.8004586,163.98572,241.01129,17.765917,102.90321,102.63888,102.44696,102.596466,3.8768978,0.7,-115.65131,-151.51779,0.0003319519,-3.6727755,0.027152836,-1.032009,-4.014271,-3.248849,1.0300835e-06,0.3,5.62247,77.577225,77.46889,77.36253,77.41104,0.14231196,0.46093747,8.45471477508545,5.610427172978719
7,70000,77.88615021025393,-83.478294,1.04349684e-08,-12.976872,1.9261496,-9.328039,228.08684,111.5511,17.161188,101.43551,101.83952,101.87256,101.87173,12.304477,0.7,-115.98946,-165.39809,0.0016359149,-3.6328,3.197113,2.7058115,4.759373,3.8875983,7.731458e-07,0.3,5.2772293,78.199425,78.2359,78.27661,78.39436,0.17510544,0.4265625,7.477528810501099,6.317951480547587
8,80000,74.52262887382564,-86.05711,8.153198e-10,-4.0229464,1.4625933,-23.877838,269.06137,26.432865,18.911045,102.64191,102.833694,103.46474,103.03845,2.8402727,0.7,-116.95582,-229.32497,0.0028616823,-9.445069,17.12942,17.13068,16.505396,17.65596,1.9016444e-06,0.3,5.7946367,80.186935,80.23863,80.64809,80.53638,0.10341508,0.4890625,7.286678314208984,7.023305610815684
9,90000,72.4545836702695,-88.58916,6.5258965e-11,2.82427,1.6621792,-20.155018,343.01883,57.31259,18.670527,102.82029,102.6936,103.09554,102.27164,9.849961,0.7,-119.231766,-221.86423,0.000117336924,-4.996958,17.907291,17.402605,20.538538,18.873089,7.377821e-08,0.3,5.9075947,82.789894,82.706894,82.82663,82.82451,0.15970066,0.45156246,7.2698047161102295,7.728087961673737
10,100000,79.54014105857145,-85.178665,5.439344e-12,-7.758956,1.4271588,-21.674805,359.1126,42.32421,20.76443,103.55688,103.45834,104.470215,103.1792,2.5093384,0.7,-118.747215,-318.41272,7.5211865e-06,-6.0327973,8.690981,8.357763,9.277729,7.579124,3.8574218e-08,0.3,5.6224837,79.71887,79.57964,80.00328,79.876724,0.112441935,0.421875,7.88948392868042,8.445354008674622
11,110000,79.269037081877,-84.21042,4.671874e-13,-3.64798,3.573426,0.48685968,379.991,289.17502,19.279491,103.80401,103.816086,103.767334,104.36995,8.310836,0.7,-117.13083,-278.8506,0.00026865397,-6.997379,-1.6336708,-2.3308616,1.4361503,0.86063266,4.0745362e-11,0.3,5.5175877,78.72146,78.63536,78.88414,78.880775,0.20639515,0.4265625,7.692231178283691,9.160136131445567
12,120000,74.21939211123498,-83.988495,4.023351e-14,-4.859967,1.8113927,-24.011642,413.99945,95.54886,17.034895,105.018654,105.44922,105.43194,105.41471,6.3852377,0.7,-116.00426,-337.41916,0.0002980983,-3.579935,15.570405,16.604765,15.81006,15.462624,5.1660464e-07,0.3,5.730868,78.21992,78.28804,78.088135,78.1464,0.19623443,0.47968748,7.006951093673706,9.860386137167612
13,130000,71.10378353589046,-87.01569,3.57231e-15,-9.401321,3.150795,-3.4833531,457.2005,537.1304,17.891241,103.42975,103.471085,102.79812,103.04868,14.233239,0.7,-118.28946,-368.32275,0.00011907541,-3.1344533,1.1299576,3.3449621,1.2150018,0.6833496,6.1390897e-09,0.3,5.537284,81.580635,81.53197,81.52809,81.6349,0.14090887,0.4421875,6.922956466674805,10.563387211163839
14,140000,67.92295273376502,-88.82341,3.2592933e-16,-15.03771,1.4897575,-9.870593,401.01437,73.45605,16.845242,103.29901,103.50312,103.76579,103.76464,11.896748,0.7,-118.14754,-443.35696,4.3015985e-05,-4.91791,9.821,11.240855,13.235972,12.30932,4.9874075e-07,0.3,5.5685353,83.38318,83.28692,83.52211,83.55229,0.13290794,0.396875,6.490348815917969,11.256066612402599
15,150000,72.7413529236354,-88.367615,2.987006e-17,-13.165112,1.7858003,-9.7152815,389.40384,50.07242,14.831977,102.981636,103.2633,102.39162,102.56171,2.6350446,0.7,-116.59664,-641.7157,0.0005985485,-4.0442624,6.6529093,6.8189106,8.548288,6.105677,5.0466045e-09,0.3,5.726555,82.655396,82.77605,82.80675,82.773674,0.13895214,0.453125,7.278393745422363,11.95909912586212
16,160000,64.77377659524221,-86.865326,2.7841733e-18,-1.3020856,1.4662334,-6.2738724,461.06488,66.38448,17.335596,105.6505,105.21087,105.02883,105.03792,4.460979,0.7,-117.70909,-475.37952,0.00071561383,-5.983201,-1.9167261,-0.9172538,-3.270817,-7.199782,9.277763e-07,0.3,5.9099493,81.097946,80.99175,80.90047,80.90845,0.15001482,0.5421875,6.227827548980713,12.650085771083832
17,170000,73.5877728405181,-86.43806,2.7056755e-19,-6.5860105,1.4773808,-8.990417,385.93405,62.702217,18.03566,102.8206,102.92797,103.05853,102.80857,11.583017,0.7,-117.39281,-458.95206,0.0006976566,-7.058234,4.450227,5.1085677,6.5202503,6.681424,6.540399e-06,0.3,5.756277,80.65813,80.7039,80.920654,80.74701,0.17178056,0.48593748,7.275896787643433,13.355363710721333
18,180000,82.82498200041313,-85.73709,2.6276867e-20,-16.571136,1.1474872,-5.1701374,551.6918,44.24581,19.26647,102.412605,103.120674,103.0855,104.07648,8.566198,0.7,-114.11604,-613.189,0.004103182,-3.8005185,4.316701,4.705194,6.1793385,4.4903607,3.4741126e-06,0.3,5.3673325,80.3819,80.48844,80.68148,80.43502,0.11171944,0.40468746,8.06372594833374,14.068085805575054
19,190000,77.95407021696555,-84.557884,2.603728e-21,-7.670285,2.2131522,-13.379901,537.49005,34.356884,16.706783,102.16751,102.33961,102.412636,102.3644,5.1213894,0.7,-117.41748,-431.7862,0.0039561647,-4.131563,12.696462,13.407909,12.568468,12.716645,4.6411515e-06,0.3,5.6111283,79.02748,79.022995,79.59865,79.38045,0.1977108,0.40937498,7.82173490524292,14.78483004172643
20,200000,82.67656684652013,-85.06722,2.6020386e-22,-5.9507513,2.478994,3.0425107,525.9124,193.17809,16.59466,104.37069,104.74222,104.91954,104.4303,5.8270736,0.7,-117.86072,-627.4063,0.0008137313,-3.832821,-0.41253054,-1.2722118,0.8501406,-0.065983295,3.7550925e-07,0.3,5.83528,79.29855,79.26751,79.48387,79.441635,0.15002316,0.49843752,8.190321207046509,15.508166964848836
21,210000,74.80117036091666,-87.82832,2.689268e-23,-24.712769,1.3032372,7.2101192,692.4003,28.142553,18.369764,103.48306,103.34837,103.20331,103.2514,4.8248615,0.7,-118.149704,-537.37787,0.00097510894,-3.5261774,0.39368445,-2.3417766,-1.8463682,-1.7929484,3.6950226e-08,0.3,5.703821,82.15991,82.1766,81.82888,81.84749,0.09319404,0.49375,7.296509742736816,16.210326488812765
