,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,6.4645945998517735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,52.01696606820136,-41.301647,0.06706473,-4.695757,1.2524292,-4.350281,12.713868,99.91225,8.769729,58.494076,58.766315,60.219788,59.365337,12.009946,0.7,-60.73416,-18.121962,0.00029299234,-5.1363344,5.393127,5.561935,5.822177,5.9322195,1.9893987e-07,0.3,1.528326,39.77447,39.83605,40.182594,39.346855,0.12651561,0.53437495,3.9168949127197266,1.9908087690671286
2,20000,50.85249347950197,-64.87842,0.0037607513,-6.101628,1.1497908,-1.4052289,30.571695,47.08673,7.4955907,85.87406,86.28698,85.93096,86.096565,7.791075,0.7,-89.09509,-33.668877,0.0020521977,-4.9196043,3.4952588,3.8857188,1.1420931,3.9191644,2.3905887e-08,0.3,1.6664127,63.1214,63.182243,63.15992,62.77394,0.1352319,0.465625,3.7814035415649414,2.609429621696472
3,30000,54.14862249462979,-77.74634,0.00020220906,-10.7606125,0.96588284,2.4744995,57.539337,12.980423,8.649219,98.40865,98.39047,98.03065,98.14065,3.989355,0.7,-104.14146,-55.232765,0.0007158782,-4.4492555,-0.7382779,-0.8764361,-0.9678844,-0.23411717,5.3208323e-06,0.3,1.6226007,76.009705,76.01004,75.865585,75.930984,0.15265,0.47187498,3.8657596111297607,3.22809556722641
4,40000,49.09704767323477,-85.79655,1.0667915e-05,-10.345747,2.8285751,-2.6201792,114.75088,48.65543,12.949616,104.935486,104.71005,104.95942,105.335526,1.810516,0.7,-116.18071,-85.699715,0.003041332,-3.9848518,3.6342046,4.689538,5.344457,3.696604,2.2255526e-06,0.3,1.6538846,84.12779,84.0972,84.999596,84.89427,0.16211794,0.3640625,3.560051679611206,3.8401098052660623
5,50000,45.36246188085448,-90.624344,5.5562117e-07,-10.095088,1.7680997,1.6647668,103.50361,45.383682,9.747753,109.63939,109.62187,108.87412,108.86848,3.1296136,0.7,-115.044205,-128.71118,0.00079223944,-6.1399302,-0.2570027,-0.20693499,1.3275834,0.21796708,7.8724116e-07,0.3,1.873447,88.55758,88.566895,88.33223,88.551,0.12119548,0.41875,3.359614610671997,4.454185398419698
6,60000,44.658650439619194,-87.69075,2.897942e-08,-22.080616,1.1213734,1.66136,83.16732,26.04974,9.338679,111.23165,111.33202,111.00943,111.18678,10.1886835,0.7,-116.91514,-154.81279,6.230571e-05,-5.297608,0.14022109,-0.5203476,1.2172658,0.35507497,8.074567e-08,0.3,1.7460694,86.00389,86.01647,86.36355,86.21887,0.17943646,0.4375,3.314769744873047,5.065298350652059
7,70000,49.58950039727898,-90.62497,1.5211536e-09,-17.191746,1.271894,3.9766474,128.5387,47.83438,8.140778,112.32917,112.10243,113.21514,112.420616,7.9828,0.7,-118.41363,-166.06415,0.00024991232,-4.127579,-3.226873,-1.2357162,1.3174722,0.74673957,8.6217185e-08,0.3,1.9722548,88.453125,88.44797,88.642006,88.600876,0.15814939,0.40781248,3.5517919063568115,5.678757592042287
8,80000,42.80660154688528,-94.787735,7.9954814e-11,-25.171986,1.1939607,-1.1041999,262.49893,38.50992,9.160673,113.362,112.83001,113.46912,113.8195,5.714669,0.7,-119.09727,-249.11722,0.0013873437,-6.3862767,3.3208232,3.5541508,4.2802877,4.44121,6.008148e-06,0.3,1.9174991,92.81712,92.772156,92.998825,93.1427,0.13338217,0.37031248,3.170982599258423,6.28383436203003
9,90000,54.177363928885846,-94.7061,4.1984315e-12,-19.524845,0.8931842,-0.233289,150.35707,19.296362,8.413797,111.86984,111.592,111.59944,111.98286,2.8239124,0.7,-117.53346,-204.19872,0.0015421179,-4.9344945,0.9271221,1.7311623,1.3617015,1.243984,5.020236e-07,0.3,2.095409,92.61323,92.560455,92.89916,92.7945,0.10463352,0.38593748,3.8984999656677246,6.904601951440175
10,100000,48.57514096797602,-90.85319,2.1941493e-13,-22.423769,0.6760843,-1.1576059,365.3581,13.029192,9.237577,110.5152,111.01434,112.20417,111.43029,8.918089,0.7,-116.00702,-246.7906,0.0005480559,-6.0634885,1.6502516,2.3131626,1.3606563,1.2000505,1.2777745e-07,0.3,1.9651966,88.505875,88.5711,88.63858,88.63347,0.13998088,0.37499997,3.5240085124969482,7.519154262542725
11,110000,47.34126930724653,-87.49306,1.1469612e-14,-40.510254,0.6791698,2.5386953,185.53314,15.175085,9.726509,112.38818,112.69832,112.29372,112.99505,2.1451147,0.7,-117.34907,-297.00632,0.0001870871,-6.3561544,-1.516014,-1.0804508,1.4040684,-0.69598526,2.673303e-07,0.3,1.705492,85.712845,85.72836,85.854126,85.90228,0.09585185,0.453125,3.3841066360473633,8.132798353830973
12,120000,53.71803179943867,-93.42221,6.0076696e-16,-29.049957,1.5144601,-2.4069226,234.31581,55.42483,11.36623,111.75285,111.20408,111.475586,112.29891,4.1139746,0.7,-119.99518,-235.8892,0.0012764558,-5.4369383,3.421622,3.8081887,1.815794,2.5200715,2.8749926e-07,0.3,2.0831008,91.30989,91.323715,90.89377,91.02793,0.13282444,0.47031248,3.8682847023010254,8.755361104011536
13,130000,56.091784246617415,-92.0258,3.1498085e-17,-33.012695,0.7478759,-3.2752402,243.23428,27.336498,9.43715,111.95992,112.07842,112.829895,113.43111,1.5374156,0.7,-117.899666,-264.20554,0.0012197114,-7.1644807,3.3727355,3.328631,3.3915071,3.700001,1.5429687e-07,0.3,2.0343094,89.97879,90.04385,90.21541,90.258484,0.090621755,0.4265625,4.01638650894165,9.379150068759918
14,140000,48.573154622933465,-89.85573,1.6474802e-18,-44.200516,0.6590868,1.6527892,258.98016,16.6713,9.241102,111.70744,111.5671,111.725845,112.09786,4.0335293,0.7,-120.41699,-412.4442,0.0035510994,-8.046043,0.3377367,-0.1301373,1.3495877,0.95280933,2.4157924e-07,0.3,1.741297,88.00138,88.018936,87.77283,87.85463,0.10695939,0.509375,3.444796323776245,9.986434729894002
15,150000,50.60199785948516,-91.64793,8.638791e-20,-49.230824,1.3215266,-1.9617671,459.5782,21.867807,9.353636,113.70352,113.71318,113.70777,113.740486,3.9643843,0.7,-119.55092,-389.44345,4.7318754e-05,-3.572483,2.4961255,2.0130684,1.357887,1.4630116,2.1129382e-07,0.3,2.1207774,89.46109,89.42743,89.21518,89.19906,0.11408699,0.48125,3.630589008331299,10.605846770604451
16,160000,57.29740542892531,-90.07323,4.5399388e-21,-48.477356,0.57331514,-4.9331675,287.4876,18.300076,9.8696995,111.375946,111.351135,111.53628,112.00983,1.8583004,0.7,-119.200645,-380.24075,0.00018834817,-4.767794,3.6717582,3.5154476,2.5004997,3.3549504,2.8784154e-06,0.3,1.9095774,88.14958,88.16646,88.14968,88.2769,0.09593246,0.45468748,4.033636569976807,11.23020425637563
17,170000,61.66900011214926,-91.370544,2.3800714e-22,-52.44524,0.6032065,-1.8711519,244.9832,22.687923,8.015575,111.76517,111.551796,111.17513,111.511444,1.1165112,0.7,-116.92912,-363.97513,0.0014133963,-4.176111,3.8060956,3.6517918,3.4935095,3.8535662,6.9849193e-07,0.3,2.067216,89.345825,89.322,89.18549,89.418976,0.07212964,0.3875,4.34728741645813,11.857398124535878
18,180000,61.07308981690998,-89.74295,1.24784274e-23,-52.472923,0.7934855,0.5168959,279.10397,46.15773,8.712199,111.31489,111.88072,111.676315,112.47576,7.564615,0.7,-119.01896,-345.03152,2.1144864e-05,-4.5922294,1.551207,1.6346253,1.3334211,1.9462196,8.215895e-07,0.3,2.0806665,87.65013,87.75053,87.67799,87.76318,0.13357303,0.42343748,4.300969362258911,12.483335375785828
19,190000,81.52641861275232,-89.02226,6.533509e-25,-38.01686,0.61376715,-0.07062745,331.6149,20.875954,9.124189,111.72133,112.023315,111.84494,112.019035,3.0486453,0.7,-117.69905,-422.03992,0.00033047172,-5.044197,0.9801872,0.9040189,1.3797779,1.270479,2.5060028e-06,0.3,2.048996,86.89404,86.86476,86.98427,87.030876,0.081038535,0.36874998,5.810721397399902,13.133588361740113
20,200000,97.36771797033927,-90.63837,3.4305398e-26,-54.28383,0.5288249,-3.9582212,305.67566,15.12023,9.621868,112.11915,112.300476,112.035324,111.89044,1.0201565,0.7,-116.4357,-432.59653,0.00020651153,-3.61303,5.6566267,5.526126,4.9385386,4.747753,3.273989e-06,0.3,2.155404,88.4715,88.51489,88.56401,88.42183,0.07870284,0.5140625,7.070933818817139,13.80389730532964
21,210000,88.82448092034218,-88.80002,1.7937669e-27,-53.358974,0.55617887,-3.135604,437.0234,28.380396,8.709032,112.41317,112.81821,112.95455,112.86204,4.244871,0.7,-119.72296,-414.7221,0.00083847,-4.610842,2.1354601,2.6013882,2.4292731,2.4100888,1.08486975e-05,0.3,1.8267008,86.87167,86.999626,86.90691,86.74904,0.102555096,0.59375,6.343087196350098,14.46837420463562
22,220000,95.42478452415568,-90.62997,9.379602e-29,-74.38727,0.6202898,-1.4325202,392.08298,12.476883,7.4689918,112.90392,112.84571,112.76228,112.84827,3.2951121,0.7,-117.948044,-472.03528,0.0009745425,-4.2341228,2.519277,3.3296785,1.9870234,2.8430614,1.66893e-07,0.3,1.805447,88.776596,88.76239,88.706665,88.8353,0.12379205,0.396875,7.2141273021698,15.143046220143637
23,230000,89.88168961808215,-91.52611,4.9227356e-30,-65.03966,0.50029266,-0.03999138,466.6622,16.582512,9.120394,111.09399,111.051315,111.63735,111.19019,1.7174824,0.7,-116.99382,-586.98206,0.0024843607,-4.9631777,2.2876794,2.3537502,1.2894613,2.2888756,1.1177443e-06,0.3,1.756856,89.698715,89.67524,89.46443,89.53232,0.05883863,0.49374998,6.7784106731414795,15.812761080265044
24,240000,92.91515262138445,-88.95543,2.5860652e-31,-66.17059,0.5459513,0.19751084,543.44037,11.090124,15.048735,110.81118,110.791626,110.56625,110.566635,1.4287741,0.7,-123.63805,-580.168,0.0010095589,-8.34483,0.7305466,0.9276427,0.46678,1.2297536,1.9252185e-07,0.3,2.1819842,86.70994,86.68779,86.82469,86.90291,0.0878501,0.4453125,6.928396224975586,16.479579253991446
25,250000,81.44588520066812,-90.997986,1.3563033e-32,-82.03081,0.41611737,-4.6830926,411.07196,18.44381,8.376064,111.80644,111.894226,111.79888,111.683846,7.844654,0.7,-115.54139,-642.0201,2.3592846e-05,-5.9846864,6.831283,6.522858,6.9357896,6.997547,4.4146438e-07,0.3,1.6149074,89.34563,89.355644,89.27827,89.33327,0.07861182,0.4171875,6.405984401702881,17.14250044822693
26,260000,84.03620152708989,-88.387825,7.1131854e-34,-48.48625,0.7197296,-2.1418283,438.59467,48.029133,9.8878,111.723045,111.76099,111.70426,111.4207,5.2815,0.7,-116.638855,-771.1168,0.0003835748,-5.5754013,2.8470354,3.091509,1.5916322,2.2218604,4.991307e-08,0.3,1.8648834,86.47296,86.472496,86.39447,86.31096,0.10876887,0.465625,6.543141603469849,17.80411425828934
27,270000,93.64156426807591,-89.68031,3.7566142e-35,-71.27652,0.8476838,-4.4301047,404.18948,16.260572,10.280282,112.47993,112.20407,112.15289,112.06455,3.6374638,0.7,-117.63979,-579.23267,0.0016012532,-4.7290273,3.8690934,3.1941652,3.3072317,3.2683692,1.2885099e-05,0.3,2.090621,87.61627,87.56805,87.312126,87.09694,0.11674429,0.58437496,7.145756006240845,18.47945014635722
28,280000,86.42233467991339,-90.30271,1.9697953e-36,-76.617676,0.8990617,-0.40626574,471.36334,12.451791,9.620202,112.81634,112.84514,112.61741,112.634705,2.8548412,0.7,-116.59841,-627.0928,0.00036933192,-3.8684335,2.6937451,2.4566927,0.79117894,1.302261,1.174165e-07,0.3,2.0535867,88.1443,88.13768,87.978615,87.98429,0.10009721,0.5234375,6.371128797531128,19.143767317136128
29,290000,89.8948130514881,-90.45351,1.0356553e-37,-55.05625,0.6154612,1.8250601,608.883,32.25061,11.875334,112.43671,111.85928,112.11559,111.75157,3.362853,0.7,-116.8102,-647.35657,0.00044791133,-4.4107065,0.24212903,0.4580104,1.3254774,0.42239153,4.0745363e-09,0.3,2.1339962,88.25155,88.19749,88.2923,88.16235,0.10372786,0.496875,6.812705755233765,19.813454755147298
30,300000,83.47565260209258,-88.38329,5.432075e-39,-69.37767,0.60464746,-2.1945016,927.09906,15.417114,16.933712,110.594185,110.83139,111.17664,111.41666,1.4759111,0.7,-126.09543,-766.9786,0.000597287,-3.8668838,1.5548286,0.8086898,1.421483,0.84127367,3.182504e-07,0.3,2.1242828,86.23863,86.25228,86.24173,86.32356,0.062313437,0.4421875,6.328795671463013,20.477361520131428
31,310000,84.76024263488176,-91.36981,2.87095e-40,-85.19894,0.8758153,-0.019807696,533.87524,73.079094,8.488155,112.998535,112.83928,112.59858,112.684715,2.2445319,0.7,-117.88322,-591.77655,0.0010562309,-4.333522,1.2102673,1.4134263,1.3902781,1.8186786,1.01863405e-11,0.3,2.0833948,89.23632,89.17659,89.11688,89.140564,0.087970994,0.46249998,6.506584882736206,21.143278193473815
32,320000,76.58519936430594,-89.29784,1.5112e-41,-98.92375,0.40441912,-0.7201656,456.90945,5.371913,7.4780154,110.679,110.65501,110.63149,110.50503,2.7143424,0.7,-115.49233,-621.35736,4.1392923e-05,-3.3422022,3.1330035,1.4537538,1.3900038,1.6815369,3.60026e-07,0.3,1.799167,87.45395,87.45521,87.483246,87.59463,0.087125696,0.40625,5.925760746002197,21.793338267008462
33,330000,78.53596404538288,-89.923744,7.99e-43,-86.29632,0.55731964,-1.3578112,989.1372,13.669582,9.572893,111.41787,111.0546,111.30959,111.23303,2.4735453,0.7,-116.99682,-628.4772,0.0012037323,-6.3002005,2.226693,3.0958025,2.4703283,2.7775862,9.510736e-06,0.3,1.9632607,87.82448,87.95354,88.03877,88.23512,0.10704165,0.3984375,6.099207401275635,22.45490622917811
34,340000,83.52111340544933,-88.08282,4.2e-44,-115.82407,0.5727525,-0.0577569,852.1926,20.01273,9.212506,112.69955,112.99398,112.84959,112.93459,0.8962412,0.7,-118.32897,-653.6885,0.0010627261,-3.7602558,2.1323373,2.0259197,1.5117595,1.5362793,2.0368026e-07,0.3,1.8404429,86.13274,86.16847,85.94174,85.98907,0.054190688,0.471875,6.540403604507446,23.120568931102753
35,350000,87.36760389917589,-88.70674,3e-45,-101.22845,0.42534718,-4.6138515,909.4894,13.399969,8.238654,113.14466,113.34744,113.03343,113.25012,2.5568676,0.7,-115.865326,-645.7516,0.00066631666,-2.7340736,6.798667,6.691688,6.7805405,6.936474,3.6209823e-07,0.3,1.7817291,86.905846,86.87703,86.84047,87.030914,0.08087453,0.371875,6.836838245391846,23.79242168267568
36,360000,74.9028512349744,-89.61783,0.0,-81.48848,0.5788348,-4.053861,672.2451,8.498379,8.735022,110.886536,111.13814,111.67595,111.61555,2.168458,0.7,-118.36161,-1023.38385,0.0010271156,-6.3033986,4.461295,4.207715,3.9060118,3.8107061,7.77439e-07,0.3,2.1875353,87.38481,87.42641,87.42393,87.395874,0.07591126,0.48125,5.801724672317505,24.446972648302715
37,370000,87.37783543218703,-89.807236,0.0,-76.12071,0.8163063,-4.314601,616.9725,19.419277,8.574485,112.5633,112.54403,113.09947,113.063095,4.8210545,0.7,-118.29982,-782.41565,0.0011261378,-6.265321,5.3558087,5.339351,5.8851256,5.666975,1.4685793e-08,0.3,2.1957533,87.56361,87.54957,87.841415,87.64003,0.091488406,0.50312495,6.840324401855469,25.120385320981345
38,380000,87.30498247750788,-92.5038,0.0,-82.46024,0.4054433,-2.345201,705.72327,3.7615383,9.206862,113.20888,113.41499,113.11275,113.570305,1.4105427,0.7,-116.55528,-792.7118,0.00059488055,-3.9687214,3.7561045,3.4466555,3.7437932,3.8609324,3.945194e-05,0.3,2.0586104,90.48425,90.45627,90.60099,90.78874,0.075052075,0.3640625,6.906710386276245,25.785589786370597
39,390000,77.15963938761512,-88.602264,0.0,-93.775246,0.77835184,-1.7939079,813.1699,10.260947,9.034319,112.52795,112.41584,112.39535,112.76996,1.8407564,0.7,-116.040565,-771.34534,0.00022393139,-3.9543655,2.3114555,2.76319,3.5326014,3.3122318,1.2170524e-06,0.3,2.18158,86.425476,86.38624,86.74334,86.56084,0.09096067,0.490625,5.8942787647247314,26.44484068552653
40,400000,79.45913988966164,-91.1857,0.0,-127.92748,0.68173015,-7.2604904,701.1307,24.000755,8.698515,111.435555,111.64455,111.452126,111.39193,1.9650362,0.7,-119.74648,-808.7578,0.0004005843,-5.3872094,6.667188,7.001755,6.452808,6.549193,7.8482554e-07,0.3,1.8519666,89.20795,89.296555,89.06946,89.25959,0.07601154,0.434375,6.451613903045654,27.10959595044454
41,410000,87.57882702130306,-89.78449,0.0,-111.75029,0.47409672,-0.81560874,860.4382,34.348904,11.47398,111.75732,111.71208,112.06301,111.54828,1.1719109,0.7,-117.19449,-764.8949,0.000939068,-3.106895,2.0326579,1.4571048,1.1169926,1.6758001,3.3807012e-08,0.3,1.9254072,87.77871,87.71859,87.662,87.759895,0.0703184,0.4109375,6.944295167922974,27.781469702720642
42,420000,87.95360953977843,-91.00263,0.0,-78.3806,0.6464904,0.38350475,1226.2656,23.597912,12.401606,111.78392,112.07274,111.692986,111.61313,1.6574254,0.7,-119.57514,-798.7661,0.00043978944,-4.309372,0.699774,0.8932257,1.3037875,1.2345195,5.196125e-07,0.3,2.2745032,88.68733,88.74402,88.65086,88.68561,0.06364648,0.42343748,6.892991542816162,28.45217293103536
43,430000,86.54382263704872,-89.23202,0.0,-117.99564,0.61638725,1.4370532,778.16833,16.182936,8.4989805,111.45404,111.33826,111.54825,111.51387,7.8382554,0.7,-118.96557,-942.7318,0.00031516864,-3.6927896,0.46048123,0.11589661,1.321749,0.5170965,1.0825635e-06,0.3,2.084774,87.13176,87.09217,87.39549,87.28349,0.100996554,0.478125,6.902578115463257,29.12421369155248
44,440000,86.17436909289748,-88.83144,0.0,-88.174774,1.0970964,-0.34495735,1127.186,50.694336,10.105867,111.7393,111.89741,112.14229,112.177986,2.9425251,0.7,-122.07063,-847.128,0.005403786,-3.4855187,0.91894716,0.983021,1.4863603,1.1006107,5.347829e-07,0.3,2.3649719,86.47011,86.46295,86.2101,86.19315,0.086367205,0.4953125,6.736486911773682,29.791341749827065
