,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.255345450074763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.3151766934788306,-21.847,0.073440254,-4.7926207,-0.000106327956,0.59343225,0.0,2.1763783,5.0328245,17.83373,61.822132,11.934494,39.231194,38.945667,39.502613,38.60203,1.8808941,0.7,-38.98068,-32.07426,0.0013050084,-140.53145,-5.132533,-5.5121684,-5.1921473,-4.9126053,7.392326e-07,0.3,-9.886532,21.531487,21.646822,21.647085,21.252707,0.10405462,0.43124998,5.751974105834961,2.7566165884335834
2,20000,-0.6386420614264646,-39.822445,0.08373893,0.3859403,0.0002576705,1.0020322,0.0,3.2378798,3.5594063,17.785242,75.40493,10.155094,60.694553,61.495853,60.944504,61.18351,5.7196717,0.7,-61.48715,-29.13116,0.00035773055,-395.25385,-3.9760637,-3.868758,-3.9594288,-3.8692348,2.8748559e-08,0.3,-11.669115,39.50392,39.692146,39.49404,39.365463,0.17819288,0.45,5.740123987197876,3.7941649476687114
3,30000,2.0043392375284976,-46.20288,0.08563129,-0.586275,0.0009980174,1.2355177,0.0,3.7519598,7.69713,25.807125,101.749466,12.648735,74.26987,73.785065,74.832664,74.364586,4.5085707,0.7,-73.39374,-29.813936,0.00017258071,-259.34082,-8.396062,-7.3657384,-7.1815443,-7.6128597,3.6670826e-08,0.3,-9.035581,45.944477,46.125465,46.148563,46.05719,0.1813628,0.428125,6.269806861877441,4.839477241039276
4,40000,12.89069580099755,-52.739567,0.07992002,-0.936715,-0.0021418063,1.3253106,0.0,4.708175,12.465405,39.885433,209.22467,14.6422615,79.9191,80.46305,80.60766,80.43669,13.521405,0.7,-81.20073,-30.46109,0.0018007115,-202.04996,-12.768909,-11.912806,-11.639928,-11.239824,8.802745e-08,0.3,-8.406749,52.41797,52.844254,52.939247,52.91327,0.2968933,0.4359375,6.1833882331848145,5.881394330660502
5,50000,26.969485828485553,-56.877514,0.077591635,-0.80646574,-0.0028069273,1.367082,0.0,3.4968684,12.41503,36.921654,61.90212,13.230084,81.788055,81.54257,81.89132,81.89302,5.236307,0.7,-81.31173,-29.445423,0.008382682,-225.35501,-12.164921,-12.428682,-11.196593,-11.876695,9.277763e-07,0.3,-9.6951065,56.7029,56.759686,57.251656,56.97259,0.27866653,0.453125,6.123485565185547,6.9234898289044695
6,60000,20.019907330202464,-56.505997,0.07387111,-0.8847859,-0.0008876342,1.3195,0.0,4.4232388,8.473651,34.687706,384.18805,14.827221,83.819115,85.248695,84.04584,84.54584,6.885963,0.7,-84.679115,-29.334703,6.213197e-05,-248.859,-9.321517,-8.468492,-8.519221,-10.132154,3.228779e-08,0.3,-11.631496,56.026688,56.54411,56.04853,56.2109,0.29917878,0.4421875,6.126035213470459,7.966868595282237
7,70000,19.416895373946282,-60.906757,0.07197858,0.26259333,0.0009973276,1.5131041,0.0,3.5682864,7.289395,29.867958,79.34647,13.142337,84.381836,84.74054,85.21506,84.95527,9.30685,0.7,-85.44641,-29.745241,0.0006766986,-257.73502,-7.7372503,-7.045676,-7.0382085,-6.921799,2.4258159e-06,0.3,-11.652519,60.595345,61.123116,60.867058,61.015957,0.32065582,0.4265625,6.034193277359009,9.008017547925313
8,80000,29.467128789792845,-60.03398,0.069892585,0.1544851,-0.00025718092,1.3325865,0.0,3.114821,8.090718,37.917007,71.09844,12.733799,85.162384,86.63646,86.32945,85.15348,4.0420103,0.7,-86.00808,-30.936455,0.0011944866,-250.93889,-8.42569,-8.227267,-8.295258,-8.745654,3.7757857e-06,0.3,-11.676002,59.8272,60.026615,59.764744,59.736763,0.26840323,0.465625,6.07275390625,10.04930993715922
9,90000,31.465584742400697,-64.01959,0.06671971,0.57836825,-0.00044270905,1.3188097,0.0,3.5155654,7.710172,30.964155,192.0844,12.584323,84.55615,86.044815,84.81459,84.65713,7.4623165,0.7,-85.01445,-31.331842,0.0015048299,-420.46008,-7.685236,-8.673221,-8.449117,-8.726294,3.309542e-06,0.3,-15.91631,63.672993,63.83436,63.360107,63.471878,0.31247053,0.475,5.803603887557983,11.0860715508461
