,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.254139778139376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-4.776746602926408,-35.024837,0.09010953,-1.6083107,-0.00021162424,0.5557189,0.0,1.1472561,-4.7075896,22.714771,26.241615,14.49873,41.815334,41.255527,41.90391,40.88349,1.3896674,0.7,-42.152576,-22.962152,0.0026512684,-8.820685,4.101075,4.8940215,3.6847517,4.677424,1.466833e-09,0.3,4.214731,34.7181,34.57616,34.5656,34.110676,0.09836475,0.4640625,5.520681381225586,3.0225295782089234
2,20000,-4.195114430561583,-58.009003,0.09903966,0.23865095,-9.729732e-05,0.716917,0.0,2.3498273,-7.5594378,20.747503,79.07944,13.340853,65.465965,65.373436,66.294785,65.18094,2.2143326,0.7,-65.51731,-26.89929,0.0058330717,-8.374226,5.910209,7.6336465,6.0434775,6.6260304,1.3944081e-07,0.3,3.746965,57.526268,57.572388,57.70463,57.00995,0.18850161,0.5546875,5.625217437744141,4.053071141242981
3,30000,-2.410654490222909,-71.21262,0.09461256,-1.0907426,0.0005809976,0.68497735,0.0,1.9092155,-6.206073,25.639496,130.84645,14.541615,80.12325,79.54475,79.9077,79.72394,10.251781,0.7,-80.17387,-32.1379,0.0026366422,-14.439522,6.119622,5.385084,6.974493,6.9708247,1.7532218e-05,0.3,3.6975288,71.20762,70.63788,71.10619,71.00491,0.16912618,0.44374996,5.654927015304565,5.079214437802633
4,40000,-3.4461702350286902,-79.28302,0.08240612,-0.3383838,0.00015697294,0.6786529,0.0,1.7616382,-3.159523,21.585938,25.665545,14.999945,86.8653,87.05639,87.038765,87.24374,3.0472877,0.7,-87.96036,-23.731567,0.00018115231,-13.835184,3.0210476,1.6456103,3.957234,2.3129282,1.745898e-06,0.3,4.3957205,78.96399,78.68118,78.77078,78.76312,0.15227209,0.44843748,5.586804628372192,6.107639602820078
5,50000,-2.3377917718686922,-84.287575,0.07011298,-0.67285335,-0.00031429678,0.5959038,0.0,1.1229333,-63.046867,20.802176,23.391485,14.251961,91.09009,91.36749,91.898026,91.05321,2.4269075,0.7,-91.822556,-31.702234,0.0010639441,-6.548031,62.945297,62.893707,61.92348,61.97357,9.045878e-07,0.3,4.651373,84.022995,83.85197,84.00252,83.95127,0.08032638,0.42812502,5.728488922119141,7.1378925482432045
6,60000,-2.0922421559650983,-87.39696,0.06390226,0.3038097,0.00017635376,0.54347384,0.0,1.2990766,-60.292507,30.070261,40.804237,14.026768,92.34919,92.50484,91.945786,91.98898,1.7267336,0.7,-92.81032,-28.689157,0.00622564,-17.598461,60.325607,56.791836,54.40177,60.150642,3.521098e-07,0.3,5.1750135,87.08469,86.99934,86.9644,86.95457,0.08460647,0.50625,5.617464065551758,8.167106473445893
7,70000,-0.6227350329262548,-88.1689,0.056031596,0.85185206,-0.00035630763,0.5188355,0.0,1.1431508,-58.763855,25.225912,79.10593,17.21139,94.626686,95.06233,95.44094,95.08535,1.7956966,0.7,-95.09311,-32.139736,0.00016643107,-8.704737,59.28282,58.542633,56.893597,61.951015,3.5361154e-08,0.3,5.365839,87.90398,87.768005,87.988075,87.96457,0.07109207,0.45,5.647337913513184,9.194922570387522
8,80000,-1.4126273115811896,-89.14191,0.0519051,-0.014885783,0.00037579797,0.50464,0.0,0.9960028,3.1712544,33.23902,25.127628,13.917721,95.239815,94.84563,95.04382,95.10878,1.6849113,0.7,-95.27166,-26.72194,0.00084143924,-8.734395,-0.6893274,-3.185104,-4.3435616,-1.4001613,7.77439e-07,0.3,5.333066,88.96434,88.54971,88.91041,88.74803,0.06866385,0.528125,5.615906715393066,10.226062933603922
9,90000,0.5140334588348036,-89.13819,0.04915068,-0.0868825,-0.0005768006,0.49411017,0.0,0.8544601,4.689306,48.399517,16.671024,14.340887,95.53542,95.454185,95.49334,95.86645,0.7353717,0.7,-95.8013,-31.316002,0.0026428276,-11.043322,-6.688959,-5.6017857,-4.2914596,-5.371693,6.265007e-07,0.3,5.454431,88.78429,88.52829,88.6929,88.759125,0.05202914,0.40156245,5.764276027679443,11.257735204696655
10,100000,-0.04966046201674004,-89.376274,0.045680787,0.17473471,-0.00029752366,0.48263326,0.0,1.0769519,7.4800615,28.607185,23.138966,14.865263,94.801,94.8972,95.00179,95.18988,1.3614078,0.7,-95.33206,-35.64634,0.002900445,-15.469265,-6.8515997,-6.910626,-3.4798467,-5.489236,2.0368026e-07,0.3,5.2668056,88.83778,89.06744,89.171585,89.134094,0.050383277,0.40624997,5.531263589859009,12.288566911220551
11,110000,0.8076016265762643,-90.17645,0.043308724,0.12410784,-0.00023899377,0.41438866,0.0,0.89269954,2.515953,28.787764,32.635956,14.387508,95.25067,95.69202,95.060814,95.34993,0.93234384,0.7,-95.62508,-38.486294,0.0027289186,-6.978167,-3.5690064,-2.6149466,-3.4747038,-3.0360332,1.66893e-07,0.3,5.580866,89.695244,89.89037,89.60857,89.688126,0.034636367,0.47031248,5.803483247756958,13.31988157828649
12,120000,1.8236831972803367,-90.11464,0.042140465,1.1088493,-0.00036701746,0.41118675,0.0,0.6662088,3.8135867,36.16725,10.903496,15.368089,94.60672,94.75056,94.74963,94.64296,1.3618565,0.7,-95.48879,-35.132637,0.0012437701,-9.231073,-3.7083726,-3.7101145,-3.8364975,-4.267352,4.9301887e-09,0.3,5.652854,89.51289,89.91618,89.743805,89.804955,0.03992729,0.46875,5.730148077011108,14.351179774602254
13,130000,4.0606974440357195,-90.0641,0.04070264,-1.0177442,0.00011080436,0.45271787,0.0,1.8809801,1.17932,29.407393,186.21292,15.733201,94.26714,94.914955,94.604935,94.32231,0.72599876,0.7,-94.66929,-34.468857,0.0007251473,-14.11355,-3.0022366,-3.8857079,-3.721643,-4.15333,2.9046962e-06,0.3,5.7613573,89.47958,89.79276,89.638084,89.62612,0.04088047,0.465625,5.746005535125732,15.377852801481882
14,140000,2.4380219804614756,-89.58049,0.040625796,-0.9451312,-0.00061336876,0.432652,0.0,0.9838929,4.9345517,31.430124,23.052153,15.686806,94.51243,95.15346,94.73212,94.14056,0.54640895,0.7,-94.69561,-34.297447,0.00014253485,-12.7269125,-4.009223,-3.3314564,-3.653683,-4.1838,5.3788244e-06,0.3,5.2639217,89.25535,88.9856,89.33842,89.10382,0.05123896,0.51406246,5.654167652130127,16.4046687801679
15,150000,2.908711750345833,-89.998436,0.040394973,0.5568861,-8.081291e-05,0.4525961,0.0,1.1011683,4.534713,34.61153,37.856697,14.997879,94.75119,94.57224,94.80865,94.17252,1.8298197,0.7,-95.05697,-31.341219,0.0024295193,-7.5091095,-4.11107,-4.123467,-5.459677,-5.1674995,3.9815788e-07,0.3,5.8155813,89.39807,89.43122,89.28061,89.366844,0.05428218,0.46875,5.753246545791626,17.435257863998412
16,160000,2.965616347133838,-89.5219,0.03872845,0.10740137,0.00014877171,0.43217728,0.0,0.95547867,7.3590374,37.84739,45.778114,18.768883,94.02599,94.22575,94.26046,94.130196,2.688792,0.7,-94.87034,-31.170176,0.00022444373,-6.0559587,-7.1268225,-5.1025715,-5.055596,-4.4164524,2.514571e-07,0.3,5.929696,89.11893,89.160904,89.16101,89.15739,0.052822825,0.47656247,5.776578903198242,18.468271374702454
17,170000,1.4637503946166386,-90.15184,0.039893452,-0.088061094,-0.00041298568,0.48497924,0.0,1.0599265,-50.066193,41.284447,82.56808,15.422774,94.12676,93.70857,93.93994,93.66765,6.4055085,0.7,-94.34934,-37.382652,0.0015141726,-12.165118,50.43174,51.006588,50.941814,48.82743,3.1944364e-08,0.3,5.484874,89.682816,89.53175,89.5213,89.62025,0.06480364,0.41249996,5.843235731124878,19.50243443250656
18,180000,1.793226726803188,-90.04532,0.03852876,-0.3677429,-1.8337369e-05,0.41636965,0.0,2.7273612,-53.446907,34.456253,387.4256,13.952796,94.28288,94.6944,94.59713,93.77861,10.138035,0.7,-94.417946,-43.96926,0.000723989,-6.3781385,49.206894,51.49966,60.402145,53.174553,2.7543865e-06,0.3,5.684823,89.3697,89.50485,89.44812,89.517876,0.07250571,0.39687496,5.866663217544556,20.534424833456676
19,190000,1.2495950887492466,-88.53491,0.038074315,0.34973332,1.5066215e-05,0.4079314,0.0,0.7266284,3.8439183,30.668777,29.279337,13.971878,95.27251,94.77973,95.42175,94.99412,0.7913937,0.7,-95.29641,-41.51761,0.0051151635,-13.6221285,-4.736746,-3.6772716,-4.763882,-4.9353323,2.405973e-06,0.3,5.8421936,88.28402,87.932816,88.12359,88.06468,0.036653634,0.50625,5.852152109146118,21.56652986605962
20,200000,3.3154377687570373,-89.44072,0.036971305,0.43064225,-0.00016201139,0.4130468,0.0,0.6376036,3.7827451,39.287704,42.456608,14.663639,93.848274,94.490906,94.83733,93.94122,1.7257738,0.7,-94.390236,-32.27439,0.00024559582,-7.7774224,-5.6706886,-6.236524,-6.180426,-3.8095777,1.695659e-06,0.3,6.0267487,88.9579,88.85004,88.88735,88.830475,0.031291194,0.4890625,5.740022659301758,22.597297521432242
21,210000,3.7187741961338263,-90.47546,0.03723478,1.9659504,0.00051282346,0.45908433,0.0,0.77608657,-69.194534,42.941513,49.15829,15.284407,94.63128,94.11386,94.07876,94.09403,1.7636149,0.7,-94.81135,-28.20981,0.00023324939,-6.1536064,66.9923,68.38283,68.78466,69.38011,1.0913936e-08,0.3,6.4351544,90.06555,89.81542,89.90497,89.93514,0.042664357,0.4453125,5.856686592102051,23.63019917011261
22,220000,3.144841352821135,-90.10736,0.037377052,-0.3864852,0.00030421914,0.43240127,0.0,0.9014274,-60.542244,37.267673,16.907063,13.781682,93.90773,94.82898,94.42771,94.19154,1.3334198,0.7,-95.00074,-62.311596,0.001491108,-14.698648,57.01239,59.026287,56.50332,57.589214,3.551849e-06,0.3,6.174813,89.53169,89.756,89.6677,89.67387,0.034135003,0.4359375,5.843759059906006,24.664558362960815
23,230000,3.0252994521290617,-89.78033,0.036863398,0.8976372,-0.00026712436,0.3996782,0.0,1.5159006,0.8893787,35.205578,74.42238,16.276335,93.62696,94.91829,94.18568,93.88972,0.33935803,0.7,-94.32527,-36.08633,0.00017518207,-6.8234563,-0.97629285,-0.33245558,-0.2579756,-1.8247705,3.8152325e-06,0.3,5.920438,89.11963,89.58847,89.21917,89.37383,0.02949372,0.428125,5.821956157684326,25.699462536970774
24,240000,4.19672608367988,-89.93036,0.037295274,1.242028,-0.00055396894,0.39715195,0.0,0.78873587,0.36411262,38.18535,46.460182,15.5982065,93.87944,93.747696,93.743706,93.90899,0.7302817,0.7,-94.12161,-41.010048,0.00022282184,-9.396339,-3.7257307,-3.1246772,-4.9653206,-2.8177652,2.5262532e-06,0.3,6.437756,89.48059,89.40582,89.39314,89.59514,0.03828507,0.39687496,5.947301387786865,26.73398597240448
25,250000,3.32983910658932,-90.009476,0.037143815,1.3045897,-0.00082942547,0.39700243,0.0,0.45816606,-58.09954,30.371717,13.429121,15.95434,93.34943,93.42377,93.47342,93.43868,1.2753577,0.7,-94.17846,-35.504284,0.00013324816,-7.8595257,59.797695,62.6623,63.389412,59.55629,1.0086224e-07,0.3,6.319853,89.45909,89.436905,89.46988,89.432495,0.03148122,0.4765625,5.770747900009155,27.766558670997618
26,260000,4.689824956188357,-89.55131,0.03754338,1.1251197,-0.0005503506,0.41072464,0.0,0.9104011,-68.02835,51.13797,19.565504,14.957261,93.484245,93.621635,93.72404,93.57909,5.789609,0.7,-94.22038,-41.823864,0.0011118352,-16.665388,67.87594,67.537636,66.77227,68.04524,6.882747e-06,0.3,5.797082,88.91929,89.090904,89.02257,89.13492,0.07304955,0.39999998,5.701731204986572,28.793165254592896
27,270000,3.99456869122774,-89.72925,0.036396638,0.6511893,0.00013813973,0.37566987,0.0,0.5296225,-69.5866,31.007496,16.520672,14.989276,93.945015,93.64,93.88387,94.17441,0.46743488,0.7,-94.13592,-34.32922,0.00019163691,-11.014117,70.00687,69.44442,70.25382,69.772125,6.67572e-07,0.3,5.7798567,89.49736,89.11343,89.272224,89.41775,0.043012317,0.36562496,5.7888264656066895,29.823213692506155
28,280000,2.7475965140480443,-88.788315,0.03704637,-0.009093165,0.0001201883,0.41656357,0.0,0.5136386,2.332253,30.804304,8.918429,15.802105,92.90691,92.97237,93.01845,92.56975,5.8700747,0.7,-93.85612,-29.619967,9.892334e-06,-5.213217,-1.714409,-1.9317615,-1.0891635,-1.8131342,5.3982253e-06,0.3,5.9443235,88.165695,88.270386,88.30295,88.07985,0.06803107,0.56718755,5.848319053649902,30.857589304447174
29,290000,3.9725853474364996,-89.84093,0.036509413,-0.39591742,-0.00035626293,0.41354027,0.0,1.2702318,-62.54282,31.465006,132.48106,15.199724,93.62412,93.34336,93.86551,93.38441,31.337662,0.7,-94.168274,-31.788418,0.0011736411,-8.34955,61.428093,62.06829,58.35406,61.438023,5.3788244e-06,0.3,6.094104,89.28715,89.24442,89.08085,89.32503,0.17388636,0.3671875,5.5828633308410645,31.861176013946533
30,300000,5.066245837657763,-89.770744,0.0360787,0.71596384,-0.00012125075,0.36810762,0.0,0.5811455,-65.55654,25.97753,10.508776,15.593064,93.17983,93.15779,93.49003,93.26068,1.1873717,0.7,-93.9048,-30.093668,0.0002681302,-8.4972105,62.747993,64.81564,65.23594,62.39433,1.6298145e-08,0.3,6.3334103,89.20378,89.25304,89.20239,89.26781,0.037811004,0.43124998,5.67059063911438,32.85863941510518
31,310000,3.2303691416829468,-89.7513,0.036856268,1.060766,-0.00056689384,0.39522704,0.0,0.7809311,-49.2436,27.48455,22.465763,15.589121,93.34589,93.08467,93.79511,93.52523,1.040332,0.7,-93.440025,-33.42916,0.003020193,-14.19641,52.411625,46.131527,48.84496,50.595966,7.888302e-08,0.3,5.882537,89.4052,89.13092,89.19084,89.22319,0.02429425,0.45625,5.679201602935791,33.89088506301244
32,320000,4.947913819526053,-88.62718,0.03539229,0.51300097,-0.0005547814,0.41538915,0.0,0.7218181,2.6020103,78.50702,22.257368,17.036798,93.959625,93.53206,93.43352,93.430626,2.7559776,0.7,-94.46475,-32.527115,0.0066996375,-8.438816,-2.3362699,-0.3262996,-1.1372412,0.44002998,6.519258e-08,0.3,5.710055,88.27873,87.97703,88.060394,88.29048,0.070236236,0.39999998,5.9085564613342285,34.9254753112793
33,330000,1.1372797056043802,-88.63457,0.03578166,0.27243283,4.3399446e-05,0.38327375,0.0,0.61334336,2.8144562,28.134504,24.032871,15.242922,93.28649,93.81417,93.86599,93.28256,1.3639995,0.7,-93.79225,-40.2129,1.1884258e-06,-7.9590073,-2.8450596,-2.427515,-2.5971913,-2.6332932,7.423293e-06,0.3,6.204418,88.05606,88.201355,88.15485,88.15984,0.03460974,0.4421875,5.640014886856079,35.95421696503957
34,340000,3.708863082213773,-89.28656,0.036022794,0.058637828,-0.00034990776,0.4173176,0.0,0.7358179,4.9288473,34.36667,37.606407,15.598799,93.709526,93.73017,93.60177,93.47738,4.2576637,0.7,-94.3925,-31.48016,0.00016007927,-7.082092,-4.371731,-7.1355133,-8.157956,-6.977904,9.167707e-09,0.3,6.2207146,88.7682,88.73996,88.76912,88.77759,0.042159975,0.40156245,5.727585554122925,36.9798415462176
35,350000,4.052911168184086,-89.10309,0.036440443,-0.6600349,-0.00071602705,0.39847454,0.0,0.7894331,1.5015347,38.355736,10.987777,18.731228,92.95532,92.861755,93.81244,93.25594,2.3844287,0.7,-93.71121,-34.61336,0.0015856328,-8.54591,-1.123832,-1.3284671,-3.1937478,-1.5792477,1.0299683e-05,0.3,5.629474,88.62697,88.554276,88.775444,88.74494,0.050780326,0.42499998,5.665914297103882,38.00449431737264
36,360000,6.0679559041232745,-89.242455,0.035957675,-0.09425986,-0.00019564964,0.41074124,0.0,0.9663816,1.9850479,32.133057,38.5176,14.5259285,92.792336,93.1925,92.92687,92.956665,2.4082901,0.7,-93.59437,-34.87645,0.00023237226,-10.477203,-0.22662532,-1.9716063,-0.97698903,-1.2687781,2.514571e-09,0.3,6.140011,88.64101,88.881836,88.792786,88.79209,0.042084217,0.46875,5.675021648406982,39.02895971139272
37,370000,6.506876886262406,-88.37871,0.035659343,-0.6030954,-0.00028718179,0.39414725,0.0,0.55345607,1.4805626,44.131123,10.935314,14.865137,93.12551,93.15265,93.20015,92.98633,0.31997943,0.7,-93.31478,-35.08715,0.0030855902,-13.091766,-1.9199784,-0.6865505,-0.8591016,-1.1501585,7.838826e-08,0.3,5.7297077,87.76049,87.86599,87.73007,87.74175,0.0345672,0.44687498,5.632980823516846,40.05305298566818
38,380000,2.075404918268381,-89.88156,0.035036042,1.6341841,-0.00014724284,0.39126703,0.0,1.6286216,-46.168434,48.80733,267.58514,15.288242,92.90315,93.09654,93.26985,93.137436,2.029718,0.7,-93.41507,-27.167976,0.00040246383,-8.588815,44.4814,43.29448,32.3363,42.9476,7.533817e-08,0.3,6.5013313,89.32923,89.21592,89.37286,89.293335,0.04349676,0.4125,6.007709980010986,41.08104718923569
39,390000,2.8189258732387845,-89.52074,0.034688096,0.391693,-6.524027e-05,0.40640792,0.0,1.1449907,-73.93006,38.75448,48.798943,14.578234,92.88259,93.12895,93.113235,93.18569,2.8610437,0.7,-93.31356,-38.48959,0.00049092487,-7.05879,72.93563,72.90857,72.30386,72.53601,5.476177e-08,0.3,6.001102,89.04045,89.126854,89.05693,89.167114,0.04133157,0.4109375,5.8315348625183105,42.10987546841304
40,400000,5.234215672573328,-88.244,0.03568043,-1.6339868,0.00041118712,0.39678484,0.0,0.738211,4.0512295,36.23095,25.871716,15.72456,92.21908,93.42143,93.19866,92.90983,0.37959617,0.7,-93.02898,-37.269512,0.0025610442,-15.464936,-3.7309399,-3.6333122,-2.9598432,-2.814477,5.5950954e-07,0.3,5.7363167,87.687515,87.83984,87.90868,87.96535,0.03260796,0.36718747,6.234249830245972,43.14467227458954
41,410000,4.043180550093683,-89.06641,0.035300463,-0.63904876,-9.761881e-05,0.3374888,0.0,1.1087147,3.2145097,53.790474,117.296906,13.771888,93.33882,92.36541,93.10908,92.91426,0.574069,0.7,-93.192696,-40.726086,0.00021540839,-7.808194,-2.0593202,-3.0868933,-3.529104,-3.3344982,4.3655748e-10,0.3,5.9583244,88.72078,88.44173,88.57564,88.62044,0.025631024,0.50625,5.675755500793457,44.16744479735692
42,420000,3.882084985178469,-89.47404,0.036013253,-0.47697622,0.00032561124,0.36657724,0.0,0.9634198,1.4160728,32.1484,52.537643,17.757263,92.78286,93.02374,93.30828,92.80192,0.73160183,0.7,-93.510864,-32.99956,0.0006454953,-8.879866,-1.632474,-1.0505422,-3.0316625,-2.8009381,5.769951e-07,0.3,5.937459,88.887665,89.21117,89.16162,89.04784,0.03475672,0.4578125,5.773855924606323,45.19679379065831
43,430000,6.162034459557578,-89.06028,0.03530527,1.744548,-0.00030960888,0.3942015,0.0,0.5464726,2.7333972,63.57041,10.413397,16.549644,93.33617,92.80024,93.015236,92.67389,0.9096443,0.7,-93.695145,-34.659687,6.975519e-05,-15.380804,-1.8407042,-2.4838822,-2.2157269,-2.0330431,2.1554296e-08,0.3,6.2997646,88.56002,88.34283,88.57692,88.4979,0.032978386,0.5,5.788214445114136,46.22543581326803
44,440000,5.137230893879396,-89.05286,0.03472643,-0.36686003,0.00027285368,0.40166092,0.0,1.7280929,-50.74934,51.28662,197.005,14.279975,93.003105,92.84207,92.872314,92.52778,2.2169578,0.7,-93.23018,-36.24451,0.0036147526,-12.37126,50.795166,51.98877,51.695427,50.754234,3.042631e-07,0.3,6.002618,88.68472,88.41979,88.19829,88.427895,0.05255827,0.4265625,5.751238822937012,47.25066097577413
45,450000,7.528545868062348,-89.0959,0.035660654,1.1106492,-0.0002324909,0.4458599,0.0,1.5973606,-61.599945,43.89731,130.3824,18.061558,93.762085,93.04234,93.38192,93.131386,10.222473,0.7,-93.488,-39.80046,0.00030224223,-10.073474,60.641247,60.2461,57.390003,61.7153,1.0171672e-06,0.3,6.184325,88.84158,88.407364,88.57611,88.59807,0.102284685,0.45,5.732746124267578,48.27805341879527
