,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.566101858800963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,6.600298060094313,-30.00355,0.058209643,-8.688219,-0.0004273328,1.425408,0.0,0.9692162,2.7997012,10.401486,20.695704,7.956358,56.853523,56.354725,56.16277,56.016838,2.6727922,0.7,-57.056282,-21.52124,0.0007769008,-5.469195,-1.7935992,-2.466287,-2.5213637,-2.1419995,3.8124138e-06,0.3,-0.4809454,29.745234,29.789597,29.944107,29.449545,0.11819807,0.42343748,0.7518937587738037,2.7185542543729144
2,20000,14.141618279229803,-46.91149,0.0038280264,-5.162491,-0.0005707542,2.4397268,0.0,2.082223,4.7073574,69.55667,90.07103,6.635039,72.68869,73.07761,72.09453,71.72119,7.88228,0.7,-73.158264,-44.191326,0.004017526,-9.252371,-4.2517085,-1.2966461,-2.9848487,-4.061185,1.0637687e-05,0.3,-1.360757,46.10913,46.374226,46.14591,45.854565,0.38597727,0.45468748,1.3095450401306152,3.668645966053009
3,30000,12.915514182022214,-54.077133,0.00026029462,-7.2663484,-0.0047263247,2.6898215,0.0,2.237677,-2.3023882,214.99144,55.61441,6.768224,84.46908,83.91154,85.620575,83.77168,6.739731,0.7,-84.20942,-65.78682,0.0015079186,-8.632641,0.19898897,-0.34336185,0.9043451,-0.064098194,2.7723146e-07,0.3,-1.5257688,53.43203,53.138226,53.363,53.226715,0.4413401,0.45,1.2835369110107422,4.61431519985199
4,40000,11.927881045719653,-59.85878,1.8129353e-05,-5.957483,-0.00431417,3.1551902,0.0,13.688806,-1.213876,217.38194,2707.4946,6.4980803,90.32041,90.42668,91.53685,91.289635,14.7029915,0.7,-90.798,-95.115074,0.0012943943,-12.884598,1.2301285,1.6733158,0.13998008,2.2409887,1.5926315e-06,0.3,-1.3233037,59.34189,58.87799,59.075718,59.23302,0.68933356,0.43125,1.307227373123169,5.564857983589173
5,50000,11.7709585273441,-66.96988,1.3238019e-06,-3.3947568,-0.0019546263,3.40621,0.0,2.73961,-5.0663996,282.93967,75.81531,6.8887863,90.60105,91.53113,91.15166,91.246216,30.604748,0.7,-92.068436,-139.67238,0.001763741,-13.073191,-1.0601653,-0.5755569,-0.2640531,-1.4218374,1.0393775e-05,0.3,-1.3132423,65.79534,66.12327,65.95409,66.094635,0.69540805,0.453125,1.2250666618347168,6.511706141630809
6,60000,28.057843526633135,-65.24754,8.787398e-08,-14.610229,-0.0057059815,3.1469514,0.0,3.6345854,5.2067604,510.04633,107.656876,6.657707,91.86407,92.262474,90.6771,91.03718,20.09464,0.7,-92.877075,-157.14095,0.012050497,-12.323266,-2.8851984,-2.6751797,1.8582125,-6.7939644,3.4226106e-09,0.3,-1.3970664,64.39366,64.8853,64.62129,64.53822,0.71929526,0.5109375,2.286273241043091,7.476241175333659
7,70000,28.984691930720203,-63.995445,5.5161014e-09,-0.86632156,-0.004022757,3.6581738,0.0,3.7672882,-0.33279765,588.4899,133.4816,18.413702,92.94997,93.30902,93.472626,93.41028,40.32924,0.7,-93.62892,-152.29987,0.0073932647,-11.885267,0.54627573,0.36570483,-1.6708986,1.2584779,4.4703486e-07,0.3,-1.3722322,62.85018,62.864464,63.220093,63.189938,0.9776177,0.43125,2.3061540126800537,8.442042366663616
8,80000,47.35394883446585,-64.65169,3.6007283e-10,-20.377151,-0.008133202,3.0888476,0.0,2.541553,1.7055895,724.22675,47.417,8.857046,93.03006,93.55525,93.227776,93.23898,81.73721,0.7,-93.78473,-176.67749,0.00046305364,-9.666819,-3.0180864,-2.4568825,-5.894273,-3.1584985,1.440104e-06,0.3,-1.829815,63.587738,64.12583,63.745117,64.180084,0.80551964,0.36874998,3.6715989112854004,9.43181664943695
9,90000,43.151498236306765,-65.56392,2.2734896e-11,-10.060577,-0.0058753486,3.68452,0.0,3.2863584,-4.7141113,548.6843,102.873856,5.612422,93.27909,92.58624,93.623375,92.99106,16.540766,0.7,-93.59201,-193.26273,0.0143191265,-11.77075,-1.6626034,-2.8812623,-2.1885564,-4.612693,2.0861318e-05,0.3,-1.416574,64.70811,64.61866,65.0403,64.88562,0.6785234,0.42343748,3.388378858566284,10.416171570618948
10,100000,41.463602276407656,-66.611855,1.4673006e-12,3.4253635,-0.00023893976,3.488889,0.0,4.8885193,-1.1687528,1623.0507,294.1778,22.56823,93.71114,93.45488,94.42792,93.27623,118.85372,0.7,-93.80237,-231.97636,0.0003310194,-9.323402,1.1911786,1.4322025,1.1378349,1.971182,1.7217128e-06,0.3,-1.0591166,65.58755,65.32044,65.51201,65.73634,1.2031809,0.4375,3.1289334297180176,11.392855401833852
11,110000,77.63964216330332,-63.536484,9.570456e-14,-19.035412,-0.01031048,3.3656023,0.0,3.0328681,-2.2853293,785.01056,43.096252,13.043536,92.14113,92.75134,93.057434,92.73557,69.302956,0.7,-92.92538,-270.67514,0.00056055334,-12.191726,0.45561022,2.3099833,-2.192778,1.8768756,8.810166e-06,0.3,-1.3025247,62.34214,62.53874,63.04208,63.124462,1.076146,0.4140625,6.046850204467773,12.420853428045909
12,120000,66.33881511123627,-63.661766,6.2395365e-15,-17.341255,-0.0044605783,3.41318,0.0,3.0279033,2.2726092,670.63196,79.98849,6.8790116,94.32653,93.91257,93.97742,94.12017,179.21007,0.7,-95.608154,-279.30322,0.0034355943,-11.17935,-3.819204,-7.0849595,-2.4162958,-3.2880332,1.983176e-06,0.3,-1.4792941,62.10533,62.17935,61.971325,62.279102,1.8696668,0.42499998,5.0404887199401855,13.4314395348231
13,130000,75.7268969535619,-63.125065,4.1846165e-16,-18.078388,-0.005908002,3.496636,0.0,6.9728312,2.2608585,769.6453,686.4289,6.927961,94.82992,94.061844,94.01578,94.17054,58.427002,0.7,-94.422714,-298.18356,0.003009419,-9.734654,-0.9256763,-1.2380565,1.0055054,-0.9467749,2.3274158e-06,0.3,-1.1314021,62.279495,62.218445,61.872993,62.28833,1.2326374,0.39999998,5.56632661819458,14.451106421152751
14,140000,46.41242573676501,-65.38999,2.847602e-17,-31.871138,-0.01115084,3.6328206,0.0,7.0277796,1.3321558,723.2506,670.75574,6.4982967,92.70308,92.830376,93.033,92.28923,32.866825,0.7,-93.34644,-343.11603,0.0044627395,-10.232762,-0.8674216,-1.2507764,-2.652182,-3.2441177,3.4569224e-05,0.3,-1.271004,64.33424,64.561844,64.76654,64.74667,0.9123038,0.47812498,3.469111919403076,15.431449580192567
15,150000,78.70147352160133,-64.48452,2.0170032e-18,-39.71824,-0.003666261,3.3984306,0.0,8.217891,1.4271622,1138.4355,1151.8969,6.361354,93.56773,92.88412,93.784805,93.8108,67.26479,0.7,-93.05625,-422.7802,0.0054538082,-11.418793,-1.1326139,-2.9261446,0.5676867,-1.8172884,5.6892605e-07,0.3,-1.0980499,63.750275,63.414177,64.08561,64.17665,0.9396607,0.41718748,5.877388000488281,16.456783171494802
16,160000,76.01139405620471,-62.49903,1.4812142e-19,10.96391,-0.006982308,4.0633116,0.0,3.8274512,-1.219205,1236.9407,99.41008,7.7477913,93.76666,94.42709,93.75821,93.60328,39.756878,0.7,-94.45742,-431.94568,0.0008229414,-13.406771,-5.3508954,-0.09544909,-5.8467727,-2.4710083,3.873854e-06,0.3,-1.7325333,60.87154,60.901337,60.743927,60.957893,1.132151,0.434375,5.6607983112335205,17.476012007395425
17,170000,93.48388783025878,-65.045074,1.1013157e-20,-26.585283,-0.006380414,3.3839135,0.0,3.2665641,6.029466,1203.8363,144.0969,6.899807,95.63883,93.11399,93.781784,93.96067,20.647549,0.7,-93.31502,-441.5599,0.00034959242,-12.061062,-3.3866494,-7.72853,-8.08661,-7.529958,4.9706094e-05,0.3,-1.4540329,64.299835,64.05404,63.9026,64.24022,0.80063546,0.4359375,7.091963529586792,18.517683911323548
18,180000,81.99854583927136,-62.87309,8.484695e-22,14.331957,-0.012449536,4.3299823,0.0,5.888272,13.882977,1578.1282,300.1966,11.586218,94.32657,93.9915,93.50934,93.35207,151.26389,0.7,-95.274765,-427.8641,0.00057586265,-12.592806,-12.277558,-12.029088,-11.957737,-23.86828,4.4921762e-07,0.3,-1.2736335,61.22653,61.319878,61.19191,61.14639,2.3379881,0.50625,6.42352032661438,19.5437641898791
