,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.524848941769615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,49.857305536513415,-41.61522,0.06730406,-3.6736917,0.00093753653,1.2155991,0.0,0.40734923,-1.3422947,32.311054,7.414097,15.183604,57.563694,58.238834,58.29094,56.840656,2.7040124,0.7,-63.72946,-23.199345,4.6264904e-05,-4.9797964,2.9412837,2.7427158,1.3673065,2.604344,2.5060028e-06,0.3,1.7142732,40.008717,40.153957,40.22537,39.51706,0.06566365,0.4578125,3.822326421737671,2.7789467334747315
2,20000,49.915642687427535,-64.501625,0.0037621988,-6.4344196,0.0014073495,1.6736244,0.0,0.87505543,1.5134447,30.39772,45.502953,8.11211,82.14867,82.635735,82.67539,82.19189,4.195095,0.7,-88.43794,-38.848537,0.0037462953,-6.1002336,-1.4511629,0.19769414,1.2132351,-0.11179905,2.2694003e-07,0.3,1.6184751,62.768326,63.28946,63.19256,62.804085,0.110660985,0.41562498,3.813333034515381,3.7498629808425905
3,30000,57.674317437805776,-79.667656,0.00020143532,-9.765484,-0.0024001976,2.005982,0.0,2.5846927,-0.22881436,116.40073,241.6802,9.015619,96.87243,95.75909,98.31245,96.665344,3.449173,0.7,-103.13564,-75.09913,0.0032555358,-5.759698,1.2871419,1.3355368,2.1809552,1.7979075,3.6461716e-07,0.3,1.8659143,77.53653,77.66899,77.98277,77.57205,0.12455405,0.4515625,4.360066890716553,4.734422810872396
4,40000,56.30776628341035,-86.881935,1.0794396e-05,-11.872423,-0.0021884104,2.3763852,0.0,1.5896026,1.1787215,58.892258,50.96527,7.698664,102.69523,103.6174,103.11848,103.00229,5.605376,0.7,-107.77839,-93.48559,0.00064048154,-4.0671825,1.0814539,0.69838333,1.3718523,1.7247944,6.4977216e-06,0.3,1.7615898,85.019745,84.82428,84.72693,84.65752,0.1462412,0.4609375,4.10658597946167,5.707035223642985
5,50000,59.561678553462215,-87.34803,5.7141415e-07,-14.382231,-0.003994197,2.4745984,0.0,1.5394385,-0.71459526,141.9485,94.11685,8.569266,104.13896,104.94006,104.46456,104.4338,17.079275,0.7,-109.348015,-145.41933,0.0006530958,-5.932169,0.6765909,1.9430952,2.7133207,3.128803,7.4258423e-07,0.3,1.5944284,85.34401,85.74945,85.82356,85.8341,0.21158731,0.4359375,4.339761972427368,6.686576322714488
6,60000,59.36293165430867,-90.653625,2.992226e-08,-17.151318,0.0014655119,2.405726,0.0,1.4596362,-0.7142534,143.79214,36.726345,8.632734,105.66735,104.45078,105.06553,104.79204,4.237477,0.7,-109.69476,-156.3329,0.011564911,-4.866478,-2.6395733,-6.4359336,-5.728612,-6.1488166,1.466833e-09,0.3,1.7124679,89.30622,88.87273,89.22032,89.03252,0.12975308,0.5078125,4.294384241104126,7.665329078833262
7,70000,63.04467442733929,-88.70795,1.5843523e-09,-24.984673,0.0054967324,2.3056743,0.0,1.4732584,-1.6420507,214.37799,26.786594,9.661798,104.91779,105.800606,105.08016,105.21421,8.124724,0.7,-113.58806,-140.29253,0.0015302057,-4.3744392,3.0492697,3.4921587,1.3105049,3.235586,2.6833268e-06,0.3,1.7747846,86.95799,87.09106,87.25555,87.223755,0.11501072,0.3828125,4.527838945388794,8.648513209819793
8,80000,63.40150526464042,-89.0468,8.316841e-11,-25.629547,-0.0009834241,1.9712852,0.0,0.87471825,-4.0738935,124.78047,27.086468,8.094441,104.68394,105.47224,104.708115,104.89815,4.29986,0.7,-110.09855,-187.4756,0.00086229,-4.8004694,6.1949015,4.2714,4.7085648,5.5142665,2.7543864e-08,0.3,1.8888178,87.05747,87.30699,87.19011,87.132706,0.09807575,0.5375,4.5140540599823,9.634208802382151
9,90000,57.73729685095793,-91.77259,4.3858424e-12,-19.675152,0.0079220785,1.9438221,0.0,0.7412809,-2.5322118,183.07108,11.015627,8.837387,104.23729,104.54847,104.00766,104.38928,8.572241,0.7,-110.745224,-161.90675,0.0013273829,-5.3319387,5.6433,6.400349,6.807784,6.760397,3.3807012e-08,0.3,1.9046649,89.95548,89.75156,89.71647,89.85742,0.12438036,0.44375,4.227382659912109,10.613356018066407
10,100000,57.78952298835488,-89.2783,2.3175586e-13,-25.93182,-0.0036039369,2.3256161,0.0,2.0109997,0.66735387,173.61272,70.81828,8.059121,105.720184,103.93385,105.50804,105.30996,9.772525,0.7,-110.5677,-306.44702,0.0098234,-4.400968,0.6740051,-0.05667749,1.2804605,0.91264755,2.231216e-07,0.3,1.9039497,87.662735,86.82769,87.686905,87.65349,0.2204571,0.3953125,4.38068699836731,11.591288256645203
11,110000,55.161064076751764,-91.414635,1.23120466e-14,-26.393166,0.0010580877,1.7752075,0.0,0.8339175,-2.6645076,392.69608,12.061071,15.11406,105.734665,105.16575,105.4642,105.4879,2.6160274,0.7,-115.928795,-209.72275,0.0025123847,-5.442795,5.476705,4.2941647,4.8202615,4.6239724,2.514571e-09,0.3,1.8724221,89.493095,89.54375,89.5015,89.43944,0.10626115,0.47031248,4.08636474609375,12.565786731243133
12,120000,48.39454019806022,-91.05101,6.5205173e-16,-30.017189,-0.003446553,2.031707,0.0,0.9651293,-6.4927735,333.03668,16.406702,9.832958,105.60178,104.51403,104.8958,104.71322,4.438972,0.7,-110.357796,-344.7081,0.00048690924,-6.0242386,6.9833307,7.1647468,6.831996,7.4432907,1.3201498e-08,0.3,2.0932877,88.95532,88.76282,88.911026,88.75866,0.14256343,0.5140625,3.634826183319092,13.534230117003123
