,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.009077345155106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,12.448694234171057,-23.895473,0.059636477,-13.137777,-0.00017386158,1.0996375,0.0,2.2548013,0.43279886,45.021202,82.50107,17.58901,46.15027,47.03128,45.784325,45.347775,4.2877636,0.7,-48.23006,-37.28383,0.0069587883,-7.772622,-2.5440152,-1.9742792,-1.8801007,-2.7753165,6.76675e-08,0.3,1.5306878,23.361507,23.740038,23.26006,22.923838,0.10204941,0.5078125,2.5405731201171875,2.6329661210378013
2,20000,3.955232907433913,-39.388123,0.0035949615,-15.165735,0.0016971835,1.9188372,0.0,2.7670927,2.8006992,74.7825,90.58963,17.069656,72.64039,71.93015,73.18546,72.85397,11.774448,0.7,-73.0305,-67.35932,0.00030546123,-9.869009,-5.7583437,-6.8203115,-6.8843956,-5.787239,1.177541e-06,0.3,1.0777858,38.651802,39.04429,39.0056,38.695274,0.2290776,0.4546875,1.1034183502197266,3.581362756093343
3,30000,6.838480475505183,-49.088135,0.00019399337,-17.986279,-0.00027594325,2.7423935,0.0,2.8999476,5.0667477,241.20543,128.63132,17.735619,82.35623,84.192635,83.01642,82.41633,18.881903,0.7,-83.165146,-125.68994,0.0005013334,-20.567913,-6.368187,-8.242198,0.08880806,-8.737169,3.6950226e-08,0.3,1.5435976,48.219917,48.15901,48.08876,47.86927,0.5410487,0.49687502,1.2099287509918213,4.530702789624532
4,40000,13.550910570613642,-50.58545,1.0167861e-05,-26.91929,0.0040181302,3.3166046,0.0,3.970235,0.49170172,351.39172,96.542465,28.622768,89.91799,88.85015,89.60489,89.233986,18.94479,0.7,-93.94441,-158.84326,0.0074798996,-11.795252,0.23646685,-0.18160623,0.029861381,0.32200685,1.0171672e-06,0.3,1.0082316,49.6511,49.73358,49.4709,49.47978,0.37347224,0.47968748,2.1858761310577393,5.496154661973318
5,50000,13.925810459384595,-53.21807,5.277409e-07,-35.135506,-0.005860162,3.2852979,0.0,4.792046,-3.190692,346.10474,213.8941,18.857811,97.32952,95.611115,96.98492,96.58556,23.485973,0.7,-97.0476,-203.17705,0.0023057808,-13.622747,-7.168251,-7.5224175,-8.989362,2.0555332,2.1883054e-06,0.3,0.79623556,52.51727,52.2945,52.437897,52.58339,0.4827823,0.4140625,3.11320424079895,6.479117647806803
6,60000,30.27754614228831,-54.069183,2.7224685e-08,-45.904785,0.002255523,3.3378723,0.0,5.526428,7.4270725,566.433,245.58258,21.54128,91.29395,91.96045,94.42038,91.113144,6.3410754,0.7,-92.41348,-225.43347,0.0032832962,-14.031549,-10.821921,-9.883053,0.7186881,-10.154982,1.3157886e-06,0.3,0.5563328,53.3865,53.38279,53.400402,53.542046,0.409532,0.390625,3.4378178119659424,7.469737656911215
7,70000,15.412745303086039,-53.815292,1.4078706e-09,-45.542656,-0.001542371,3.7064655,0.0,7.545575,3.0173502,562.29626,411.33453,18.30065,95.44617,94.559654,95.61564,95.54899,16.75151,0.7,-95.84379,-267.36462,0.0007851069,-13.323226,-3.1635969,-2.384059,-1.7574534,-6.4533024,1.08066885e-07,0.3,1.056041,53.112144,52.978897,53.253998,53.046978,0.55006886,0.46406248,2.4527902603149414,8.43755179643631
8,80000,17.60439906666407,-56.15809,7.3160214e-11,-65.08959,-0.005749378,3.4748323,0.0,6.8061104,10.473982,418.8715,454.1253,18.349327,98.84484,98.39674,99.44419,99.34342,13.576503,0.7,-100.20272,-335.19412,0.011285018,-17.426144,-10.305504,-11.07355,-10.934832,-10.011978,1.7881394e-08,0.3,1.0289724,55.608807,55.33801,55.633217,55.669113,0.41562295,0.4203125,3.2843222618103027,9.422533512115479
9,90000,35.15065329824836,-54.79582,3.805576e-12,-55.05286,-0.0016963169,3.8048704,0.0,6.7197237,-0.52792525,581.3017,401.289,19.080479,97.54118,97.2821,97.90361,97.80925,12.228884,0.7,-98.37408,-357.14056,0.0043198103,-15.9603405,0.24516422,-2.0576649,-7.2388363,0.41090056,4.7727103e-06,0.3,0.23687765,53.920143,54.003857,53.99941,54.124626,0.41727394,0.43281248,4.012502670288086,10.418375356992085
