,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.4037342564636988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.7325523131283703,-36.41973,0.0848481,-4.0430937,-8.010175e-05,0.8352944,0.0,0.7302174,-4.428316,24.1711,25.441223,16.432913,46.311237,47.096867,50.24895,48.789814,1.9208126,0.7,-55.37629,-31.73607,0.00023113575,-6.7503695,5.864859,4.5594234,5.7000074,5.1053033,8.644929e-09,0.3,5.0970135,31.792744,31.745869,31.680185,31.207895,0.037776366,0.4453125,0.8429789543151855,2.8818362951278687
2,20000,68.01897835160045,-56.941353,0.006050528,-2.97186,-0.00053722825,1.2247361,0.0,0.96585655,-11.13519,81.71848,35.23018,21.147156,69.659935,70.22744,71.66331,70.66801,15.499874,0.7,-90.79025,-40.091793,0.00038312288,-6.007785,9.539336,10.049602,9.70803,9.646948,9.077601e-07,0.3,5.2104197,51.771553,51.656017,51.745193,51.615833,0.15212315,0.40937495,7.63277792930603,3.9475232640902203
3,30000,51.74682013828,-69.63101,0.00042016592,-5.5106325,-0.0013870422,1.5279884,0.0,1.6107053,-9.3886795,90.860825,56.438396,18.045847,88.9548,87.59178,89.260475,87.22503,5.1280007,0.7,-98.12735,-78.17283,0.00012033741,-3.8572025,7.5613465,7.2585397,7.894675,7.950717,3.9290174e-07,0.3,5.2891555,64.80731,64.32533,64.570526,64.25435,0.15075655,0.55312496,5.593854188919067,4.979950757821401
4,40000,64.08515529910115,-75.57062,3.1733336e-05,-6.4498634,0.00065737404,1.6420025,0.0,1.6167747,-12.158505,107.146996,67.55528,19.259205,93.802345,93.18677,94.87874,93.58067,3.8955023,0.7,-107.083694,-119.02389,0.0019973828,-4.788521,10.13162,10.102195,10.69673,10.683982,1.6018183e-05,0.3,5.4225335,70.207306,70.0539,69.94009,70.02109,0.13888548,0.43593746,6.8884875774383545,6.032479933897654
5,50000,67.7831936541315,-81.99249,2.6257214e-06,-4.1717167,-0.0004569326,1.6504564,0.0,2.1795654,-6.440002,312.3014,179.24449,17.786818,100.8314,99.27474,100.090294,100.15312,8.478765,0.7,-111.11399,-146.35968,0.000117319694,-7.3108974,4.419024,1.9092838,-0.9319867,1.3064786,4.4357034e-06,0.3,5.4525814,76.63074,76.39293,76.53858,76.56141,0.20272382,0.4421875,6.995488882064819,7.08930610815684
6,60000,63.931966572270326,-83.68502,2.2495094e-07,-14.097263,-0.0026708588,1.5373636,0.0,2.4734664,-6.7630496,192.19287,88.88356,17.458868,99.999374,100.032234,99.69295,99.88148,7.7878866,0.7,-113.742424,-131.35995,0.0018500888,-4.3621364,6.2617297,6.138868,5.995888,4.982561,1.1273264e-05,0.3,5.265757,78.49733,78.40355,78.391495,78.34128,0.13359362,0.475,6.984735727310181,8.147408862908682
7,70000,76.36711940104838,-87.33865,2.0099895e-08,2.1764386,-0.0010567114,1.5218744,0.0,1.2511919,5.4439373,292.10648,21.881172,18.312416,99.08279,99.41163,99.6428,99.488686,12.050307,0.7,-114.11459,-154.09575,0.0019089701,-7.432886,-4.2540445,-5.757659,-5.2811856,-5.3277125,2.4853081e-05,0.3,5.636133,81.719986,81.962494,82.06208,82.04133,0.21514192,0.41718748,8.23842716217041,9.221945571899415
8,80000,68.97464434495264,-86.71211,1.9081472e-09,-0.7410846,0.0006420376,1.3570957,0.0,2.4612875,-9.605171,592.3249,113.69531,16.792551,102.31373,100.93175,100.917336,100.023476,2.3040254,0.7,-116.13595,-213.24992,8.527655e-05,-5.79624,-4.5223937,-2.295534,1.4791864,-1.2847059,2.8722098e-07,0.3,5.7337685,81.088196,80.87403,80.45642,80.63454,0.14072856,0.51875,6.85566520690918,10.2736199259758
9,90000,70.69168714161223,-86.314156,1.8633539e-10,0.9856913,0.0027375587,1.6714343,0.0,3.4243608,6.312979,262.10522,441.27704,19.402533,101.21207,100.991875,101.24271,100.91831,7.2039886,0.7,-117.18509,-289.12137,0.0071475804,-4.8198133,-4.9771123,-4.189685,-0.8199794,-1.4504378,7.6065776e-06,0.3,5.554418,80.69229,80.90233,80.814545,80.95227,0.20612723,0.45,7.661970376968384,11.34208059310913
