,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,5.108023847283278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,54.890328171103874,-40.403793,0.06714304,-4.241887,-0.0016268464,1.197387,1.0,1.1439581,1.0463738,26.129768,93.02505,13.6781225,58.17034,57.55542,57.62987,56.70356,8.28796,0.7,-63.305122,-25.46562,0.0003284429,-2.677963,0.40699384,0.40593323,0.7393776,-0.05528307,1.4433682e-06,0.3,1.5127516,38.973843,38.912136,39.083633,38.30857,0.10466492,0.509375,4.566242456436157,2.8238325834274294
2,20000,55.5982839311978,-64.23714,0.0037711575,-6.0318336,2.8310158e-05,1.6594695,1.0,0.7926626,-2.5190294,76.70785,24.872852,8.394516,83.17463,83.143,82.68759,82.456,8.367813,0.7,-86.941765,-50.580383,0.0008902523,-3.6096346,1.3013177,3.0805552,1.3499346,2.4591224,2.806948e-07,0.3,1.5929835,62.483246,62.648575,62.7743,62.470512,0.18663111,0.41249996,4.328447103500366,3.8128766377766925
3,30000,55.81029754051037,-77.886154,0.00020163003,-10.031147,0.00121965,2.075363,1.0,1.1104617,-4.491317,56.145706,11.55325,9.046988,95.93827,95.77837,96.51544,96.71576,8.111609,0.7,-101.23276,-66.338684,0.0002687259,-4.3433065,4.4781694,3.2235641,5.8726473,5.709361,1.2586843e-05,0.3,1.7171814,75.59044,75.858795,75.871826,75.87024,0.29006982,0.4046875,4.189394950866699,4.7987813472747805
4,40000,60.49761729699297,-82.222694,1.0776417e-05,-12.533077,-0.004315202,2.3867438,1.0,1.712081,0.9234457,72.39198,38.679535,8.198885,100.94351,101.41503,101.22166,100.935715,19.18232,0.7,-108.22304,-76.6358,0.004266127,-6.4342413,-0.30301324,1.6139374,-0.72732294,-2.1600688,1.7462298e-07,0.3,1.5717958,80.21316,80.353546,79.99005,79.8709,0.28139764,0.496875,4.70534873008728,5.791213468710581
5,50000,50.10350050256642,-88.50865,5.7220103e-07,-6.899711,0.0014020881,2.022062,1.0,6.324541,0.27328515,103.493744,973.04156,9.972387,105.076126,105.302986,104.835396,104.46712,4.5941787,0.7,-110.187355,-101.61506,0.00024711812,-5.953568,3.1113183,2.5108306,1.2725085,2.9114988,4.4709773e-06,0.3,1.7380857,86.5426,86.56331,86.28928,86.32442,0.11411836,0.5,3.747061014175415,6.763588166236877
6,60000,55.73422219580693,-86.179405,3.02897e-08,-16.87065,-0.0025361117,2.6390846,1.0,2.3316088,12.008787,115.85111,147.21585,8.557409,104.795074,104.62555,105.72554,104.68659,23.968609,0.7,-111.585075,-140.13126,0.002660919,-6.7649426,0.16266549,-4.148072,-2.183066,-5.068222,1.10175456e-07,0.3,1.5229967,84.734764,84.34641,84.806564,84.698105,0.27222207,0.390625,4.638381481170654,7.750814374287923
7,70000,47.918386921703195,-89.43426,1.6017688e-09,-18.470005,0.0007688271,2.2642763,1.0,0.79123247,-1.9483528,108.55007,14.54088,8.549505,104.45488,105.64834,104.88407,104.91002,5.3106236,0.7,-110.80449,-150.37968,0.00058284146,-5.7202,4.4539523,4.4134827,4.3806305,3.956585,3.1730815e-05,0.3,1.8465652,87.3185,87.60751,87.39761,87.24472,0.15027422,0.5203124,3.8408703804016113,8.722668739159902
8,80000,53.03784875661586,-88.713295,8.502628e-11,-21.439396,0.0011988155,2.1157043,1.0,1.1834779,-2.735473,201.2405,27.233587,8.776701,104.45348,104.38774,104.63479,104.77517,7.1232977,0.7,-111.979324,-176.05998,0.0023090388,-3.3132792,3.761656,3.7400265,2.7821286,3.0462985,1.3398648e-06,0.3,1.8532753,86.49783,86.76681,86.27372,86.49129,0.12502861,0.4734375,4.181994199752808,9.703701448440551
9,90000,52.681985302339015,-89.46828,4.513109e-12,-21.622797,0.0036289268,2.0423417,1.0,1.5973517,-0.8802438,172.16547,18.79754,8.971893,104.89439,104.669174,105.294876,104.72244,4.8382354,0.7,-110.72546,-191.51884,0.02474796,-4.8520813,0.3056559,-0.7218412,0.57159877,1.258333,6.647705e-06,0.3,2.0108829,87.831024,87.107544,87.90547,87.961105,0.18559662,0.34531248,4.181053638458252,10.683365043004354
