,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.255366238394461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-4.422369387613617,-35.85686,0.0895928,-0.87086535,0.00021800176,0.5534587,1.0,1.466945,-15.024917,18.475103,156.29184,12.923685,44.332447,43.8672,43.79399,43.167896,2.6001177,0.7,-43.763767,-21.263144,0.0031224713,-11.264789,12.001637,11.696835,10.3376875,12.552034,8.157902e-06,0.3,4.0745482,35.62108,35.437958,35.356533,34.95326,0.101000085,0.42031246,6.297302484512329,3.0293994188308715
2,20000,-5.232528102154671,-58.585953,0.09970258,-0.68290704,-0.00011145007,0.730773,1.0,1.2127731,-7.6568036,20.234833,28.276121,15.375138,67.449905,67.980736,67.561676,67.61391,6.175412,0.7,-68.02804,-26.53103,0.00079658825,-9.376444,7.7763553,6.6067386,7.4400916,7.20324,5.1487414e-06,0.3,3.486861,58.16163,58.24302,58.203648,58.16469,0.18782917,0.39218748,5.8598809242248535,4.068282993634542
3,30000,-2.5582750620844683,-71.42558,0.095489845,-0.049018383,-0.00031952542,0.74763614,1.0,1.9502153,-4.2859316,25.614891,77.44565,13.833196,82.85403,82.51625,82.977974,82.41532,2.1405175,0.7,-82.81532,-21.810144,0.000554384,-13.853389,3.2164962,2.7928925,4.845138,3.9081447,1.466833e-09,0.3,3.899408,70.98977,70.949814,71.13152,70.86268,0.13861573,0.459375,5.3066182136535645,5.091888387997945
4,40000,-2.9692580088064346,-80.26507,0.08511451,0.29674897,-0.0009280282,0.6987068,1.0,1.9925172,-4.80334,19.41476,100.1097,13.002979,88.7578,88.639305,88.35655,88.35594,1.9270494,0.7,-88.6371,-24.698872,0.00017023145,-6.919525,3.2206278,3.106289,5.988784,3.9800532,7.197331e-06,0.3,4.310398,80.139244,79.7271,79.90015,79.630585,0.09143774,0.48593748,5.807789087295532,6.123455882072449
5,50000,0.0059569615684589555,-83.890884,0.07451519,0.084356636,-0.00040072502,0.6844387,1.0,1.6491196,-3.60746,24.82525,69.956566,13.993954,91.0701,91.394646,91.29932,90.97992,3.1147592,0.7,-91.401764,-33.765945,0.00046108442,-10.161948,5.341479,5.0670757,3.2480345,5.031669,5.912036e-07,0.3,3.9233506,83.45068,83.32425,83.35254,83.309006,0.104043685,0.4984375,5.854997158050537,7.154993569850921
6,60000,-2.4864379275304542,-87.24835,0.0675957,0.38990343,-0.00054015074,0.5668503,1.0,1.086001,-59.281994,23.03462,23.478167,14.870704,93.53002,92.91576,92.60024,92.84517,1.150376,0.7,-93.33204,-34.761425,0.0025048552,-7.8097525,55.652718,54.7194,53.851135,56.813484,4.710164e-08,0.3,4.7597084,87.09987,86.798935,86.95321,86.89562,0.06571474,0.45156252,5.887649059295654,8.19020125468572
7,70000,-1.3944202584392502,-88.44006,0.06036398,0.22099692,4.3654814e-05,0.5335323,1.0,1.2960963,1.1439815,26.285303,41.180138,15.068283,94.81864,94.41663,94.09512,94.23033,2.100098,0.7,-94.72177,-33.853756,0.001128169,-10.821578,-1.8392062,-1.2445469,-4.589525,-1.7061228,7.152558e-08,0.3,4.722028,87.9541,88.06587,87.917175,88.00228,0.052900556,0.5078125,5.900742769241333,9.227009753386179
8,80000,-0.4944269879081256,-88.829865,0.054820865,-0.27262524,8.198042e-05,0.5237318,1.0,1.6999352,2.3872037,26.281658,161.4663,16.998455,94.91393,94.85765,94.587364,94.87751,3.0884311,0.7,-95.206825,-29.12652,0.0032300788,-13.311651,-1.528692,-2.884564,-2.0124872,-4.029678,2.1122396e-07,0.3,4.955652,88.36555,88.5729,88.684814,88.49742,0.072514504,0.49531248,5.914832830429077,10.262775075435638
9,90000,0.681555943060374,-90.105156,0.051892616,0.61031604,-0.00028355885,0.47305608,1.0,0.804543,-19.798828,33.906246,53.14511,16.051884,95.29128,95.19962,95.21905,95.29984,12.036807,0.7,-95.408424,-29.815348,0.00073962595,-9.673838,9.810667,7.766479,6.2316732,13.649037,1.8140242e-06,0.3,5.7242494,89.514725,89.69528,89.5803,89.692154,0.09393964,0.465625,5.884005784988403,11.300366139411926
10,100000,0.2003585051549543,-91.19074,0.049600657,-0.64025736,-0.00033909082,0.43637314,1.0,0.5706781,-81.181145,34.11065,8.924881,14.651993,96.072876,95.21813,95.88006,95.35318,1.1517913,0.7,-95.75429,-32.626022,0.00050850504,-6.6341248,81.27465,81.56136,80.93262,81.508896,7.019076e-06,0.3,5.415616,90.739975,90.63792,90.75598,90.521614,0.049183458,0.5234375,5.955862760543823,12.337278227011362
11,110000,2.4719727513772196,-90.60832,0.04704553,-0.44488934,-0.0003150571,0.43824244,1.0,1.0596057,0.43223196,32.284668,38.74804,15.080839,96.55633,95.40333,95.85024,95.764915,0.7372507,0.7,-95.81311,-36.481323,0.0015908561,-4.875206,-1.1774781,0.21097195,-1.8592769,-1.6956737,1.466833e-07,0.3,5.5079026,90.37026,90.08769,90.07165,90.12516,0.04894529,0.4875,5.9401326179504395,13.376422468821207
