,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.630627578947562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,58.541316732890635,-40.876564,0.067086354,-4.367605,0.00030130177,1.1740079,1.0,0.51271534,2.0422535,14.322057,25.572956,7.5230255,58.18696,57.824883,58.234512,57.23078,2.2278602,0.7,-57.610165,-18.573092,2.2511289e-05,-3.8092194,-1.3246049,-0.5811711,1.0880709,-1.5890852,3.873356e-07,0.3,1.4017518,39.628433,39.627567,39.489563,38.89088,0.04614783,0.45624998,4.608233690261841,2.7793726483980814
2,20000,48.39980478988532,-63.960175,0.003764921,-6.172556,0.00095798617,1.8855091,1.0,2.1022134,-3.9764738,29.083288,40.526493,8.095612,80.67392,80.77158,80.558044,80.227776,29.146357,0.7,-83.575424,-36.39207,0.0024383955,-6.356476,4.1562066,3.9517114,4.199391,1.8256079,2.212025e-06,0.3,1.4677315,62.547676,62.156006,62.7109,62.230923,0.27503508,0.4640625,3.748732328414917,3.7261163115501406
3,30000,55.0178228516464,-77.35823,0.00020025027,-11.476698,0.0010930406,2.1536472,1.0,3.8906653,-2.9660127,82.40449,158.47043,14.623074,98.067696,96.93096,97.11979,96.472305,9.86581,0.7,-111.533875,-69.57558,0.00043087295,-5.328314,3.673178,4.3704724,2.3791246,4.0635166,2.0186418e-08,0.3,1.4675275,75.44188,75.5108,74.885284,75.1109,0.2908346,0.45156246,4.213035583496094,4.68482944170634
4,40000,58.982653731401435,-86.291885,1.0785918e-05,-8.720856,0.00071197934,2.5073183,1.0,2.7475,-7.8052254,62.904522,70.34677,8.917243,104.07322,104.59091,103.96573,103.36493,4.4933352,0.7,-107.61911,-94.1306,0.00032532273,-6.489279,4.066825,4.5801554,5.5830097,3.2696333,2.3665314e-06,0.3,1.9255912,84.3535,84.07149,84.45254,84.1687,0.15166056,0.4546875,4.283742904663086,5.645012013117472
5,50000,49.65738215367072,-87.37895,5.7466957e-07,-16.815979,-0.003672123,2.7736936,1.0,1.7843443,0.73188925,136.28123,48.924294,8.053546,104.71613,105.27074,105.43463,105.262314,5.339199,0.7,-111.553314,-121.30019,0.0014440112,-8.084367,0.7495764,2.2702372,1.2787368,0.8084602,1.11758716e-07,0.3,1.4855955,85.71242,86.01945,85.94931,86.01962,0.17092967,0.4296875,3.680187702178955,6.59295175075531
6,60000,57.04538125314815,-89.94943,3.0320567e-08,-14.962009,-0.0038361393,2.6660972,1.0,1.6934965,8.366713,110.653984,50.812435,9.209332,106.062164,105.64949,105.63874,105.73136,8.32993,0.7,-112.24656,-114.58297,0.003670258,-6.315364,-2.5484262,-2.0930095,1.3453615,-1.5314045,2.4950832e-06,0.3,1.8903022,87.98794,87.79461,87.68013,87.914154,0.22136578,0.4296875,4.189802885055542,7.548293046156565
7,70000,53.72427264448248,-91.94367,1.6043159e-09,-19.80923,-0.0034041123,2.4432886,1.0,1.5535748,1.8016636,205.59088,59.984474,15.458924,105.26989,105.9921,106.415794,106.07381,1.8657479,0.7,-117.41453,-146.52487,0.0054389955,-5.1973314,-0.7914417,1.0806088,1.3407874,1.0022937,1.7968704e-08,0.3,1.9243567,89.93342,90.562225,90.39708,90.34575,0.12924121,0.4734375,4.027841091156006,8.498234498500825
8,80000,53.199575257936175,-88.718445,8.534897e-11,-22.536644,-0.0011935213,2.1020782,1.0,1.3325549,1.0419064,317.67386,28.391348,8.884955,105.82015,106.154335,105.959114,105.72765,2.467752,0.7,-112.65556,-187.0412,7.365394e-05,-4.2693605,0.4186658,-0.18475395,1.5117595,0.36453745,2.7543865e-06,0.3,1.7943661,86.82564,86.75818,86.41798,86.58655,0.114720054,0.49531248,4.0256757736206055,9.453836107254029
9,90000,54.787914132721916,-92.23964,4.5431645e-12,-15.995194,-0.0039932923,2.1066961,1.0,1.2489551,3.1059551,224.61858,48.532547,15.009748,106.25126,106.05301,106.020454,106.52593,3.266162,0.7,-117.716034,-189.56082,0.0003305027,-8.382531,0.2057961,-0.47164237,1.3902541,-0.25963607,1.3522805e-07,0.3,1.9881872,90.05904,90.04164,89.902176,89.98862,0.12424768,0.475,4.028204679489136,10.410504074891408
10,100000,53.48529316294296,-90.544785,2.4244528e-13,-24.877857,-0.0021291876,1.969195,1.0,1.2805707,-1.6898751,412.98575,23.563679,7.798657,104.6419,105.26657,105.381714,105.16247,3.4540584,0.7,-111.45055,-208.93658,0.0020790624,-5.01883,4.41209,2.9948819,3.672145,3.7943363,9.2375565e-09,0.3,1.8754929,88.36238,88.600746,88.28433,88.45427,0.120977655,0.4328125,3.9989118576049805,11.36229689915975
11,110000,49.11633546245567,-91.83339,1.29448445e-14,-20.262396,0.0048373775,2.011631,1.0,1.131048,-3.5453026,200.25954,30.30451,11.899011,106.18504,105.88672,105.97301,105.94309,1.8308486,0.7,-115.35084,-226.41827,0.0009224392,-4.6690993,3.7280657,2.6662538,1.213171,3.5171812,2.1129382e-07,0.3,2.1028466,89.61884,89.6315,89.70888,89.801765,0.10892614,0.375,3.7235376834869385,12.313264191150665
