,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.255557567276338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-1.0844110996066614,-23.697056,0.07331861,-5.5817013,-0.0006979617,0.8417193,1.0,1.3190067,5.8829594,22.208918,23.875854,11.744168,40.95493,40.607597,40.50115,40.349525,2.551041,0.7,-41.224796,-29.714714,0.002195307,-119.189896,-6.254584,-6.1132507,-6.1089954,-5.6068726,8.4038e-07,0.3,-8.895414,23.360432,23.38667,23.228346,22.890041,0.12476659,0.4640625,6.160905599594116,2.8351868708928425
2,20000,1.1302180939836237,-37.179504,0.07417912,-0.45025715,-0.0018888683,1.6781292,1.0,6.0876474,7.505418,62.555576,627.61755,14.677536,62.222042,62.361156,62.91846,61.90449,4.578795,0.7,-61.98772,-29.3722,0.00051717926,-310.8095,-6.9539714,-6.9242587,-6.963802,-5.9396424,2.3970542e-06,0.3,-8.60652,36.98647,37.00434,36.988075,36.897125,0.19363207,0.4515625,6.322542428970337,3.8835097789764403
3,30000,19.69101749438491,-48.29898,0.078296535,-0.47234607,-0.0016925425,2.4975855,1.0,3.6280186,7.585718,25.40442,84.04658,14.479805,76.33789,75.52214,76.03058,75.14475,5.9910207,0.7,-74.823906,-29.37568,0.0032204394,-61.788795,-8.074041,-7.58026,-6.219275,-6.1872425,4.037345e-06,0.3,-5.8051524,48.055706,48.186962,48.182762,48.238373,0.30209455,0.434375,6.007650136947632,4.922939582665761
4,40000,39.861524076286464,-54.082436,0.07907791,-0.080492616,-0.0011092433,2.7160518,1.0,5.332529,8.583382,26.366314,356.54108,13.862501,81.277214,80.89303,80.712,80.27344,7.8828435,0.7,-80.59347,-29.499182,0.0005107224,-258.20322,-8.934089,-8.933741,-9.289361,-8.093856,1.6298145e-08,0.3,-8.710871,53.964756,54.01491,53.38955,53.398575,0.36174542,0.4609375,5.896249771118164,5.960575095812479
5,50000,40.818269600202505,-55.337086,0.07920138,0.01338461,-0.004324206,3.0807648,1.0,3.3706224,9.249204,33.157227,85.16472,13.330496,84.7928,85.01534,84.842186,85.962296,8.042823,0.7,-83.748924,-28.100414,0.0006496493,-228.60222,-10.951849,-10.292562,-9.547999,-8.757338,2.5845688e-06,0.3,-11.225427,55.21592,55.09179,55.648945,55.619137,0.37677875,0.47031248,6.007410049438477,7.002758649984996
6,60000,29.174360925677377,-58.92028,0.07727486,0.016351283,-0.0067112907,3.3968256,1.0,4.109214,16.615599,43.41584,231.89934,13.523375,86.00266,86.0012,85.285706,84.476074,35.475082,0.7,-85.774055,-37.899624,0.014407343,-396.41605,-17.365465,-17.476007,-18.826653,-18.018576,4.2391474e-07,0.3,-11.366159,58.512985,58.513725,58.2946,58.36559,0.6184355,0.4765625,6.308898448944092,8.050056477387747
7,70000,48.323092485360206,-57.995457,0.07345842,-0.7095058,-0.0013831885,3.2328584,1.0,3.6136618,10.007484,33.951206,51.848766,14.514284,86.61422,86.6439,86.73552,86.49592,9.566258,0.7,-85.95161,-29.685244,0.00044460467,-293.00522,-9.738924,-10.517852,-9.279754,-8.890428,8.5667125e-07,0.3,-13.764153,57.511932,57.575294,57.47336,57.86314,0.41500992,0.40781248,5.604021787643433,9.087053835391998
8,80000,48.90663148878892,-62.097446,0.070628114,0.8006898,-0.011228496,3.1812227,1.0,3.030332,9.707147,34.98901,40.63539,14.195515,86.78894,86.794334,86.77145,86.95137,6.4277782,0.7,-86.7177,-29.549284,0.00082991604,-279.88452,-10.070159,-10.908656,-9.699536,-9.532896,4.710164e-08,0.3,-15.132007,61.95559,61.865173,61.883144,62.082306,0.41109517,0.4234375,5.685303449630737,10.127427558104197
9,90000,48.848368237079036,-62.698944,0.0689092,-0.6213562,-0.004873421,3.7717729,1.0,4.4720087,7.875597,26.186745,236.59073,12.853166,88.53527,88.35818,87.74474,87.680466,18.48103,0.7,-87.61014,-31.731844,0.018664163,-211.73645,-8.263133,-8.891837,-8.529995,-8.551408,1.4443096e-06,0.3,-13.949798,62.315796,62.37652,62.061928,62.19339,0.49500713,0.4375,5.704930305480957,11.168279838562011
10,100000,50.12365794832851,-60.279633,0.06650821,-0.687178,-0.010383076,3.6458657,1.0,4.7649994,5.763613,28.57906,190.76886,13.268362,88.65614,89.03254,89.3157,88.50732,11.313279,0.7,-88.82465,-31.159288,0.012905763,-252.43263,-5.760831,-6.0974236,-7.1787615,-8.40785,2.5566553e-07,0.3,-18.79583,59.692,59.644104,59.209763,59.302,0.5873004,0.49062502,5.676648855209351,12.2090123573939
11,110000,50.488112448023514,-61.24549,0.06575738,-0.9161453,-0.0045065433,2.8713484,1.0,2.216857,14.175829,31.656332,47.49089,10.652259,88.2145,89.22184,88.72672,88.57441,6.962488,0.7,-88.51123,-36.345234,0.000532427,-534.24384,-14.410764,-14.583794,-14.119123,-13.365692,1.0112784e-05,0.3,-16.388506,60.85846,60.856438,60.976295,61.00054,0.35488597,0.4109375,5.719970464706421,13.248931471506754
12,120000,51.08723302854542,-59.81572,0.06607697,0.13116233,-0.0030617153,3.6227689,1.0,3.8636756,10.262026,31.29604,98.846794,14.242009,86.77453,87.378586,87.70769,87.78121,26.531235,0.7,-86.38974,-31.880737,0.0013937526,-289.2704,-10.4647455,-10.412873,-10.778491,-10.864903,1.0288691e-06,0.3,-19.309555,59.264397,59.4757,59.339977,59.184525,0.5800881,0.42812496,6.016639709472656,14.290455762545268
13,130000,53.613144972222095,-61.50208,0.06562334,-0.050544232,-0.012197482,3.7021554,1.0,4.127652,12.671412,26.03995,84.39219,12.204788,87.058624,87.265526,87.75425,87.414024,12.821569,0.7,-86.66148,-30.392574,0.0003689746,-815.6609,-12.530072,-12.841418,-11.761829,-11.102911,1.2904983e-05,0.3,-23.848736,60.99382,60.957817,61.286224,61.38331,0.46531796,0.4484375,5.766708612442017,15.332833596070607
14,140000,53.20157483976651,-62.33763,0.06439769,2.1054573,-0.0034533725,3.7880223,1.0,4.050943,11.613602,40.98791,126.3553,13.672064,87.769646,86.990974,87.31694,86.49974,9.228278,0.7,-86.68308,-31.677376,0.0010796841,-277.93808,-11.137275,-11.791776,-10.936452,-10.281419,2.7522156e-06,0.3,-22.246765,62.156853,61.991806,62.220455,62.21099,0.47585973,0.43906248,5.816489219665527,16.373678108056385
15,150000,54.587830946082995,-59.896816,0.064334795,0.045463383,-0.012822896,3.768398,1.0,3.4130712,5.2482677,58.401924,258.78702,12.076674,86.687004,86.22429,88.21621,87.33523,8.364773,0.7,-85.87887,-30.372772,0.0017173369,-506.52658,-6.5660706,-5.7793465,-6.6053786,-7.5067286,1.2370333e-05,0.3,-27.58078,59.37478,59.316006,59.7414,59.638508,0.5034598,0.47031248,5.770521879196167,17.41354692776998
16,160000,52.81920917429211,-60.95663,0.06333166,-0.7924308,-0.014788327,3.9046853,1.0,2.4371476,4.690611,31.042538,62.79367,12.455203,87.107285,87.62275,86.48073,86.47598,36.3343,0.7,-86.39641,-41.034008,0.0016037509,-630.9672,-4.9708652,-5.0139065,-4.95719,-5.649296,1.7071074e-10,0.3,-28.178947,60.4886,60.503258,60.288204,60.394592,0.7242042,0.46718752,5.698277235031128,18.454196218649546
