,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2534540161096106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-2.6088117402308417,-37.244896,0.09329144,-0.27454895,0.00023754062,0.9311326,1.0,1.112043,-2.5869598,19.4299,18.897789,14.13914,44.083794,44.4318,44.359344,43.311928,2.4277017,0.7,-47.296844,-26.314163,0.0008852227,-9.075771,2.9267612,2.2115211,2.8294854,1.6028745,2.2693537e-06,0.3,3.3722768,36.49302,36.483727,36.30203,35.862724,0.123738736,0.43281248,5.513045310974121,2.8761982480684916
2,20000,-2.2287101897689254,-59.688843,0.11218234,-0.6238459,-0.0008646898,1.4053453,1.0,1.7953284,-29.788073,22.569223,34.946747,14.958179,69.16383,69.77985,68.15442,67.36332,19.492205,0.7,-69.14643,-26.864462,0.0024014658,-14.930423,26.719414,25.807705,26.74514,25.236391,1.1092925e-08,0.3,2.5405126,58.863495,58.890545,58.676033,58.561836,0.25057656,0.4328125,5.656259059906006,3.908726076285044
3,30000,-3.17684529417931,-72.70079,0.10724183,-0.425438,-0.0024441725,1.6458428,1.0,1.8064997,2.0142446,18.594133,83.30267,19.284283,82.183464,82.183975,81.520676,82.44626,4.334495,0.7,-83.17991,-24.055384,0.00028710905,-10.318694,-1.6601771,-1.8644586,-1.7369882,-1.9397213,2.3093891e-07,0.3,3.0650535,71.98534,71.99193,72.20006,72.03406,0.15613224,0.46093747,5.544207811355591,4.939156651496887
4,40000,-0.798450104316081,-80.20455,0.09259407,0.5059593,-0.0022270258,1.9439137,1.0,1.8456982,2.8540516,28.956173,51.08518,14.069642,87.25396,87.14062,88.58638,87.38413,2.4070668,0.7,-89.88321,-25.05539,0.0043559372,-9.680559,-3.5769339,-4.043191,-2.1999276,-2.9131696,2.8397887e-06,0.3,3.4405565,79.578575,79.516266,79.58931,79.57858,0.16567045,0.38437498,5.51056694984436,5.966064198811849
5,50000,-0.7123218546206708,-83.56014,0.07738616,-0.064391315,-0.001328604,2.1439939,1.0,1.4350622,3.713484,42.866386,26.169178,13.7723255,91.89973,91.86493,92.6176,92.001755,3.5039945,0.7,-92.546616,-26.704037,9.108317e-05,-9.603662,-3.9780517,-3.521897,-3.5128405,-4.4734836,7.377821e-08,0.3,3.9478192,82.93995,83.01958,82.90605,82.98057,0.13485652,0.403125,5.581243276596069,6.995526178677877
6,60000,0.6348074502037424,-87.02031,0.065936364,-0.099052005,-0.00016993917,2.0554898,1.0,1.2116858,2.0346265,25.333061,39.10357,14.1915245,95.277916,95.449905,95.46942,95.37879,3.1315672,0.7,-95.9445,-36.454403,0.0004098586,-8.885424,-2.6646461,-2.9981349,-2.5538194,-1.0696354,8.827559e-06,0.3,4.212532,86.50086,86.45593,86.49434,86.44237,0.089051306,0.45625,5.541046619415283,8.025634296735127
7,70000,2.238736884547801,-87.102486,0.05840084,0.13602406,-0.0066440674,2.0883467,1.0,1.7598257,4.457574,47.753654,151.70575,16.861145,95.29422,94.718765,95.857414,94.20691,2.0221343,0.7,-97.534035,-35.439632,0.0014082874,-8.03713,-4.4312205,-4.119929,-3.60245,-3.4088912,3.0950353e-06,0.3,5.067627,86.640816,86.593506,86.61746,86.607285,0.10031147,0.465625,5.546772241592407,9.053897261619568
8,80000,1.8002401715004939,-89.1588,0.052725278,-0.56523854,-0.0021805733,2.22733,1.0,0.9971685,-65.79171,36.13677,24.228237,15.660266,95.75789,95.1642,95.73073,95.68633,1.6559627,0.7,-96.215866,-28.78757,0.00076629716,-7.4554424,65.49951,65.9283,64.88566,64.73634,1.878664e-06,0.3,5.306135,88.6373,88.68529,88.57799,88.587036,0.090638265,0.49374998,5.562471389770508,10.082082005341848
9,90000,7.721952466381615,-89.03992,0.04920221,0.6941275,-0.005983908,2.3628576,1.0,1.4605932,2.5426166,32.76159,41.228683,15.040964,97.10989,96.71172,96.755516,96.5099,1.6349922,0.7,-97.15691,-36.32473,0.0053100064,-10.912214,-2.0467358,-2.1859453,-2.18921,-1.2827042,4.3226754e-07,0.3,5.3200283,88.492645,88.50895,88.17287,88.20919,0.092230886,0.50625,5.497873544692993,11.109944307804108
10,100000,10.523894891811468,-89.26222,0.04735678,0.20333654,-0.008811528,2.4343674,1.0,1.1004977,1.9757922,33.232304,27.078854,14.043236,95.717964,95.62096,95.38836,95.405136,0.8940308,0.7,-95.809586,-40.823345,0.0010541969,-6.7031593,-2.4588008,-1.7141223,-3.5954547,-2.742994,4.541944e-08,0.3,5.363588,88.81418,88.784096,88.64985,88.73898,0.06979732,0.465625,5.503350019454956,12.137044072151184
11,110000,28.637395428669148,-89.13045,0.044667885,-0.6626186,-0.0027334497,2.5298302,1.0,1.5009968,3.4333239,31.525885,23.168427,13.630668,95.79241,95.83174,96.483826,95.57386,2.3828008,0.7,-96.103386,-30.61506,0.00068648544,-10.88941,-4.0195804,-2.5085244,-2.6293826,-0.53975016,6.915245e-07,0.3,5.5612974,88.63873,88.67705,89.10996,88.90498,0.11304935,0.48125,5.507410764694214,13.163222682476043
12,120000,47.20405466989412,-88.654884,0.043582015,0.54199755,-0.006958311,2.6341796,1.0,0.83806473,2.0820026,98.721306,11.910433,16.470947,95.90918,95.86041,95.57112,95.92086,6.641409,0.7,-96.42682,-33.8586,0.0015323241,-18.649265,-0.5622852,-1.4451556,0.5629833,-1.7055936,6.9849196e-11,0.3,5.2072654,88.114624,88.16196,88.13336,88.11784,0.10026301,0.4671875,5.49808406829834,14.189456983407338
13,130000,44.34465436818052,-89.34552,0.042994678,-0.240664,-0.008941295,2.969445,1.0,0.8934697,1.9134091,28.125868,58.925602,15.661036,96.40473,96.92709,96.406975,96.2995,1.8243556,0.7,-97.45205,-51.8523,0.00031739566,-12.070953,-3.2091584,-3.1900399,-1.8993065,-1.358032,3.0365018e-06,0.3,5.7648697,88.79503,88.82451,88.81412,88.84979,0.08479193,0.478125,5.565337419509888,15.209604052702586
14,140000,49.35591615781363,-90.036446,0.044140216,-0.8225253,-0.012141752,2.6920607,1.0,0.9660923,-0.21039456,24.35211,58.15463,13.635448,96.63132,96.46467,96.428116,96.245255,4.018018,0.7,-96.895294,-39.408875,0.00093128183,-9.671159,0.074925244,0.23117453,0.57427293,-0.018255353,9.891345e-07,0.3,5.7461576,89.56721,89.46994,89.561935,89.53153,0.10308942,0.49374998,5.475637912750244,16.23360904852549
15,150000,49.828334015858665,-90.05966,0.04230911,-1.0972555,-0.0069594323,2.8507345,1.0,1.8670942,-1.3864636,32.798847,223.13501,15.684839,96.506485,96.30927,96.99977,96.05598,1.5136061,0.7,-97.24564,-32.039207,0.0007058424,-5.911952,1.4351246,0.67082244,-0.21489558,0.18488413,3.9156294e-08,0.3,5.172883,89.50445,89.45953,89.20276,89.19773,0.08227011,0.52656245,5.42779803276062,17.257754302024843
16,160000,50.134445281106125,-89.79643,0.042210773,-0.962183,-0.0074359514,3.0919652,1.0,0.95021987,0.35006934,34.528534,40.840916,16.458265,95.76097,96.32775,96.00454,95.69304,0.97036433,0.7,-96.34894,-38.86937,0.00088684616,-7.168265,0.7280152,-0.13248283,1.0678656,1.5532722,3.71614e-06,0.3,5.609395,89.40036,89.29785,89.41507,89.376205,0.06278327,0.434375,5.463598012924194,18.28350887298584
17,170000,51.8169936958112,-89.6216,0.041982148,-1.3374727,-0.009327344,2.8938997,1.0,1.3279911,-0.017668769,38.38979,59.010498,15.704056,97.33988,97.601746,96.6463,97.018814,2.0078955,0.7,-98.07441,-32.438267,0.00047017494,-13.599834,0.29548752,0.7597232,-0.022941817,-0.5380786,1.5662518e-07,0.3,5.6212173,89.10527,89.10095,88.961075,89.03282,0.09527146,0.46875,5.53291130065918,19.311719850699106
18,180000,51.93279687872195,-89.33617,0.0407916,-0.25138932,-0.007155832,3.087755,1.0,1.2279129,1.051107,28.795519,42.86422,13.424086,95.79778,96.16723,95.79721,96.05127,2.1648414,0.7,-97.103806,-38.16454,0.0008702293,-7.435857,-0.38597357,0.07267463,-0.23300718,0.2788412,1.3238169e-07,0.3,5.7154493,88.72467,88.82747,88.75244,88.84396,0.0930976,0.41249996,5.717520236968994,20.33916591803233
19,190000,52.798080772508236,-90.53855,0.04131064,1.4503167,-0.0026227063,3.1867661,1.0,1.460224,-1.7871405,45.400482,52.29631,15.292845,96.82472,96.97338,97.69292,96.357414,6.1766267,0.7,-97.50993,-34.07816,0.0006284216,-7.6675544,1.6996737,1.6793528,0.48822677,1.9430685,6.437302e-07,0.3,5.973581,89.977394,89.94229,89.75716,89.77473,0.11182011,0.4625,5.552870988845825,21.35972338517507
20,200000,51.388279955567796,-89.3923,0.040580977,0.12210956,-0.014290935,3.3382332,1.0,1.1854749,-0.56779844,26.11374,35.239193,16.142902,96.99651,97.1412,98.46809,97.296555,4.337337,0.7,-97.46666,-35.20659,0.0023924313,-10.092298,-0.47095472,0.37284368,1.772566,2.613609,6.551895e-06,0.3,5.8203773,88.77171,88.805855,89.14679,89.0573,0.11230871,0.46406248,5.807029962539673,22.387716364860534
21,210000,52.16481025156524,-89.4337,0.039578017,-0.376094,-0.0066681304,3.3155155,1.0,0.8333216,2.0311904,36.38177,18.72182,15.303296,97.226875,97.16297,96.92413,97.06615,2.2219756,0.7,-97.379196,-41.159573,0.0013917265,-7.182579,-0.4804923,-1.1207433,0.66571397,-1.050787,1.7954666e-05,0.3,5.6284723,88.78198,88.87294,88.772995,88.80814,0.09119201,0.4578125,5.709559679031372,23.41610066095988
22,220000,52.95291536779556,-90.22752,0.04028926,-1.7770987,-0.006649658,3.3485324,1.0,1.0513035,-0.916467,26.490038,23.917826,17.632244,97.440895,97.57427,96.97337,97.18765,1.0586395,0.7,-97.86742,-68.68373,4.0296523e-05,-7.1962743,1.4041173,0.6720742,0.91383815,1.3033187,5.720824e-07,0.3,5.863489,89.68634,89.68021,89.72174,89.76249,0.0933112,0.4359375,5.727039813995361,24.44502590497335
23,230000,53.429781242887564,-89.37489,0.038847003,-0.10798605,-0.0103996005,3.1025481,1.0,0.94297445,-0.26564753,27.796385,45.177025,14.4180975,96.84227,97.29277,97.14361,97.13842,1.457653,0.7,-97.66895,-33.30056,5.10799e-05,-5.7845325,0.4418341,0.9309139,0.62656474,-0.23109573,1.5299768e-06,0.3,6.0196047,88.88551,88.869675,88.90922,88.914734,0.07056296,0.4296875,5.648442268371582,25.471983472506206
24,240000,54.45083589428737,-89.90413,0.039154466,0.22576162,-0.011156507,3.1307123,1.0,1.1856475,1.3085871,44.46461,121.574295,14.91054,96.85436,97.26447,97.31447,97.70586,1.2478552,0.7,-97.457054,-53.954044,0.0024459315,-6.035139,-0.7885168,0.31005543,2.0864193,2.9151845,4.1245253e-06,0.3,5.7034245,89.34787,89.34476,89.53478,89.54471,0.08532365,0.50625,6.017920970916748,26.506201787789664
25,250000,53.68512241512542,-89.93837,0.039963644,-0.3490604,-0.008120672,3.1160638,1.0,0.6315049,-0.26546407,32.055958,15.834111,15.770831,95.85641,95.91151,95.833405,96.03192,3.0619535,0.7,-96.09255,-34.700253,0.0023641984,-10.935504,1.2430617,0.6369957,1.3993746,1.3862135,1.290976e-06,0.3,5.8383236,89.42973,89.32832,89.44258,89.660034,0.10185513,0.378125,5.503291845321655,27.53384784460068
26,260000,54.49531583191817,-90.161514,0.03833884,0.7392201,-0.023370972,3.8429039,1.0,0.8683289,-0.62769395,30.15781,22.55194,15.671238,97.23421,97.28497,97.1104,96.9942,1.9522492,0.7,-97.98797,-30.996248,0.0007009935,-5.023426,0.97059375,1.0983193,-0.6273167,0.3795783,8.032378e-06,0.3,6.1211042,89.62478,89.60091,89.56992,89.53538,0.10398708,0.46406248,5.463155269622803,28.55911815961202
27,270000,52.23204802929593,-90.44213,0.0389029,-0.033794165,-0.0070755156,3.0468266,1.0,0.9850885,-1.6884475,33.80425,32.565624,16.893707,97.05072,97.20453,96.66928,96.97803,1.3189254,0.7,-97.501595,-44.847496,0.0010480616,-5.663816,2.2865808,3.950745,4.126711,4.0652056,6.9162807e-06,0.3,5.8491993,89.89466,89.849556,89.872894,90.15451,0.09606171,0.36874998,5.471141576766968,29.581746443112692
28,280000,52.88751830930902,-90.55179,0.03942063,0.6192454,-0.010538149,3.2921028,1.0,0.9678084,-63.139328,32.96657,41.443,14.129314,96.29828,96.281654,96.35691,96.51594,4.5691113,0.7,-96.9846,-43.055412,0.0006450829,-4.7354584,63.17673,62.512726,63.314438,63.52717,2.2631139e-06,0.3,6.08366,89.99568,89.98803,90.22604,90.21733,0.09868114,0.45624998,5.416163921356201,30.609334182739257
29,290000,54.12208090349873,-91.04085,0.038907807,-0.7802465,-0.016611608,3.297625,1.0,1.0934787,-65.07074,23.619678,33.121685,14.75868,97.35264,97.70358,96.830376,97.49405,1.9019135,0.7,-97.77843,-29.594156,0.00088965596,-4.544901,62.797516,62.231766,58.85646,63.00706,6.1973694e-08,0.3,5.784417,90.37654,90.41729,90.1104,90.3262,0.08581464,0.371875,5.424389123916626,31.6378533522288
30,300000,52.83220318943662,-89.514755,0.038547285,0.41646495,-0.003414521,3.4011643,1.0,0.8428922,-1.9234138,36.73007,26.92061,15.221815,96.57322,96.86852,96.64678,96.588554,6.2068644,0.7,-96.64311,-38.703724,0.00081282255,-12.762342,2.7244177,1.716938,2.4744592,2.4657826,2.861343e-06,0.3,5.9224477,88.91449,88.956924,88.96825,88.85326,0.15491523,0.51875,5.5140838623046875,32.667197485764824
31,310000,54.708201652460275,-90.939255,0.039386764,0.80261695,-0.009134916,3.462032,1.0,1.1781657,-66.324135,32.51287,128.62953,16.30853,96.18387,95.85817,96.109276,96.252945,19.870352,0.7,-96.4471,-32.140903,0.00035033008,-12.099931,52.073994,53.57906,51.460617,54.988396,3.1553208e-07,0.3,5.650732,90.27798,90.25545,90.0841,90.16817,0.18286231,0.48906252,5.485965728759766,33.69262913862864
32,320000,52.443340094623316,-89.16221,0.038594764,-0.54648644,-0.0147945285,3.3607712,1.0,1.2291998,-4.0162654,49.958557,80.67287,15.532819,99.33938,99.01303,98.53563,99.07633,13.066846,0.7,-99.749954,-30.438803,0.0017090708,-10.8246,4.815736,3.4493678,6.259635,8.499406,4.9628256e-06,0.3,5.2488747,88.549324,88.551254,88.65626,88.90466,0.16255823,0.4,5.584217548370361,34.723423671722415
33,330000,53.53755813684252,-89.60731,0.038321067,-0.42488995,-0.007625243,3.314193,1.0,1.4834025,-0.71095467,28.048904,40.17197,16.55226,96.485115,96.28499,96.507744,96.38249,11.366386,0.7,-96.998344,-34.980087,3.802619e-05,-5.8929787,0.6058753,1.0321448,2.0337987,2.6479526,4.8409566e-07,0.3,5.393035,89.01258,89.0489,88.64859,88.88972,0.15312365,0.43124998,5.657160520553589,35.753470075130465
34,340000,53.396223926506025,-89.97862,0.037910577,0.10316484,-0.0148366755,3.5685189,1.0,0.79100597,-0.43792653,26.027687,16.41728,16.212383,96.421745,96.47517,96.953896,96.23101,1.9063056,0.7,-96.85983,-34.338787,0.00013822748,-10.108547,0.8563,0.7408778,2.7446957,3.686087,6.30389e-09,0.3,5.647645,89.35878,89.34561,89.44691,89.43559,0.08924711,0.47031248,5.5118584632873535,36.77877929210663
35,350000,52.96023138990803,-89.64278,0.039689954,0.7295685,-0.00718226,3.6582742,1.0,1.748189,-1.0727389,32.329308,158.27362,14.0910225,97.312515,97.39895,97.492195,97.32326,2.8855097,0.7,-98.2071,-36.281265,0.0005569091,-10.263482,1.9942958,1.5687926,2.6809678,2.6242971,1.4144462e-09,0.3,5.561632,89.05773,89.058685,89.033516,89.224915,0.08555154,0.4296875,5.531222820281982,37.80602832237879
36,360000,53.24235390897827,-90.062256,0.037353247,0.22506708,-0.011110246,3.3207605,1.0,1.0294685,-3.3506799,29.004076,39.56873,15.612473,96.479965,96.24589,96.46195,96.700874,7.811222,0.7,-96.987,-44.7079,0.0019859541,-13.720426,2.553743,3.6087377,2.270664,2.0149875,4.7218055e-08,0.3,5.8421917,89.55089,89.4305,89.38092,89.38971,0.13338968,0.4375,5.4573893547058105,38.832702207565305
37,370000,52.98037226196897,-90.74682,0.03790735,-0.10583955,-0.015508345,3.4866066,1.0,0.69568497,-69.45896,44.55277,9.490155,14.931146,96.34222,96.445915,96.58712,95.88328,6.333016,0.7,-96.87633,-40.25774,0.0011032657,-6.124957,69.42238,68.90861,68.975815,69.417366,1.418346e-07,0.3,5.6879635,90.21675,90.19098,90.04414,89.99749,0.11801973,0.5125,5.469046115875244,39.85372331937154
38,380000,54.58725010437554,-89.99943,0.037649356,0.23940405,-0.008306081,3.1653128,1.0,0.9384914,-3.1114383,29.066895,35.61025,17.663963,96.88862,96.972946,97.01084,96.67776,17.448454,0.7,-97.694595,-39.79116,0.0009282423,-10.281056,3.8548684,4.0567064,2.4740133,3.1272655,6.1656287e-06,0.3,6.0658245,89.37596,89.378296,89.348465,89.4172,0.13977596,0.440625,5.4879841804504395,40.87411125500997
