,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.848995120123769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,15.927662127328562,-30.317738,0.05754624,-7.913368,-0.001782827,2.2642279,1.0,2.0180194,-0.12189174,24.593822,304.20026,8.011401,55.102978,55.049572,54.876373,54.139008,3.2833376,0.7,-55.284607,-23.624361,0.0002278762,-7.0978746,-3.7735953,-3.472607,-4.290787,-2.9755566,1.0892152e-06,0.3,-0.49193543,30.029366,30.003836,30.10005,29.789703,0.15010527,0.4671875,1.3229482173919678,2.714355425039927
2,20000,21.076234004628493,-48.10144,0.0037664906,-5.7622447,-0.0026959868,4.2721863,1.0,2.6792364,2.012794,114.468346,186.86533,9.536733,83.779434,84.043625,83.80794,82.2604,14.2768755,0.7,-83.827065,-41.710716,0.001916666,-10.3244915,-8.14012,-9.327672,-0.06519093,-1.9197417,2.0330324e-05,0.3,-1.2122184,47.271324,47.27492,47.284252,47.12587,0.6291925,0.45156246,1.755969762802124,3.663788421948751
3,30000,21.93370579039905,-57.875107,0.00023370917,-9.371424,-0.007003236,5.430408,1.0,5.0275545,1.9991993,161.21573,250.54239,8.374262,91.32156,91.02285,91.45845,90.521805,42.951904,0.7,-90.80304,-70.73596,0.0015111439,-10.174851,-1.7915556,-1.7558668,-2.5376644,-3.76441,8.329265e-05,0.3,-0.9842957,57.094612,57.09832,57.384773,57.461525,0.75292134,0.4265625,1.854250192642212,4.612236297130584
4,40000,24.06419616344525,-62.21829,1.3794714e-05,-11.116747,-0.014841619,6.6966805,1.0,35.259296,1.4068075,228.213,7979.094,7.593349,94.50042,94.02811,94.656334,95.38403,14.547742,0.7,-95.936226,-92.487274,0.0032625543,-9.533237,-0.8226314,-1.4223285,-3.3460712,-2.0987577,6.4445708e-06,0.3,-1.4849689,61.18242,61.189934,60.34395,60.893723,0.6550777,0.41875,1.977428674697876,5.565246005853017
5,50000,31.381708289111465,-63.187653,8.7208304e-07,-3.887982,-0.018963996,8.095297,1.0,6.53623,0.24329388,328.90222,731.86096,18.193596,96.17637,96.04473,96.48342,96.13387,47.661682,0.7,-97.25761,-168.27434,0.0019013621,-14.862457,-2.5077755,-2.1016123,-2.9620802,-2.074162,1.4963164e-05,0.3,-1.2161391,61.835117,61.82222,61.60187,61.88365,1.2396607,0.471875,2.3696155548095703,6.521779974301656
6,60000,31.952011359135973,-67.71951,5.865829e-08,-20.0565,-0.01676598,7.836021,1.0,2.7901008,2.104054,352.298,84.51549,14.658051,101.156166,101.72099,101.12029,101.07617,19.731155,0.7,-102.518135,-140.11923,0.009603987,-8.368906,-0.8491511,-2.162651,-1.0072839,-3.0888915,8.802745e-08,0.3,-0.828938,67.03052,66.99507,66.91438,66.61132,0.72025746,0.4765625,2.5131008625030518,7.48165719906489
7,70000,35.350788821300114,-62.00697,4.4268966e-09,-4.9247193,0.0029280894,8.383681,1.0,3.4562354,12.716559,479.4637,121.88567,6.527954,100.41301,100.41951,100.57667,98.795,92.07978,0.7,-103.07778,-154.19185,0.0015541326,-9.380197,-13.514104,-13.087754,-11.511567,-13.421478,3.277499e-07,0.3,-1.5527151,60.894054,60.79115,60.72523,60.57119,1.6230309,0.459375,2.6481828689575195,8.440076009432476
8,80000,31.869452890328503,-64.105255,4.0353565e-10,-9.442692,-0.022593325,8.8495455,1.0,3.372676,-2.7257075,333.44012,188.28972,6.5626144,100.09331,100.0025,99.015785,98.41781,189.83727,0.7,-101.69964,-214.74756,6.400813e-05,-15.315448,3.626611,3.7723362,1.2257612,2.3197327,6.572111e-07,0.3,-1.9676712,63.01142,63.152637,63.088226,62.993687,1.6727887,0.46249998,2.594123125076294,9.40120125611623
9,90000,32.99416387812643,-66.23774,4.787689e-11,0.93340564,-0.0077841803,8.383609,1.0,6.407576,3.5316434,542.4295,489.10297,9.26693,100.61189,100.78176,100.53439,100.11249,136.21046,0.7,-100.139854,-191.45627,0.0017054526,-12.738063,-4.847476,-4.767402,-6.4214277,-3.070322,9.1677066e-07,0.3,-1.4841471,64.804985,64.93315,64.96019,65.46256,1.6053573,0.4265625,2.449740171432495,10.356519254048665
10,100000,38.08769691948599,-67.35918,7.699537e-12,-3.374282,-0.016581757,8.72977,1.0,3.6433692,4.4805055,442.94324,52.35148,6.491449,103.023285,102.1402,101.30079,101.56057,81.407585,0.7,-103.06115,-247.79498,0.004173634,-10.631063,-0.72092426,-4.0423236,-5.2733555,-5.8740215,7.325038e-06,0.3,-1.2851179,66.46045,66.301315,66.26425,66.25175,1.315198,0.45,2.8891122341156006,11.316735704739889
11,110000,48.05386272869727,-65.25427,2.1268297e-12,2.8362353,-0.012492401,8.942683,1.0,2.9805646,1.1509637,1290.6257,33.437744,9.377424,101.16188,101.586105,101.80359,101.37331,96.927216,0.7,-102.077484,-209.61427,0.0028013617,-14.1192255,-0.5027928,-1.5172203,-1.402856,-3.4510057,1.2542122e-06,0.3,-1.412993,63.753323,63.840225,64.28848,64.30865,1.4724357,0.4265625,3.630131244659424,12.291968067487081
12,120000,36.02963766832825,-68.32323,7.615668e-13,-5.02439,-0.025390536,8.7651205,1.0,3.00954,-0.50036025,893.29736,72.94135,6.9482555,100.09625,99.37406,99.87815,99.99933,119.34223,0.7,-102.261734,-293.77588,0.00013173092,-11.764568,1.0221679,1.1222935,0.12133202,0.38724366,6.237708e-07,0.3,-1.5329407,67.00596,67.11604,67.30691,67.51756,1.7002938,0.43906248,2.8671696186065674,13.252707548936208
13,130000,41.67771994821998,-66.79452,4.7310213e-13,6.070842,-0.04059882,9.494256,1.0,4.8349633,-2.8129792,784.4509,171.90265,6.040483,100.835175,100.44441,101.40602,99.845055,197.55434,0.7,-100.20146,-224.80788,0.00074267044,-12.241926,-2.8654695,-6.0106516,-13.574706,-6.4616256,8.362066e-06,0.3,-1.5177916,65.34959,65.397484,65.03461,65.093834,2.311574,0.540625,3.1869354248046875,14.216982503732046
14,140000,34.09177666508937,-67.70366,3.6451555e-13,6.9621873,-0.026219625,9.929286,1.0,3.527229,-6.8309536,736.1745,67.6662,8.108176,102.99446,102.67903,101.83099,102.147026,190.1492,0.7,-103.735275,-218.04509,0.0014378515,-9.653295,-0.5321998,-1.9761531,-1.085167,-1.5688407,6.037485e-06,0.3,-1.4551542,65.93695,65.93564,66.04146,66.41196,2.6419878,0.4515625,2.5124475955963135,15.172479732831318
15,150000,34.71267730090102,-65.33163,4.1806578e-13,2.7346387,-0.01263357,8.961272,1.0,2.9652443,0.3090179,1219.137,71.47221,7.263261,101.19707,101.02397,101.22989,101.42812,122.19605,0.7,-101.92818,-208.18895,0.0058562797,-12.155638,-0.9976179,-1.0950067,1.0359225,-1.3993506,1.2415275e-05,0.3,-1.5808539,63.812073,63.86804,64.232544,64.46205,1.6538165,0.4765625,2.5977866649627686,16.13148998816808
16,160000,42.982031142981214,-68.36523,6.9778477e-13,13.466984,-0.027271006,9.682138,1.0,6.2159553,5.765701,789.69965,461.24088,12.976539,103.62117,103.27614,102.0686,101.97579,83.10779,0.7,-105.59677,-219.60185,0.0017628544,-12.556606,-7.844078,-5.375811,-5.921834,-3.8425276,1.0825635e-06,0.3,-1.3891714,66.68613,66.71968,66.11863,66.42729,1.3044586,0.4890625,3.023858070373535,17.097161388397218
17,170000,38.74298144869707,-68.060036,1.4195575e-12,1.4855795,-0.016309453,10.733019,1.0,3.2035587,-2.2064848,631.2477,45.954823,8.681095,103.074265,103.72507,105.214615,105.25098,33.542248,0.7,-103.86155,-230.50238,0.0013624955,-9.4959545,0.59323376,1.056838,0.52486104,2.1263194,2.1129383e-09,0.3,-1.6301961,66.57599,66.60487,67.00479,67.08686,0.8307854,0.44843748,2.775657892227173,18.061997695763907
18,180000,99.36678586047583,-67.87873,3.8283634e-12,-9.604866,-0.020712925,9.591715,1.0,3.5215883,-1.8552637,435.50595,233.63385,7.3143015,102.23217,102.60975,103.470566,101.64111,42.890602,0.7,-104.103516,-193.02933,0.0037465414,-10.643063,-3.2665427,-2.0166988,-2.0935261,-4.173388,1.8331223e-06,0.3,-1.2855992,66.724846,66.7561,66.43834,66.93088,0.8783042,0.42812496,7.287007808685303,19.099145380655923
19,190000,81.5585710709669,-68.42883,1.2298053e-11,1.9468426,-0.038759213,9.622873,1.0,3.1665177,-1.4986324,1030.3746,52.55365,6.6822805,103.19923,102.78873,103.466385,103.277794,41.236347,0.7,-103.53821,-210.9188,6.823451e-05,-10.685172,1.5347095,2.0253778,1.1771442,0.82255024,3.0205392e-05,0.3,-1.4845929,67.020966,67.05775,67.38373,67.480965,1.0214714,0.421875,5.842251300811768,20.11669148604075
20,200000,76.76678656722042,-65.26569,5.171594e-11,18.297142,-0.041145634,11.247367,1.0,4.7091722,-2.7641196,771.0729,307.6939,6.0725226,102.802444,102.346794,101.89068,102.63635,85.085815,0.7,-103.265,-206.76169,6.902992e-05,-10.330659,-3.8810482,-2.4067194,-1.0356219,-1.9410572,4.418119e-06,0.3,-1.6174744,63.740517,63.72288,63.46135,63.627663,1.6725961,0.4421875,5.568138837814331,21.129143448670707
21,210000,65.65157653031929,-66.905014,2.6303126e-10,-11.065062,-0.04458265,10.935915,1.0,3.6374104,3.9196146,351.65424,76.23146,12.4777775,101.75167,102.10271,102.31567,102.83312,24.789785,0.7,-101.62218,-221.94183,0.003246714,-10.096717,-3.0188715,-2.9261503,-4.509913,-2.7109196,1.0981149e-05,0.3,-1.1688547,65.719696,65.743034,65.75803,66.10653,0.8379263,0.4,4.641801357269287,22.12197511990865
