,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,5.07349998583601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,49.179759687950884,-41.122753,0.066797346,-3.8097835,0.00010055006,2.0047452,1.0,1.1808696,-4.1770267,13.914394,88.09837,8.106125,59.59029,59.07573,60.080593,58.708614,2.5736299,0.7,-58.247467,-21.995218,0.00029241145,-5.9248447,3.9225616,4.0900354,4.3907075,4.044548,1.1457014e-07,0.3,1.4343277,39.772705,39.7641,39.99093,39.38954,0.06671005,0.43281248,3.821686029434204,2.8534958879152934
2,20000,51.131456050918764,-64.95493,0.0037485177,-9.018333,0.0008535756,3.5449696,1.0,0.48881584,2.084688,39.325863,23.556755,8.489207,84.02923,84.18822,83.917336,83.4427,5.5272903,0.7,-90.439674,-42.162163,2.6369526e-05,-8.398712,-0.6009466,-0.80029327,-1.1383321,-0.3710766,1.0653574e-06,0.3,1.3303578,63.35102,63.294384,63.312286,63.26755,0.15509932,0.42499998,4.048211097717285,3.833501998583476
3,30000,57.986894394997414,-76.743,0.00020164867,-10.78131,0.0034941551,4.913945,1.0,1.5718975,2.3815176,67.17691,70.853775,7.614148,97.430374,97.48684,97.878204,97.44923,5.189966,0.7,-102.68751,-57.564575,0.0016643575,-6.5297565,-1.1506836,-0.77120495,1.3989525,-0.7811105,2.60807e-06,0.3,1.4712139,74.90087,74.971695,75.35203,75.18393,0.14043455,0.4453125,4.400298833847046,4.815504054228465
4,40000,51.3062310665556,-81.79465,1.057388e-05,-12.142439,0.0006116652,6.283223,1.0,1.7078676,-1.112871,73.718956,36.44886,7.6815557,104.022125,104.470245,104.506996,104.08521,9.636957,0.7,-111.128815,-85.30391,0.0011817871,-4.447298,1.1386316,1.359082,1.320571,0.72122836,5.2262914e-07,0.3,1.614739,79.9542,79.97483,79.827866,79.794945,0.22032464,0.475,3.941497802734375,5.792518210411072
5,50000,45.18131465581718,-88.09431,5.51302e-07,-17.069147,0.0010993242,7.0185204,1.0,0.8968027,0.9249058,83.234085,13.60936,9.363835,107.77571,108.03193,107.93658,107.95551,23.430614,0.7,-114.86159,-83.1208,0.000499813,-4.281064,1.195791,0.66105574,-0.5797391,0.34140655,5.286886e-07,0.3,1.7914498,86.19823,86.129,86.21199,86.519394,0.2877836,0.4125,3.4585838317871094,6.7634409467379255
6,60000,51.95819201736563,-89.0485,2.8768326e-08,-18.050325,0.010729006,7.736894,1.0,1.0553404,-3.6360083,89.87644,78.69429,8.005527,110.21977,110.294685,110.0066,110.03392,5.9149914,0.7,-115.78693,-142.42885,1.4443882e-05,-3.5145557,4.561257,4.6282353,2.2681773,2.7445645,4.9981463e-06,0.3,1.8279519,87.09559,87.0043,86.96976,87.09454,0.16506742,0.4375,3.930487871170044,7.736563106377919
7,70000,60.07123828784303,-90.745544,1.5109406e-09,-17.70735,-0.0065289997,7.6244655,1.0,1.6902499,-0.81785417,139.56865,101.59173,10.220559,111.801216,112.60788,112.49655,111.5539,22.91303,0.7,-121.793335,-218.19719,0.00038005004,-4.9407387,1.7016685,1.5627153,1.401411,0.93756497,8.298783e-07,0.3,1.9404399,88.70001,88.77683,88.804535,88.494835,0.2545068,0.578125,4.379932641983032,8.720514257748922
8,80000,48.40555104155216,-90.336136,7.92186e-11,-24.83651,-0.0111904545,7.4152093,1.0,1.1205274,4.6419373,194.89136,10.897853,14.897347,112.72876,112.58717,112.87414,112.40027,11.405823,0.7,-119.696815,-216.722,0.00093197386,-6.4012747,1.0864825,1.1162163,1.3519869,-0.18789956,3.824942e-07,0.3,1.7162857,88.58571,88.68776,88.158905,88.23599,0.18356475,0.47812498,3.6385881900787354,9.692017912864685
9,90000,55.65535273110497,-90.320885,4.1539766e-12,-24.26471,-0.013509517,7.6465716,1.0,0.9263335,-4.023792,122.49348,41.12867,8.647685,111.57449,111.65147,112.69561,112.04801,3.044625,0.7,-117.33781,-168.50607,6.569136e-05,-4.825355,4.2573185,4.613504,3.8469548,3.919081,1.1445372e-07,0.3,1.9009655,88.421844,88.34094,88.2912,88.26471,0.102551185,0.459375,4.178189992904663,10.674719846248626
