,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,1.8159668772874953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,12.039838105030844,-25.172451,0.058609724,-13.913197,-0.0016000482,1.4474057,1.0,2.0042236,3.5319982,61.760967,91.839676,26.950329,45.515327,45.530487,43.583195,44.905033,3.9675329,0.7,-48.96468,-44.47105,4.7987123e-06,-8.884232,-3.0859249,-2.625823,-0.04909816,-3.03195,1.18813475e-07,0.3,1.5188038,24.714909,24.747501,24.700077,24.409374,0.08089602,0.4421875,1.965341567993164,2.587280813852946
2,20000,3.600240413661519,-38.75906,0.0035365461,-17.665789,-0.0036628463,2.7572248,1.0,2.8665094,7.770278,90.99712,77.9185,14.44425,72.05685,72.06441,71.399734,71.33121,9.094635,0.7,-72.83074,-69.988556,0.0020175711,-10.570112,-10.928856,-8.691299,-10.701333,-9.96877,1.66893e-07,0.3,0.705112,38.191895,38.168877,38.359966,37.93199,0.28039458,0.47499996,1.1072931289672852,3.530318033695221
3,30000,14.89830757380353,-47.085625,0.0001951198,-20.972351,-0.0023804482,3.885473,1.0,3.8687174,6.4773088,201.76743,82.265205,29.068012,86.83946,86.60608,86.46461,86.55235,6.4516854,0.7,-88.56392,-105.924614,0.0005356739,-11.193603,-6.604892,-7.075941,-9.838873,-6.540748,1.7462299e-11,0.3,0.6048097,46.26342,46.148,46.260864,46.212696,0.26586863,0.403125,1.991417407989502,4.490448733170827
4,40000,19.385342270492377,-54.014755,1.0720153e-05,-20.973297,0.0014516164,4.803336,1.0,3.2396376,4.1388826,236.19365,50.046715,21.869045,95.77747,96.819664,97.54636,95.66826,7.6071534,0.7,-95.96417,-145.1181,0.0067276005,-16.323198,-4.9944196,-5.767951,-6.648898,-5.3924,7.568899e-06,0.3,0.3441478,52.96425,53.013214,53.209038,53.34927,0.41584158,0.38593748,2.5192453861236572,5.455429339408875
5,50000,15.156793409807898,-53.884342,5.639513e-07,-23.524391,-0.0041659116,5.430496,1.0,4.838192,10.925278,271.26447,110.58386,15.087128,100.61183,100.20572,99.8657,99.78069,7.6280437,0.7,-100.35208,-194.32434,0.0040883524,-11.818382,-12.350479,-13.212829,-12.587035,-11.849708,2.9438525e-07,0.3,0.23641634,52.896946,52.921486,52.738087,52.852768,0.42730746,0.4453125,2.6706531047821045,6.4284874439239506
6,60000,5.275010303892377,-54.842377,3.0003243e-08,-29.796425,-0.0037040145,5.8829226,1.0,6.30507,12.903796,480.52,292.23965,18.697222,103.132774,101.923386,100.523834,102.58748,19.455322,0.7,-102.725586,-217.78178,0.0022355404,-29.909315,-14.271123,-13.881166,-11.50054,-11.410489,4.4424525e-07,0.3,-0.018532854,53.93187,54.08562,54.222378,54.073486,0.64014685,0.44375,1.0640008449554443,7.377588673432668
7,70000,4.769407622945794,-56.750248,1.6060641e-09,-21.768011,-0.008797904,6.2234507,1.0,8.924362,13.402166,577.66833,1250.5068,19.061161,103.652245,103.94224,104.538994,104.19941,19.61945,0.7,-105.052414,-289.89023,0.0052587213,-17.747826,-13.630534,-13.969536,-6.075115,-14.143068,3.9156294e-08,0.3,0.18267582,55.555317,55.794243,55.811237,55.879005,0.54716474,0.45625,0.9886667728424072,8.316052269935607
8,80000,47.30380567411535,-57.31254,8.6162376e-11,-24.915073,-0.009708001,6.495032,1.0,3.885189,11.675229,609.0428,65.96326,27.2976,101.47993,101.27626,101.66184,101.4062,22.427488,0.7,-103.45722,-341.9335,0.002438359,-16.168858,-14.764625,-14.128932,-18.216005,-15.291829,1.6298145e-10,0.3,0.7514856,56.162434,56.227043,56.257904,56.332943,0.49052662,0.490625,4.805054187774658,9.326173464457193
9,90000,50.097193532582196,-55.64083,4.6004723e-12,-65.90242,-0.005246799,6.4531426,1.0,4.7822666,17.10248,880.0087,105.03102,14.660454,100.72537,100.18182,100.68147,99.72452,30.252024,0.7,-102.08884,-374.64752,0.001093045,-13.762011,-16.11542,-14.246496,-14.792909,-15.208043,1.1941113e-06,0.3,-0.060169607,54.74408,54.681053,55.061832,54.95892,0.6309947,0.43124998,4.855549573898315,10.334429860115051
