,step,reward,actor_loss,alpha,alpha_loss,avg_conservative_loss,avg_smooth_loss,conservative_weight,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.0753045183556114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,72.1252069767391,-37.00571,0.08338067,-4.2448273,0.00019897013,1.2885537,1.0,0.84620976,-6.7067976,33.225708,23.97219,18.622362,44.84171,45.351704,45.97813,45.658245,1.1306509,0.7,-59.644287,-28.762762,0.000117556556,-5.006747,1.5559955,1.0489082,1.4890828,1.7898451,1.7990097e-07,0.3,4.8224373,32.535835,32.556046,32.624023,32.194736,0.043523084,0.42343748,6.913602590560913,2.8874892512957255
2,20000,52.75856877831194,-56.90315,0.0057580774,-4.8417706,-0.00041999185,2.2649028,1.0,1.2917469,-13.872503,68.83421,112.22011,17.131847,74.43037,74.57551,77.29272,75.2873,4.539397,0.7,-83.75812,-51.316166,0.0004342799,-3.9791675,10.579527,9.91622,10.042446,9.585288,4.3121898e-07,0.3,5.1249485,51.8498,51.8192,51.834236,51.50016,0.108046725,0.4109375,5.278332471847534,3.9184913595517474
3,30000,66.87908330784047,-68.59059,0.00037874465,-10.600993,0.00022035615,2.9733837,1.0,1.2673087,-14.229301,83.89638,30.126087,18.798868,86.02429,85.756004,85.86392,85.43719,6.0089025,0.7,-101.179565,-94.163536,0.00022183685,-6.376349,7.2219896,8.625355,5.8334246,11.876054,2.7939678e-10,0.3,4.877286,63.788124,63.75123,63.821117,63.643867,0.13928889,0.49843746,7.213786363601685,4.977383148670197
4,40000,41.110632037550005,-77.36315,2.5978783e-05,-5.299562,-0.006215987,3.581087,1.0,1.2228978,-0.5416155,156.55284,18.905485,17.779121,95.83579,96.54538,96.90296,96.76031,3.906162,0.7,-111.08015,-95.592316,0.003397781,-4.6578984,2.059371,3.4073749,3.2978425,3.4993944,2.1391316e-10,0.3,5.2144985,72.014404,72.114075,72.0789,72.11257,0.11146106,0.42343748,4.2029054164886475,5.979453206062317
5,50000,70.92824208087794,-80.25019,1.8789664e-06,-12.045682,-0.0016418177,3.8730848,1.0,2.1785889,7.34863,161.29425,82.96969,16.344292,100.82429,100.954124,102.17526,100.95729,11.7010765,0.7,-113.77399,-160.88663,0.0014851419,-6.4123116,-0.9253347,-0.8370395,-1.5648129,-2.279753,6.690872e-06,0.3,4.971817,75.27954,75.27232,75.68913,75.51384,0.22627132,0.4359375,7.042457580566406,7.038358374436696
6,60000,63.65111702358721,-82.34832,1.3858838e-07,-7.285555,-0.0071525215,4.007154,1.0,2.4776874,-18.529104,151.2366,212.3328,19.939167,103.07091,102.62353,104.480606,103.46652,7.7221723,0.7,-116.28292,-183.5326,0.0018623904,-6.2922964,14.685664,13.6925535,11.296208,13.661176,1.513564e-05,0.3,5.4782944,76.89224,76.82467,77.05119,77.12274,0.21037856,0.36718747,6.200073003768921,8.077695604165395
7,70000,69.47950825732265,-86.01174,1.0715283e-08,-5.4649663,0.0070548817,4.0694466,1.0,2.1996353,-22.589064,289.27554,63.527935,19.561052,105.09152,105.54721,104.367,104.93936,3.6041563,0.7,-116.5782,-191.39905,0.00051134464,-7.1639295,13.6538315,12.973888,7.781191,11.25485,1.7628073e-06,0.3,5.433176,80.599014,80.631,80.11948,80.31561,0.107533514,0.44062495,6.757702827453613,9.123124194145202
8,80000,74.70328350678734,-85.142685,8.619118e-10,-1.0213326,-0.00048737414,4.0540295,1.0,2.3368242,-13.649858,238.16995,165.74332,19.261864,104.55597,104.16184,104.72416,104.44861,3.9766536,0.7,-116.11663,-197.47632,5.24114e-05,-3.5735345,8.446595,10.661827,12.270894,12.302685,1.7114799e-07,0.3,5.789846,79.42375,79.40717,79.534966,79.591064,0.18178478,0.36874998,7.466871500015259,10.189350771903992
9,90000,72.8784352866149,-84.8566,7.212248e-11,-20.11778,0.004232528,4.210293,1.0,1.7088815,-23.402845,330.1332,39.515198,22.618765,104.493355,105.033516,104.52098,104.80114,11.123994,0.7,-118.458984,-277.57455,0.0011927107,-5.744712,16.689312,20.125395,16.837513,12.675548,4.0745362e-11,0.3,5.027798,79.96192,80.032776,80.05894,79.921936,0.2079376,0.4359375,7.107449293136597,11.245866258939108
10,100000,67.36414845605994,-84.87703,6.257566e-12,-9.871894,-0.0020354856,4.448124,1.0,1.5797079,0.083578676,292.48898,60.182236,16.719479,104.52658,104.77531,104.45393,104.29211,4.2042913,0.7,-116.97734,-284.5188,6.307481e-05,-5.366455,-1.3702532,-1.0045447,-2.7897048,-1.3614852,2.0539737e-07,0.3,5.5239906,79.39003,79.46617,79.496864,79.49953,0.1276644,0.4140625,6.649733066558838,12.29648220539093
11,110000,73.59386184429373,-87.02788,5.692514e-13,0.098934054,-0.0038302902,4.0014453,1.0,1.2515343,-6.5834274,342.64514,39.21464,18.447987,105.6006,105.02326,104.56352,104.96501,6.701307,0.7,-117.93124,-221.897,0.0010939138,-2.986166,8.100764,8.367261,6.411031,6.8909693,7.4463173e-07,0.3,5.742566,81.43826,81.36383,81.41486,81.34182,0.1314125,0.47031248,6.985478162765503,13.34312962293625
12,120000,72.63563317082583,-85.86981,5.170738e-14,-14.377756,-0.0046788566,4.566694,1.0,2.590828,9.634387,352.79776,230.47437,16.385523,103.4669,103.681404,103.51167,103.49677,5.5455513,0.7,-119.038925,-378.19614,5.447684e-05,-4.41748,-8.614704,-10.851528,0.94332206,-5.9579344,3.1553208e-07,0.3,5.2414055,80.742905,80.63744,80.59888,80.46859,0.20459749,0.5328125,7.103657245635986,14.39745866060257
