,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.2512293724982912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.7546399620921812,-27.56574,0.061889682,-8.91663,0.34590372,-1.7048848,17.575872,4.181397,8.833229,41.879364,41.961254,41.678246,41.205547,0.6455697,0.7,-41.55276,-30.678114,0.00078490295,-102.4761,-0.47783232,-0.31399876,1.0476869,0.88486856,7.491763e-08,0.3,-9.968819,27.119215,27.097946,27.221733,26.781118,0.035106026,0.490625,5.429986000061035,1.4499441305796306
2,20000,-2.1066066898502744,-47.842865,0.063429885,0.12123994,0.64727354,-4.593012,23.818106,14.815209,9.259704,69.716896,69.74291,70.0567,69.82049,1.3836019,0.7,-70.53262,-29.32286,9.166385e-05,-108.35461,4.6579456,4.970777,4.466809,5.7642803,2.7107774e-06,0.3,-19.152184,46.75377,46.78068,46.920208,46.667477,0.09048725,0.42343748,5.816115379333496,1.8602482199668884
3,30000,-2.7679038343889997,-59.893265,0.076741755,0.6683092,0.8279029,-5.86956,23.678865,14.670036,11.062096,87.93143,87.84992,88.78819,88.16966,4.4512725,0.7,-88.674416,-23.0175,0.00025558146,-122.21272,5.4290304,6.978331,6.610989,6.518543,6.349449e-06,0.3,-23.785965,58.36892,58.435196,58.52577,58.21145,0.15456451,0.49374998,5.347429037094116,2.262831485271454
4,40000,-1.283644290469936,-66.01616,0.08438462,-0.0067356527,1.451828,-5.9458976,22.59707,37.160454,9.5208435,102.30826,102.20696,101.55364,101.46421,2.8889391,0.7,-102.93285,-44.592205,0.0009029015,-118.658844,5.0647483,5.879977,5.6194286,5.599242,2.8749926e-07,0.3,-24.553034,64.45039,64.425644,64.565636,64.45097,0.14665796,0.46406248,5.428785085678101,2.668287507692973
5,50000,-0.5132034556420969,-69.36577,0.08722402,-0.027968377,1.1969491,-9.478981,19.327393,15.035648,11.645891,107.02678,106.97286,107.35443,107.96174,3.0834894,0.7,-107.62284,-27.439081,0.000112343696,-140.36809,8.744469,8.737572,7.70321,7.8456655,2.118107e-06,0.3,-25.896997,67.51324,67.45236,67.23857,67.37726,0.14018053,0.46875,5.569767236709595,3.0756257653236387
6,60000,-1.6440450728879692,-76.23021,0.088025324,-0.00613825,1.8691591,-36.675,22.251987,50.77233,7.45763,111.57064,111.74362,110.74802,111.8317,19.036745,0.7,-111.77592,-24.477047,0.0018495871,-156.52853,36.65664,35.915943,36.316383,36.151592,1.5528332e-05,0.3,-28.91461,74.02301,74.08479,73.917816,74.15004,0.25688982,0.40625,5.377981901168823,3.4794050534566243
7,70000,-2.2390402227950355,-77.10605,0.089605704,0.96416676,1.3694195,-26.708822,20.273108,30.111416,8.798297,112.803734,112.86039,112.87213,113.38842,7.121032,0.7,-112.85759,-30.942112,0.0009426089,-140.89996,26.165174,25.419163,25.549566,27.038929,1.7114799e-07,0.3,-31.164999,74.72905,74.83917,74.507164,74.623856,0.19493765,0.4765625,5.402749061584473,3.8858506441116334
8,80000,-2.321466819200521,-77.571335,0.090668105,0.059219897,1.5194577,-35.270134,17.839487,84.24837,9.839925,114.73446,114.54453,113.50165,113.69133,8.313706,0.7,-114.673805,-26.952545,0.0009416084,-164.36327,37.55541,36.1993,36.035927,37.547787,1.8840656e-07,0.3,-31.796173,75.22058,75.24576,74.95677,75.04343,0.22540084,0.5171875,5.381260871887207,4.288083175818126
9,90000,-2.1601016887136377,-79.02066,0.088925004,-0.5494029,1.3371935,-6.938763,26.962528,20.842232,7.5744767,114.404045,114.53399,114.15126,114.328125,5.1418786,0.7,-114.82249,-27.138126,0.0012742693,-243.71394,6.6604657,7.240933,6.12692,6.103883,4.5264025e-07,0.3,-32.92073,76.47561,76.548485,76.4712,76.66397,0.19595185,0.4125,5.419690132141113,4.693446469306946
