,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,4.5275043187628246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.8406211987792008,-39.41207,0.05788116,-6.479026,0.34351122,-3.4949813,20.450474,15.667301,3.6571782,51.348217,51.25803,51.474907,50.68422,1.3429687,0.7,-52.270294,-22.380669,0.00014502672,-64.637596,2.627268,1.8514073,2.4617496,0.49958855,5.673384e-07,0.3,-9.168514,39.01952,39.01564,39.01295,38.314537,0.030035466,0.528125,0.06418704986572266,1.3272468050320942
2,20000,0.7988737748427901,-63.325516,0.03532375,-1.0917373,0.7593497,-1.8714737,59.062225,38.816765,6.316509,78.7435,78.75639,78.41681,78.13233,5.983362,0.7,-78.75803,-27.896902,0.00026386726,-216.44441,1.258613,1.3938489,1.8257504,1.5143751,9.8225435e-08,0.3,-21.115387,62.57106,62.590862,62.199936,61.892296,0.10629152,0.4890625,0.06282424926757812,1.6406043887138366
3,30000,0.7375790421096636,-78.12785,0.03748995,0.4431977,2.557426,-1.3328053,74.34034,403.50604,5.7556434,93.30132,94.481766,92.871635,92.49202,28.437033,0.7,-93.06668,-27.483011,0.0008781695,-152.5891,-0.13538206,-1.0122836,-1.8402004,-0.4995203,2.1147544e-06,0.3,-24.500591,77.30154,77.362946,77.191925,77.0641,0.23881038,0.39375,0.05001020431518555,1.9539938767751057
4,40000,0.7573607875159571,-86.2198,0.03952471,0.47800753,1.4066664,-3.8074799,48.373997,74.31793,6.5715084,101.68313,101.750984,101.505714,100.97393,5.7277384,0.7,-102.00934,-27.704432,0.0005132752,-169.93602,2.0658731,1.9693708,-0.17431176,1.2279651,6.849295e-08,0.3,-15.829658,85.41793,85.37689,85.13034,85.159744,0.1526105,0.5015625,0.05732154846191406,2.26770814259847
5,50000,0.7801443448424968,-87.24223,0.04396294,0.8621328,1.0188527,-2.059711,63.44409,24.184237,6.780122,106.95145,106.96294,107.67431,106.31502,13.909267,0.7,-107.31271,-26.34543,0.00030148332,-171.05121,1.9100369,1.7771547,1.3954891,0.6192455,1.0561605e-06,0.3,-20.950659,86.3365,86.37103,86.415665,86.29088,0.20105521,0.425,0.05551552772521973,2.576318101088206
6,60000,0.7752124431140104,-94.77815,0.046880834,-0.58711016,0.92413497,-3.9743948,49.473057,26.28836,4.9575677,110.8872,110.670265,110.18557,110.20356,3.9375117,0.7,-111.44585,-37.49348,0.00089354516,-140.2427,3.365046,3.1709206,4.9928093,4.9286423,3.9934528e-07,0.3,-15.027959,93.84995,93.91013,93.81785,93.7632,0.15133005,0.4765625,0.0558474063873291,2.8820828676223753
7,70000,0.7752383142826984,-92.43022,0.047532767,1.2001848,1.1414986,-2.9372692,56.138916,68.06391,8.073779,111.90089,111.74235,111.15097,111.3841,5.776264,0.7,-111.82238,-24.323954,0.0012057719,-120.09263,2.725844,3.224482,2.4874604,2.7638628,2.1147544e-06,0.3,-16.382965,91.24071,91.2223,91.24403,91.29094,0.17561054,0.40781248,0.05993199348449707,3.193693157037099
8,80000,0.790395352827814,-93.83708,0.0476724,0.46900058,1.04428,-3.8537986,48.956623,37.729187,5.339,114.2295,114.150116,114.80426,114.297424,5.9088845,0.7,-115.22981,-19.777195,0.0010053501,-336.34753,3.4441352,2.8907666,4.1034718,5.00291,8.3138005e-08,0.3,-18.37725,92.75144,92.76006,92.80159,92.90521,0.18016617,0.4109375,0.057274818420410156,3.5088775555292764
9,90000,0.7992833431048492,-97.03612,0.05135539,-0.54300827,1.2085083,-4.2770743,34.607857,75.34001,5.495593,114.64079,114.64412,114.47323,114.62749,4.264467,0.7,-115.27564,-22.204897,0.0002228585,-166.58247,4.762917,4.3434954,3.0375938,3.6082797,1.6093254e-07,0.3,-17.770847,96.073975,96.20213,95.733154,95.967514,0.13750143,0.4296875,0.0564730167388916,3.822233565648397
10,100000,0.7925309374121814,-97.696304,0.05148338,1.1896634,1.2138225,-17.132149,45.050407,82.686424,7.713514,115.88734,115.986725,115.719666,115.90741,16.923767,0.7,-115.843216,-19.787912,0.0009958507,-282.2441,16.211752,16.26012,16.99331,17.421843,2.7154032e-05,0.3,-19.156487,96.563736,96.55528,96.68599,96.82399,0.28866476,0.37031248,0.05929732322692871,4.12947625319163
11,110000,0.8145017619693692,-99.02202,0.052860133,0.35400826,1.0648044,-3.5142202,50.877254,52.32417,5.956213,116.07778,115.945274,115.824005,116.117676,24.401703,0.7,-116.13915,-19.376234,5.869876e-05,-651.5022,3.996758,3.5728204,4.44374,3.757324,2.521556e-08,0.3,-21.239162,97.831985,97.880295,97.90306,97.87692,0.39843667,0.515625,0.06727910041809082,4.440503100554149
