,step,reward,actor_loss,alpha,alpha_loss,critic_loss,max_actor_loss,max_alpha_loss,max_critic_loss,max_mle_prob,max_q1,max_q2,max_target_q,max_v,max_value_loss,max_weight,min_actor_loss,min_alpha_loss,min_critic_loss,min_mle_prob,min_q1,min_q2,min_target_q,min_v,min_value_loss,min_weight,mle_prob,q1,q2,target_q,v,value_loss,weight,eval_time,time
0,0,2.8283714477382738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,-0.14405419065765043,-32.879284,0.05757734,-15.004385,0.7199043,-6.491778,29.837183,93.9778,4.270062,43.542545,43.894012,44.06521,42.77206,1.1442064,0.7,-44.016125,-36.36984,0.00037041813,-224.2836,2.3721569,1.7873509,1.9947228,1.9037999,1.695109e-07,0.3,-15.45907,32.215977,32.18087,32.25055,31.728376,0.036599427,0.4921875,0.20110177993774414,1.3249163667360941
2,20000,-0.220881973559267,-55.494843,0.026092604,0.66469646,1.0311668,-13.759491,49.707104,100.30776,6.422534,70.59199,70.58204,70.25184,70.18709,12.724792,0.7,-70.82407,-36.455246,6.690089e-05,-126.33124,10.247674,10.689577,11.042931,10.255844,2.2694003e-07,0.3,-33.586266,54.516296,54.53485,54.595192,54.24889,0.14509855,0.4515625,0.22184419631958008,1.6583582957585652
3,30000,-0.15360441556889654,-69.29921,0.03393071,0.31787628,1.3290374,-17.98088,36.837975,108.46985,8.290863,86.05794,86.08946,86.32428,86.05356,3.0282297,0.7,-87.3717,-34.079258,0.0012791243,-148.22081,7.5044694,6.758611,9.667301,10.052581,3.9156294e-08,0.3,-30.362467,68.33549,68.36045,68.62646,68.34662,0.06795433,0.471875,0.10301899909973145,1.9945912082990012
4,40000,-0.09859561099554248,-76.25308,0.038479563,1.4171402,0.8815675,-16.18327,52.48537,30.365726,8.967129,96.448555,96.84378,95.826645,96.21635,2.0567975,0.7,-97.19479,-25.33432,0.0011696784,-152.68274,12.617012,12.957651,10.334186,12.631954,4.69666e-07,0.3,-34.279797,75.19589,75.217514,74.88797,74.894806,0.09973477,0.4265625,0.10463953018188477,2.3260657866795857
5,50000,-0.0411633009230103,-81.13101,0.039634116,-0.5222061,1.4555484,-7.7251167,38.107628,160.83939,11.124798,102.64714,102.67318,102.63233,102.537346,3.804153,0.7,-103.202805,-36.390038,0.00040268904,-269.1223,5.3847218,6.526622,5.5242376,4.3603196,1.252761e-05,0.3,-38.145035,79.82515,79.86935,79.68438,79.702255,0.102080375,0.45,0.12950968742370605,2.6565858642260234
6,60000,-0.02955211668889781,-85.14933,0.039779756,-0.353971,0.95223415,-19.674984,58.37598,52.516125,8.0462265,106.1129,106.30172,106.008644,106.33192,9.405968,0.7,-106.512535,-31.69321,0.00030615483,-228.96696,12.400429,9.658615,11.669196,10.942696,1.18813475e-07,0.3,-36.706406,84.00954,84.04828,84.29274,84.24423,0.15136,0.41875,0.1253960132598877,2.989387941360474
7,70000,-0.04932954888638806,-86.79841,0.039526414,0.94105625,1.2089326,-4.088857,44.03918,54.536976,10.723462,109.791046,109.567024,109.529335,109.15451,10.644804,0.7,-109.75913,-30.148035,0.0019218717,-156.09541,3.2281592,4.7744765,0.9778775,1.4941401,2.1981725e-05,0.3,-36.87923,85.590034,85.62017,85.69014,85.60525,0.12107628,0.45156246,0.12231278419494629,3.318858738740285
8,80000,-0.23939891650935244,-87.59056,0.039495148,-1.5493269,0.78936076,-17.898321,42.35641,36.375496,10.294443,109.9121,110.038666,109.4724,109.9019,6.0638204,0.7,-110.19289,-35.393936,0.0003571518,-209.44543,14.141344,14.810345,14.861311,14.467326,2.46875e-06,0.3,-32.246124,86.45261,86.42554,86.353195,86.39384,0.099813744,0.440625,0.12905383110046387,3.6585188150405883
9,90000,-0.23350890911583866,-88.549225,0.039701328,-0.80992925,2.0861347,-7.6242304,48.93808,320.9378,8.658018,110.777145,110.24433,111.76272,111.071724,3.313159,0.7,-110.83078,-47.1133,0.00056716875,-201.73694,6.815261,8.129836,6.8749995,5.0634823,3.1553208e-07,0.3,-36.45844,87.397194,87.44426,87.590744,87.56436,0.10425803,0.45312497,0.13757634162902832,3.989879051844279
10,100000,-0.25038648206628916,-89.415054,0.038829945,0.8131683,0.92530704,-18.725975,54.92189,33.40911,9.18046,111.141106,110.98436,110.60953,110.807465,10.464054,0.7,-111.479744,-34.674587,0.00044489244,-198.147,15.254015,15.500442,15.894621,15.943939,1.7797981e-06,0.3,-34.45096,88.33421,88.42476,88.18669,88.23366,0.14214396,0.48125,0.11852550506591797,4.317065540949503
11,110000,-0.3162326586270684,-88.80975,0.038955238,-1.2854497,0.59161174,-18.78223,62.96994,9.391787,7.5125523,111.905876,111.86592,111.68023,111.224266,1.7031206,0.7,-112.11833,-28.334381,0.0006602204,-230.06349,16.629093,16.366686,16.165943,15.969918,1.478009e-07,0.3,-34.56402,87.79964,87.873566,87.641884,87.57852,0.08292828,0.503125,0.10932803153991699,4.648470679918925
12,120000,-0.31919140932405476,-87.25439,0.03947408,0.84515846,0.9407344,-10.739716,81.14653,14.466738,5.7208104,111.959145,111.95547,111.75972,111.83071,5.3265495,0.7,-112.00476,-33.888023,2.6152702e-06,-190.12552,8.816308,11.882013,8.139244,8.246071,4.3655746e-08,0.3,-39.366158,86.15743,86.03059,85.75343,85.856026,0.10192746,0.478125,0.11460304260253906,4.978825426101684
13,130000,-0.357678739755587,-88.643936,0.038843982,-0.44482213,1.0405234,-17.693773,47.685825,27.963177,3.3013659,111.16647,111.25765,111.60628,111.66277,5.7831664,0.7,-111.33357,-33.61531,0.0002891483,-346.1788,14.030384,14.328254,10.689193,13.486974,2.8748718e-06,0.3,-45.4492,87.54153,87.51838,87.6514,87.513306,0.15320471,0.4359375,0.10477328300476074,5.322367831071218
14,140000,-0.3418326032197408,-91.74356,0.040810443,0.37196708,1.0255721,-22.425793,70.60937,20.223354,10.679658,112.036476,111.97249,111.55336,112.12526,6.1594195,0.7,-112.30272,-25.556204,0.0019241127,-265.879,20.387766,21.418314,19.379217,20.387417,7.862243e-06,0.3,-35.023582,90.73212,90.68564,90.89084,91.066864,0.18568033,0.37343746,0.11424040794372559,5.658256316184998
15,150000,-0.32622742423095513,-89.38757,0.038298544,0.3553157,1.0000746,-14.737509,81.01723,46.982033,7.2715445,111.25344,111.30202,112.82987,111.566574,23.693556,0.7,-111.191956,-33.38996,5.806447e-06,-235.69128,15.623361,14.840633,14.980178,14.9935665,9.808399e-07,0.3,-41.864426,88.39971,88.4088,88.61796,88.359634,0.19696392,0.56093746,0.11857104301452637,5.994086436430613
